gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1769	34.5156	3.5827
ENSG00000000460	1400	16.5279	1.7156
ENSG00000000938	4917	104.6410	10.8615
ENSG00000000971	49	0.4476	0.0465
ENSG00000001460	372	3.2793	0.3404
ENSG00000001461	3930	31.3427	3.2533
ENSG00000004455	21243	280.3520	29.1000
ENSG00000004487	17283	379.4600	39.3873
ENSG00000006555	35	0.4335	0.0450
ENSG00000007341	2725	25.1931	2.6150
ENSG00000007908	2	0.0356	0.0037
ENSG00000007923	3214	46.8356	4.8615
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	852	11.7139	1.2159
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4750	75.5070	7.8375
ENSG00000008130	5652	73.8691	7.6675
ENSG00000009307	150295	1958.6700	203.3067
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	66	1.1731	0.1218
ENSG00000009780	806	21.0275	2.1826
ENSG00000009790	10306	99.6977	10.3484
ENSG00000010072	2252	28.6013	2.9688
ENSG00000010165	1219	23.7848	2.4688
ENSG00000010803	8941	150.7940	15.6522
ENSG00000010932	6	0.1259	0.0131
ENSG00000011007	8051	112.0080	11.6263
ENSG00000011009	4014	137.1060	14.2313
ENSG00000011021	7478	81.4701	8.4565
ENSG00000014914	144	2.3476	0.2437
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4717	71.9467	7.4679
ENSG00000020633	18666	304.0070	31.5554
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	200	11.5751	1.2015
ENSG00000023902	15344	184.4830	19.1491
ENSG00000023909	956	13.3443	1.3851
ENSG00000024526	77	0.9822	0.1020
ENSG00000025800	23847	232.6690	24.1506
ENSG00000026751	206	3.3486	0.3476
ENSG00000027644	4	0.0588	0.0061
ENSG00000027869	133	3.9689	0.4120
ENSG00000028137	3245	64.6280	6.7083
ENSG00000031698	6093	119.1230	12.3648
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4938	101.0210	10.4858
ENSG00000036549	8974	74.7191	7.7557
ENSG00000037637	7301	60.9485	6.3263
ENSG00000040487	1294	36.1411	3.7514
ENSG00000041988	2017	37.1513	3.8562
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2907	70.9987	7.3695
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21445	157.9910	16.3992
ENSG00000048707	8087	29.8089	3.0941
ENSG00000049089	82	1.4801	0.1536
ENSG00000049239	15576	128.1350	13.3002
ENSG00000049245	14873	404.1510	41.9502
ENSG00000049246	74	0.7849	0.0815
ENSG00000049247	10	0.4206	0.0437
ENSG00000049249	15	0.5070	0.0526
ENSG00000050628	47	0.3668	0.0381
ENSG00000052723	9493	120.7960	12.5384
ENSG00000053371	6874	289.4660	30.0460
ENSG00000053372	2162	57.4465	5.9628
ENSG00000054116	2580	58.3960	6.0614
ENSG00000054118	10529	166.7440	17.3078
ENSG00000054267	24514	166.0390	17.2346
ENSG00000054277	2394	51.6034	5.3563
ENSG00000054282	7445	106.4110	11.0453
ENSG00000054392	379	6.6150	0.6866
ENSG00000054523	7369	31.2379	3.2424
ENSG00000055070	23501	371.3070	38.5410
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3792	40.4365	4.1972
ENSG00000057468	61	1.3996	0.1453
ENSG00000057757	8159	279.9410	29.0573
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	4596	28.1031	2.9170
ENSG00000058668	26963	208.0290	21.5931
ENSG00000058673	43121	333.4060	34.6069
ENSG00000058799	2894	95.9938	9.9640
ENSG00000058804	2675	39.0703	4.0554
ENSG00000059588	28172	272.8770	28.3242
ENSG00000060642	3027	67.1183	6.9668
ENSG00000060656	23	0.2566	0.0266
ENSG00000060688	3142	58.7445	6.0976
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	7776	96.8913	10.0571
ENSG00000064886	113	2.5630	0.2660
ENSG00000065135	10514	245.9570	25.5299
ENSG00000065183	1902	34.3044	3.5607
ENSG00000065243	12631	135.0580	14.0188
ENSG00000065526	38852	219.1880	22.7513
ENSG00000065600	2832	72.8943	7.5663
ENSG00000065978	73158	2842.9100	295.0895
ENSG00000066027	12390	240.5570	24.9694
ENSG00000066056	469	5.2565	0.5456
ENSG00000066135	3040	44.0818	4.5756
ENSG00000066136	3499	43.8346	4.5500
ENSG00000066185	167	5.7080	0.5925
ENSG00000066279	1332	9.1730	0.9521
ENSG00000066294	19158	155.2500	16.1147
ENSG00000066322	4652	141.8770	14.7266
ENSG00000066557	3666	95.3478	9.8969
ENSG00000067208	495	4.4906	0.4661
ENSG00000067334	16356	204.2860	21.2045
ENSG00000067533	3307	31.4647	3.2660
ENSG00000067606	1299	12.7554	1.3240
ENSG00000067704	9314	167.8370	17.4211
ENSG00000069248	6102	90.5003	9.3938
ENSG00000069275	14159	162.2230	16.8385
ENSG00000069424	67040	618.7560	64.2258
ENSG00000069702	143	1.2408	0.1288
ENSG00000069712	367	5.9483	0.6174
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	3069	66.5301	6.9057
ENSG00000070785	1885	46.4565	4.8221
ENSG00000070831	34119	737.4430	76.5453
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	83	0.8892	0.0923
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	351	4.9928	0.5182
ENSG00000074800	232193	4250.5400	441.1983
ENSG00000074964	130	1.2379	0.1285
ENSG00000075151	18377	163.5130	16.9724
ENSG00000075391	53	0.3369	0.0350
ENSG00000075945	2093	31.3143	3.2504
ENSG00000076258	464	13.8252	1.4350
ENSG00000076321	3228	56.9090	5.9071
ENSG00000076356	59	0.3199	0.0332
ENSG00000076864	376	4.4496	0.4619
ENSG00000077152	228	16.0376	1.6646
ENSG00000077157	7211	37.5588	3.8985
ENSG00000077254	7911	85.7686	8.9026
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	22205	478.5530	49.6730
ENSG00000077585	83	2.7367	0.2841
ENSG00000078369	46772	571.6950	59.3409
ENSG00000078618	32402	367.1450	38.1089
ENSG00000078808	12991	207.4420	21.5322
ENSG00000078900	267	3.6065	0.3743
ENSG00000079277	11812	109.9120	11.4087
ENSG00000079335	5803	75.9667	7.8852
ENSG00000079739	1107	19.9304	2.0687
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	865	9.5181	0.9880
ENSG00000081019	11298	124.2650	12.8985
ENSG00000081026	16	0.1467	0.0152
ENSG00000081237	50537	445.5460	46.2469
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	756	13.1481	1.3647
ENSG00000081721	3355	142.7920	14.8215
ENSG00000081870	2137	58.0888	6.0295
ENSG00000081985	38	0.6799	0.0706
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	8838	73.4720	7.6263
ENSG00000083444	4214	59.3255	6.1579
ENSG00000084070	16585	377.0510	39.1373
ENSG00000084072	4377	40.6720	4.2217
ENSG00000084073	3542	74.3620	7.7186
ENSG00000084623	25666	1115.9000	115.8288
ENSG00000084628	8	0.2009	0.0208
ENSG00000084636	10	0.0785	0.0081
ENSG00000084652	5722	84.0907	8.7285
ENSG00000085433	4922	81.3754	8.4466
ENSG00000085465	634	15.9203	1.6525
ENSG00000085491	5012	57.4105	5.9591
ENSG00000085552	70	0.7953	0.0826
ENSG00000085831	29	0.2301	0.0239
ENSG00000085832	39628	393.6070	40.8557
ENSG00000085840	1455	34.5717	3.5885
ENSG00000085998	4817	56.7543	5.8910
ENSG00000085999	405	9.4592	0.9819
ENSG00000086015	2642	22.3201	2.3168
ENSG00000086619	5001	65.9418	6.8446
ENSG00000088035	1456	22.0835	2.2922
ENSG00000088280	27	0.4139	0.0430
ENSG00000090020	1844	23.1409	2.4020
ENSG00000090104	1047	19.0775	1.9802
ENSG00000090273	7224	189.6470	19.6850
ENSG00000090432	4966	152.9030	15.8710
ENSG00000090621	36847	407.4760	42.2953
ENSG00000090686	12747	100.6640	10.4488
ENSG00000091483	3083	107.9510	11.2052
ENSG00000092607	8	0.1576	0.0164
ENSG00000092621	281	3.7501	0.3893
ENSG00000092847	14479	84.2712	8.7472
ENSG00000092850	34	1.3074	0.1357
ENSG00000092853	839	11.6243	1.2066
ENSG00000092969	4	0.0582	0.0060
ENSG00000092978	2064	17.5208	1.8186
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	12965	150.3590	15.6070
ENSG00000097021	1603	24.5949	2.5529
ENSG00000097033	30703	344.8760	35.7975
ENSG00000097046	763	15.9086	1.6513
ENSG00000097096	6	0.0698	0.0072
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	4001	86.0740	8.9343
ENSG00000116128	2145	25.0556	2.6007
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	125	2.1110	0.2191
ENSG00000116138	2674	23.4195	2.4309
ENSG00000116141	10	0.1050	0.0109
ENSG00000116147	2	0.0280	0.0029
ENSG00000116151	654	9.3711	0.9727
ENSG00000116157	2631	116.7120	12.1145
ENSG00000116161	7277	121.0210	12.5618
ENSG00000116171	9801	88.5058	9.1868
ENSG00000116183	6	0.0412	0.0043
ENSG00000116191	3948	39.8914	4.1407
ENSG00000116194	1	0.0218	0.0023
ENSG00000116198	5022	47.8214	4.9638
ENSG00000116199	3162	39.2747	4.0766
ENSG00000116205	1669	21.4887	2.2305
ENSG00000116209	28617	516.4270	53.6042
ENSG00000116212	1455	45.2692	4.6988
ENSG00000116213	3697	36.4607	3.7846
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	2	0.0739	0.0077
ENSG00000116221	8166	277.8820	28.8437
ENSG00000116237	1103	16.8426	1.7482
ENSG00000116251	49838	762.8310	79.1805
ENSG00000116254	61	0.4663	0.0484
ENSG00000116260	21437	172.6770	17.9236
ENSG00000116266	10627	135.2090	14.0344
ENSG00000116273	548	11.1635	1.1588
ENSG00000116285	2	0.0358	0.0037
ENSG00000116288	11154	349.0060	36.2262
ENSG00000116299	32	0.2563	0.0266
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	16036	176.1460	18.2836
ENSG00000116350	14030	331.1080	34.3684
ENSG00000116353	1200	22.6893	2.3551
ENSG00000116396	1130	9.0686	0.9413
ENSG00000116406	5880	58.5465	6.0770
ENSG00000116455	4133	110.5210	11.4719
ENSG00000116459	19771	438.3250	45.4973
ENSG00000116473	5431	71.0516	7.3750
ENSG00000116478	16506	308.8000	32.0529
ENSG00000116489	21956	398.7230	41.3867
ENSG00000116497	11067	90.3159	9.3746
ENSG00000116514	10111	290.5340	30.1570
ENSG00000116521	10250	314.8070	32.6764
ENSG00000116525	1603	30.2542	3.1403
ENSG00000116539	26517	149.5750	15.5257
ENSG00000116544	522	9.8431	1.0217
ENSG00000116560	175468	1772.1600	183.9471
ENSG00000116574	569	9.7571	1.0128
ENSG00000116580	9766	60.2444	6.2533
ENSG00000116584	36359	367.8100	38.1780
ENSG00000116586	3047	158.9120	16.4948
ENSG00000116604	65282	765.0230	79.4080
ENSG00000116641	4128	28.4725	2.9554
ENSG00000116649	16930	668.9820	69.4391
ENSG00000116652	152	9.7814	1.0153
ENSG00000116661	9	0.2906	0.0302
ENSG00000116663	1488	61.6035	6.3943
ENSG00000116667	197	1.3505	0.1402
ENSG00000116668	1363	25.2176	2.6175
ENSG00000116670	4139	91.2113	9.4676
ENSG00000116675	279	3.0290	0.3144
ENSG00000116678	2013	13.1755	1.3676
ENSG00000116679	11457	108.3750	11.2492
ENSG00000116685	3830	87.5538	9.0879
ENSG00000116688	9844	148.3080	15.3941
ENSG00000116690	3	0.0446	0.0046
ENSG00000116691	4638	123.3010	12.7984
ENSG00000116698	55650	501.8350	52.0896
ENSG00000116701	3124	80.0208	8.3060
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	5336	55.9442	5.8069
