gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1850	36.1015	3.9064
ENSG00000000460	1762	20.8037	2.2511
ENSG00000000938	9149	194.7050	21.0682
ENSG00000000971	1416	13.0362	1.4106
ENSG00000001460	973	8.5742	0.9278
ENSG00000001461	14787	117.9340	12.7611
ENSG00000004455	12034	158.8150	17.1847
ENSG00000004487	9345	205.1720	22.2008
ENSG00000006555	106	1.3070	0.1414
ENSG00000007341	3360	31.0647	3.3614
ENSG00000007908	21	0.3671	0.0397
ENSG00000007923	4760	69.3573	7.5049
ENSG00000007933	5	0.1149	0.0124
ENSG00000007968	5115	70.3029	7.6072
ENSG00000008118	13	0.3752	0.0406
ENSG00000008128	5420	86.1568	9.3227
ENSG00000008130	7072	92.4175	10.0001
ENSG00000009307	72138	940.1120	101.7255
ENSG00000009709	2	0.0238	0.0026
ENSG00000009724	3316	58.4978	6.3298
ENSG00000009780	1186	30.9256	3.3463
ENSG00000009790	6760	65.3986	7.0765
ENSG00000010072	4229	53.6983	5.8105
ENSG00000010165	2170	42.3432	4.5818
ENSG00000010803	4118	69.4475	7.5146
ENSG00000010932	252	5.2848	0.5718
ENSG00000011007	8609	119.7670	12.9595
ENSG00000011009	5400	184.4110	19.9544
ENSG00000011021	9771	106.4540	11.5189
ENSG00000014914	358	5.8525	0.6333
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0307	0.0033
ENSG00000018625	1	0.0119	0.0013
ENSG00000020129	4854	74.0374	8.0113
ENSG00000020633	15364	250.2210	27.0754
ENSG00000021852	1	0.0275	0.0030
ENSG00000023572	293	16.9061	1.8293
ENSG00000023902	10677	128.3710	13.8905
ENSG00000023909	1032	14.4036	1.5586
ENSG00000024526	254	3.2280	0.3493
ENSG00000025800	9110	88.8881	9.6182
ENSG00000026751	458	7.4665	0.8079
ENSG00000027644	19	0.2739	0.0296
ENSG00000027869	1524	45.4889	4.9221
ENSG00000028137	5182	103.2080	11.1677
ENSG00000031698	13542	264.7780	28.6505
ENSG00000033122	163	1.0171	0.1101
ENSG00000034971	4	0.1440	0.0156
ENSG00000035687	2378	48.6473	5.2639
ENSG00000036549	6757	56.2582	6.0875
ENSG00000037637	8099	67.6096	7.3158
ENSG00000040487	1817	50.7264	5.4889
ENSG00000041988	2509	46.2193	5.0012
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1943	47.4448	5.1338
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	32316	238.0810	25.7617
ENSG00000048707	14822	54.6388	5.9122
ENSG00000049089	2317	41.8694	4.5305
ENSG00000049239	45622	375.3040	40.6101
ENSG00000049245	9649	262.2010	28.3717
ENSG00000049246	1173	12.3889	1.3406
ENSG00000049247	885	37.2204	4.0274
ENSG00000049249	43	1.4107	0.1526
ENSG00000050628	390	3.0274	0.3276
ENSG00000052723	6004	76.4053	8.2675
ENSG00000053371	5882	247.6920	26.8018
ENSG00000053372	3034	80.6240	8.7240
ENSG00000054116	4281	96.9146	10.4867
ENSG00000054118	8506	134.6960	14.5749
ENSG00000054267	10903	73.8486	7.9908
ENSG00000054277	3775	81.3537	8.8029
ENSG00000054282	2345	33.5148	3.6265
ENSG00000054392	5222	91.1608	9.8641
ENSG00000054523	3846	16.3050	1.7643
ENSG00000055070	23626	373.2850	40.3916
ENSG00000055732	7594	85.9977	9.3054
ENSG00000057252	1223	13.0368	1.4107
ENSG00000057468	64	1.4749	0.1596
ENSG00000057757	5919	203.0830	21.9748
ENSG00000058085	7	0.0841	0.0091
ENSG00000058453	4916	30.0587	3.2525
ENSG00000058668	78043	602.1240	65.1533
ENSG00000058673	34135	263.9340	28.5592
ENSG00000058799	2510	83.2503	9.0082
ENSG00000058804	2975	43.4559	4.7022
ENSG00000059588	24906	241.2430	26.1038
ENSG00000060642	3681	81.6384	8.8338
ENSG00000060656	420	4.7063	0.5092
ENSG00000060688	4172	78.0090	8.4410
ENSG00000060718	56	0.5111	0.0553
ENSG00000064703	3562	44.3833	4.8025
ENSG00000064886	119	2.7111	0.2934
ENSG00000065135	9493	222.0840	24.0308
ENSG00000065183	2213	39.9033	4.3178
ENSG00000065243	8095	86.5573	9.3660
ENSG00000065526	53195	300.1100	32.4736
ENSG00000065600	7913	203.6620	22.0374
ENSG00000065978	49279	1914.9700	207.2109
ENSG00000066027	10984	213.2600	23.0760
ENSG00000066056	10085	112.9930	12.2265
ENSG00000066135	5581	80.9244	8.7565
ENSG00000066136	7138	89.4211	9.6759
ENSG00000066185	509	17.4068	1.8835
ENSG00000066279	3120	21.4924	2.3256
ENSG00000066294	47351	383.7190	41.5207
ENSG00000066322	7975	243.2260	26.3184
ENSG00000066557	1827	47.5160	5.1415
ENSG00000067208	2011	18.2331	1.9729
ENSG00000067334	10784	134.6860	14.5738
ENSG00000067533	2483	23.6278	2.5567
ENSG00000067606	984	9.6664	1.0460
ENSG00000067704	12159	219.1040	23.7083
ENSG00000069248	5511	81.7376	8.8445
ENSG00000069275	14961	171.4140	18.5480
ENSG00000069424	22540	208.0360	22.5107
ENSG00000069702	1161	10.0626	1.0888
ENSG00000069712	1134	18.4017	1.9912
ENSG00000069812	14	0.1942	0.0210
ENSG00000070759	4237	91.8350	9.9371
ENSG00000070785	2074	51.1186	5.5313
ENSG00000070831	25222	545.1420	58.9875
ENSG00000070886	3	0.0420	0.0045
ENSG00000072694	175	1.8708	0.2024
ENSG00000073754	30	0.9141	0.0989
ENSG00000073756	55662	792.3070	85.7322
ENSG00000074800	90133	1649.9900	178.5385
ENSG00000074964	484	4.6216	0.5001
ENSG00000075151	23151	205.9920	22.2896
ENSG00000075391	6784	43.0530	4.6586
ENSG00000075945	2030	30.3644	3.2856
ENSG00000076258	1068	31.8240	3.4435
ENSG00000076321	3160	55.7118	6.0283
ENSG00000076356	294	1.6026	0.1734
ENSG00000076864	83	0.9759	0.1056
ENSG00000077152	593	41.7587	4.5185
ENSG00000077157	4256	22.1683	2.3987
ENSG00000077254	8052	87.2901	9.4453
ENSG00000077522	28	0.3836	0.0415
ENSG00000077549	22240	479.3180	51.8650
ENSG00000077585	2111	69.4642	7.5164
ENSG00000078369	70320	859.5180	93.0048
ENSG00000078618	25911	293.5970	31.7689
ENSG00000078808	17338	276.8440	29.9561
ENSG00000078900	277	3.7462	0.4054
ENSG00000079277	5664	52.7002	5.7025
ENSG00000079335	7430	97.2744	10.5257
ENSG00000079739	5522	99.4649	10.7627
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	2914	32.0747	3.4707
ENSG00000081019	5262	57.8717	6.2620
ENSG00000081026	490	4.4951	0.4864
ENSG00000081237	32896	290.0210	31.3819
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	17	0.2053	0.0222
ENSG00000081692	2706	47.0334	5.0893
ENSG00000081721	2133	90.7883	9.8238
ENSG00000081870	860	23.3824	2.5301
ENSG00000081985	1120	19.8464	2.1475
