gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1178	22.9880	2.6773
ENSG00000000460	864	10.1931	1.1871
ENSG00000000938	105457	2244.4000	261.3923
ENSG00000000971	4572	42.1066	4.9039
ENSG00000001460	165	1.4555	0.1695
ENSG00000001461	2073	16.5350	1.9257
ENSG00000004455	4256	56.1643	6.5411
ENSG00000004487	3936	86.4189	10.0647
ENSG00000006555	328	4.0669	0.4736
ENSG00000007341	1854	17.1425	1.9965
ENSG00000007908	6	0.1031	0.0120
ENSG00000007923	1691	24.6443	2.8702
ENSG00000007933	0	0.0066	0.0008
ENSG00000007968	3132	43.0498	5.0138
ENSG00000008118	23	0.6517	0.0759
ENSG00000008128	6402	101.7740	11.8530
ENSG00000008130	30019	392.3070	45.6898
ENSG00000009307	44414	578.8150	67.4113
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1421	25.0623	2.9189
ENSG00000009780	636	16.5974	1.9330
ENSG00000009790	7807	75.5248	8.7959
ENSG00000010072	3333	42.3312	4.9301
ENSG00000010165	817	15.9469	1.8572
ENSG00000010803	2499	42.1513	4.9091
ENSG00000010932	3	0.0697	0.0081
ENSG00000011007	4953	68.9113	8.0257
ENSG00000011009	4452	152.0540	17.7088
ENSG00000011021	3591	39.1217	4.5563
ENSG00000014914	843	13.7759	1.6044
ENSG00000016490	120	2.6943	0.3138
ENSG00000016602	2	0.0411	0.0048
ENSG00000018625	1	0.0119	0.0014
ENSG00000020129	1776	27.0842	3.1543
ENSG00000020633	7143	116.3390	13.5493
ENSG00000021852	11	0.2906	0.0338
ENSG00000023572	243	14.0223	1.6331
ENSG00000023902	8528	102.5310	11.9413
ENSG00000023909	922	12.8673	1.4986
ENSG00000024526	85	1.0798	0.1258
ENSG00000025800	8119	79.2192	9.2262
ENSG00000026751	682	11.1053	1.2934
ENSG00000027644	11	0.1627	0.0190
ENSG00000027869	595	17.7639	2.0689
ENSG00000028137	38632	769.3480	89.6017
ENSG00000031698	6295	123.0780	14.3342
ENSG00000033122	628	3.9226	0.4568
ENSG00000034971	1	0.0360	0.0042
ENSG00000035687	4106	83.9951	9.7824
ENSG00000036549	1807	15.0485	1.7526
ENSG00000037637	5471	45.6725	5.3192
ENSG00000040487	1519	42.4218	4.9406
ENSG00000041988	1199	22.0803	2.5716
ENSG00000042781	5	0.0182	0.0021
ENSG00000043514	707	17.2576	2.0099
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	19166	141.2030	16.4451
ENSG00000048707	13394	49.3749	5.7504
ENSG00000049089	10493	189.5950	22.0811
ENSG00000049239	12004	98.7509	11.5010
ENSG00000049245	11349	308.3990	35.9174
ENSG00000049246	246	2.5977	0.3025
ENSG00000049247	107	4.4902	0.5230
ENSG00000049249	256	8.3971	0.9780
ENSG00000050628	56	0.4354	0.0507
ENSG00000052723	2575	32.7623	3.8156
ENSG00000053371	1472	62.0017	7.2210
ENSG00000053372	664	17.6499	2.0556
ENSG00000054116	2899	65.6296	7.6435
ENSG00000054118	12057	190.9320	22.2368
ENSG00000054267	12544	84.9666	9.8956
ENSG00000054277	894	19.2638	2.2435
ENSG00000054282	2196	31.3829	3.6550
ENSG00000054392	150	2.6115	0.3042
ENSG00000054523	20265	85.9025	10.0046
ENSG00000055070	12729	201.1180	23.4231
ENSG00000055732	2	0.0192	0.0022
ENSG00000057252	4738	50.5314	5.8851
ENSG00000057468	28	0.6399	0.0745
ENSG00000057757	3396	116.5130	13.5696
ENSG00000058085	18	0.2072	0.0241
ENSG00000058453	898	5.4912	0.6395
ENSG00000058668	22891	176.6120	20.5689
ENSG00000058673	20437	158.0180	18.4035
ENSG00000058799	3789	125.6920	14.6387
ENSG00000058804	762	11.1355	1.2969
ENSG00000059588	3741	36.2375	4.2204
ENSG00000060642	1062	23.5402	2.7416
ENSG00000060656	41	0.4570	0.0532
ENSG00000060688	1235	23.0903	2.6892
ENSG00000060718	702	6.3660	0.7414
ENSG00000064703	1141	14.2160	1.6557
ENSG00000064886	692	15.7475	1.8340
ENSG00000065135	15474	361.9870	42.1586
ENSG00000065183	920	16.5896	1.9321
ENSG00000065243	10850	116.0210	13.5124
ENSG00000065526	40676	229.4790	26.7261
ENSG00000065600	463	11.9039	1.3864
ENSG00000065978	19145	743.9890	86.6482
ENSG00000066027	16666	323.5650	37.6838
ENSG00000066056	1254	14.0547	1.6369
ENSG00000066135	4791	69.4718	8.0910
ENSG00000066136	6236	78.1144	9.0975
ENSG00000066185	46	1.5877	0.1849
ENSG00000066279	866	5.9624	0.6944
ENSG00000066294	7068	57.2751	6.6705
ENSG00000066322	6391	194.9380	22.7033
ENSG00000066557	829	21.5621	2.5112
ENSG00000067208	2070	18.7706	2.1861
ENSG00000067334	7080	88.4231	10.2981
ENSG00000067533	493	4.6931	0.5466
ENSG00000067606	1446	14.1998	1.6538
ENSG00000067704	5062	91.2268	10.6247
ENSG00000069248	2143	31.7876	3.7021
ENSG00000069275	5391	61.7699	7.1940
ENSG00000069424	23926	220.8240	25.7181
ENSG00000069702	740	6.4141	0.7470
ENSG00000069712	499	8.0950	0.9428
ENSG00000069812	2	0.0277	0.0032
ENSG00000070759	2869	62.1812	7.2419
ENSG00000070785	623	15.3510	1.7878
ENSG00000070831	31469	680.1740	79.2160
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	3615	38.7580	4.5139
ENSG00000073754	11	0.3412	0.0397
ENSG00000073756	18475	262.9840	30.6282
ENSG00000074800	52905	968.4850	112.7939
ENSG00000074964	586	5.5970	0.6519
ENSG00000075151	7999	71.1700	8.2888
ENSG00000075391	431	2.7344	0.3185
ENSG00000075945	1388	20.7680	2.4187
ENSG00000076258	303	9.0175	1.0502
ENSG00000076321	1080	19.0400	2.2175
ENSG00000076356	2076	11.2975	1.3158
ENSG00000076864	2573	30.4209	3.5430
ENSG00000077152	190	13.3662	1.5567
ENSG00000077157	4729	24.6302	2.8685
ENSG00000077254	5165	55.9997	6.5220
ENSG00000077522	4	0.0554	0.0064
ENSG00000077549	32587	702.3140	81.7945
ENSG00000077585	817	26.8947	3.1323
ENSG00000078369	43418	530.6910	61.8066
ENSG00000078618	28462	322.5000	37.5598
ENSG00000078808	8755	139.7950	16.2811
ENSG00000078900	197	2.6533	0.3090
ENSG00000079277	23411	217.8440	25.3710
ENSG00000079335	3534	46.2639	5.3881
ENSG00000079739	5719	103.0170	11.9978
