gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1208	23.5601	2.0481
ENSG00000000460	2092	24.6885	2.1462
ENSG00000000938	4660	99.1791	8.6219
ENSG00000000971	115	1.0545	0.0917
ENSG00000001460	568	5.0001	0.4347
ENSG00000001461	2305	18.3845	1.5982
ENSG00000004455	16374	216.0860	18.7849
ENSG00000004487	15766	346.1570	30.0924
ENSG00000006555	10	0.1239	0.0108
ENSG00000007341	2449	22.6496	1.9690
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4454	64.8986	5.6418
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2486	34.1646	2.9700
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2866	45.5649	3.9611
ENSG00000008130	9260	121.0130	10.5200
ENSG00000009307	109811	1431.0700	124.4069
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2470	0.0215
ENSG00000009780	1309	34.1255	2.9666
ENSG00000009790	9699	93.8223	8.1562
ENSG00000010072	1966	24.9690	2.1706
ENSG00000010165	1797	35.0744	3.0491
ENSG00000010803	18011	303.7580	26.4065
ENSG00000010932	6	0.1259	0.0109
ENSG00000011007	9252	128.7120	11.1893
ENSG00000011009	5805	198.2500	17.2345
ENSG00000011021	3730	40.6354	3.5326
ENSG00000014914	2738	44.7330	3.8888
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0021
ENSG00000020129	3520	53.6911	4.6675
ENSG00000020633	903	14.7016	1.2781
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	518	29.9045	2.5997
ENSG00000023902	17805	214.0680	18.6096
ENSG00000023909	272	3.8024	0.3305
ENSG00000024526	575	7.3101	0.6355
ENSG00000025800	12024	117.3120	10.1983
ENSG00000026751	196	3.1853	0.2769
ENSG00000027644	58	0.8518	0.0740
ENSG00000027869	258	7.7118	0.6704
ENSG00000028137	10076	200.6680	17.4446
ENSG00000031698	9715	189.9510	16.5130
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	9066	185.4690	16.1233
ENSG00000036549	8913	74.2080	6.4511
ENSG00000037637	3542	29.5677	2.5704
ENSG00000040487	1029	28.7357	2.4981
ENSG00000041988	865	15.9285	1.3847
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1199	29.2937	2.5466
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	26869	197.9570	17.2090
ENSG00000048707	5907	21.7748	1.8929
ENSG00000049089	1684	30.4348	2.6458
ENSG00000049239	7643	62.8777	5.4661
ENSG00000049245	18924	514.2510	44.7053
ENSG00000049246	67	0.7088	0.0616
