gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	294	5.7414	1.1945
ENSG00000000460	463	5.4688	1.1378
ENSG00000000938	914	19.4543	4.0474
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	271	2.3838	0.4959
ENSG00000001461	1355	10.8056	2.2481
ENSG00000004455	12867	169.8050	35.3273
ENSG00000004487	6379	140.0450	29.1358
ENSG00000006555	12	0.1486	0.0309
ENSG00000007341	641	5.9294	1.2336
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1480	21.5687	4.4873
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5733	78.7959	16.3932
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1418	22.5439	4.6902
ENSG00000008130	4343	56.7505	11.8067
ENSG00000009307	67051	873.8160	181.7941
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	10	0.1750	0.0364
ENSG00000009780	816	21.2855	4.4284
ENSG00000009790	2560	24.7605	5.1513
ENSG00000010072	925	11.7455	2.4436
ENSG00000010165	426	8.3107	1.7290
ENSG00000010803	3603	60.7648	12.6419
ENSG00000010932	4	0.0839	0.0175
ENSG00000011007	3084	42.9086	8.9270
ENSG00000011009	1545	52.7700	10.9786
ENSG00000011021	2653	28.9003	6.0126
ENSG00000014914	202	3.2973	0.6860
ENSG00000016490	4	0.0898	0.0187
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1878	28.6412	5.9587
ENSG00000020633	4040	65.8004	13.6895
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	104	6.0231	1.2531
ENSG00000023902	8044	96.7124	20.1206
ENSG00000023909	85	1.1866	0.2469
ENSG00000024526	161	2.0506	0.4266
ENSG00000025800	11111	108.4030	22.5529
ENSG00000026751	55	0.8986	0.1869
ENSG00000027644	2	0.0223	0.0046
ENSG00000027869	267	7.9626	1.6566
ENSG00000028137	1949	38.8093	8.0742
ENSG00000031698	5038	98.5078	20.4942
ENSG00000033122	2	0.0125	0.0026
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2162	44.2387	9.2037
ENSG00000036549	3261	27.1534	5.6492
ENSG00000037637	1812	15.1307	3.1479
ENSG00000040487	1287	35.9453	7.4783
ENSG00000041988	572	10.5422	2.1933
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	605	14.7659	3.0720
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10889	80.2249	16.6905
ENSG00000048707	5496	20.2578	4.2146
ENSG00000049089	264	4.7769	0.9938
ENSG00000049239	3598	29.6016	6.1585
ENSG00000049245	10385	282.1890	58.7085
ENSG00000049246	224	2.3681	0.4927
ENSG00000049247	0	0.0151	0.0032
ENSG00000049249	14	0.4597	0.0956
ENSG00000050628	2	0.0155	0.0032
