gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	613	11.9566	1.8684
ENSG00000000460	561	6.6198	1.0344
ENSG00000000938	2122	45.1649	7.0576
ENSG00000000971	1	0.0092	0.0014
ENSG00000001460	888	7.8227	1.2224
ENSG00000001461	2491	19.8703	3.1050
ENSG00000004455	11052	145.8620	22.7930
ENSG00000004487	3588	78.7822	12.3108
ENSG00000006555	28	0.3452	0.0539
ENSG00000007341	1520	14.0583	2.1968
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1626	23.6983	3.7032
ENSG00000007933	19	0.4115	0.0643
ENSG00000007968	6056	83.2373	13.0070
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4682	74.4269	11.6302
ENSG00000008130	1888	24.6790	3.8564
ENSG00000009307	24074	313.7400	49.0262
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	268	4.7358	0.7400
ENSG00000009780	2806	73.1676	11.4334
ENSG00000009790	4194	40.5709	6.3398
ENSG00000010072	2346	29.7870	4.6546
ENSG00000010165	1133	22.1036	3.4540
ENSG00000010803	1730	29.1817	4.5600
ENSG00000010932	30	0.6259	0.0978
ENSG00000011007	5779	80.4040	12.5642
ENSG00000011009	2563	87.5250	13.6770
ENSG00000011021	1319	14.3723	2.2459
ENSG00000014914	25	0.4084	0.0638
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	363	5.5322	0.8645
ENSG00000020633	3483	56.7344	8.8655
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	719	41.4911	6.4836
ENSG00000023902	5004	60.1693	9.4023
ENSG00000023909	2288	31.9354	4.9904
ENSG00000024526	380	4.8296	0.7547
ENSG00000025800	20542	200.4250	31.3192
ENSG00000026751	595	9.6987	1.5156
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	72	2.1389	0.3342
ENSG00000028137	2295	45.7005	7.1413
ENSG00000031698	7266	142.0650	22.1997
ENSG00000033122	119	0.7430	0.1161
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1371	28.0570	4.3843
ENSG00000036549	2755	22.9375	3.5843
ENSG00000037637	4902	40.9225	6.3947
ENSG00000040487	293	8.1739	1.2773
ENSG00000041988	1840	33.8924	5.2962
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	667	16.2807	2.5441
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5030	37.0573	5.7907
ENSG00000048707	2160	7.9604	1.2439
ENSG00000049089	299	5.3970	0.8434
ENSG00000049239	2539	20.8832	3.2633
ENSG00000049245	3568	96.9692	15.1528
ENSG00000049246	344	3.6294	0.5671
ENSG00000049247	47	1.9658	0.3072
ENSG00000049249	199	6.5333	1.0209
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3754	47.7704	7.4648
ENSG00000053371	479	20.1505	3.1488
ENSG00000053372	2328	61.8668	9.6675
ENSG00000054116	5437	123.0830	19.2335
ENSG00000054118	33854	536.1240	83.7768
ENSG00000054267	19081	129.2410	20.1957
ENSG00000054277	59	1.2810	0.2002
ENSG00000054282	6419	91.7517	14.3375
ENSG00000054392	511	8.9225	1.3943
ENSG00000054523	2211	9.3705	1.4643
ENSG00000055070	10327	163.1530	25.4949
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2618	27.9160	4.3623
ENSG00000057468	11	0.2584	0.0404
ENSG00000057757	4891	167.8170	26.2236
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	350	2.1389	0.3342
ENSG00000058668	2179	16.8103	2.6268
ENSG00000058673	6690	51.7254	8.0828
ENSG00000058799	1098	36.4122	5.6899
ENSG00000058804	1232	17.9965	2.8122
ENSG00000059588	4859	47.0615	7.3540
ENSG00000060642	1431	31.7339	4.9589
ENSG00000060656	19	0.2127	0.0332
ENSG00000060688	4830	90.3219	14.1140
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3191	39.7599	6.2130
ENSG00000064886	174	3.9536	0.6178
ENSG00000065135	4612	107.9020	16.8611
ENSG00000065183	299	5.3881	0.8420
ENSG00000065243	3915	41.8636	6.5418
ENSG00000065526	4904	27.6683	4.3236
ENSG00000065600	1534	39.4832	6.1698
ENSG00000065978	42879	1666.2700	260.3783
ENSG00000066027	2210	42.9029	6.7042
ENSG00000066056	602	6.7501	1.0548
ENSG00000066135	1455	21.0965	3.2966
ENSG00000066136	2238	28.0413	4.3818
ENSG00000066185	33	1.1130	0.1739
ENSG00000066279	1194	8.2238	1.2851
ENSG00000066294	1204	9.7579	1.5248
ENSG00000066322	6552	199.8500	31.2293
ENSG00000066557	1822	47.3825	7.4042
ENSG00000067208	932	8.4458	1.3198
ENSG00000067334	8057	100.6260	15.7242
ENSG00000067533	609	5.7958	0.9057
ENSG00000067606	618	6.0698	0.9485
ENSG00000067704	1420	25.5908	3.9989
ENSG00000069248	1379	20.4566	3.1966
ENSG00000069275	23110	264.7780	41.3752
ENSG00000069424	5025	46.3800	7.2475
ENSG00000069702	103	0.8887	0.1389
ENSG00000069712	8	0.1298	0.0203
ENSG00000069812	5	0.0694	0.0108
ENSG00000070759	1166	25.2737	3.9494
ENSG00000070785	1666	41.0549	6.4154
ENSG00000070831	23616	510.4410	79.7635
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	45	0.4814	0.0752
ENSG00000073754	1	0.0305	0.0048
ENSG00000073756	182	2.5920	0.4050
ENSG00000074800	82612	1512.3000	236.3177
ENSG00000074964	15	0.1434	0.0224
ENSG00000075151	2953	26.2764	4.1061
ENSG00000075391	2	0.0127	0.0020
ENSG00000075945	1735	25.9533	4.0556
ENSG00000076258	98	2.9178	0.4559
ENSG00000076321	1803	31.7868	4.9671
ENSG00000076356	51	0.2776	0.0434
ENSG00000076864	1537	18.1783	2.8406
ENSG00000077152	2292	161.3760	25.2171
ENSG00000077157	1224	6.3776	0.9966
ENSG00000077254	5140	55.7225	8.7074
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	14677	316.3210	49.4295
ENSG00000077585	94	3.0829	0.4818
ENSG00000078369	9821	120.0360	18.7573
ENSG00000078618	8755	99.2027	15.5018
ENSG00000078808	1272	20.3093	3.1736
ENSG00000078900	53	0.7172	0.1121
ENSG00000079277	2942	27.3787	4.2783
