gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	398	7.7602	0.9264
ENSG00000000460	888	10.4857	1.2518
ENSG00000000938	19606	417.2760	49.8161
ENSG00000000971	305	2.8050	0.3349
ENSG00000001460	451	3.9758	0.4746
ENSG00000001461	2003	15.9735	1.9070
ENSG00000004455	13826	182.4630	21.7832
ENSG00000004487	2404	52.7731	6.3003
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1176	10.8752	1.2983
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2248	32.7599	3.9110
ENSG00000007933	1	0.0217	0.0026
ENSG00000007968	11965	164.4400	19.6315
ENSG00000008118	40	1.1110	0.1326
ENSG00000008128	4693	74.6058	8.9067
ENSG00000008130	1876	24.5175	2.9270
ENSG00000009307	50461	657.6100	78.5081
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	238	4.2063	0.5022
ENSG00000009780	4898	127.7310	15.2490
ENSG00000009790	5025	48.6120	5.8035
ENSG00000010072	4487	56.9858	6.8032
ENSG00000010165	890	17.3700	2.0737
ENSG00000010803	813	13.7149	1.6373
ENSG00000010932	48	1.0137	0.1210
ENSG00000011007	11408	158.7130	18.9478
ENSG00000011009	4193	143.2140	17.0975
ENSG00000011021	1493	16.2682	1.9422
ENSG00000014914	4128	67.4443	8.0518
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	480	7.3144	0.8732
ENSG00000020633	4983	81.1637	9.6896
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	800	46.2055	5.5162
ENSG00000023902	12012	144.4160	17.2410
ENSG00000023909	3291	45.9302	5.4833
ENSG00000024526	571	7.2534	0.8659
ENSG00000025800	20589	200.8780	23.9816
ENSG00000026751	954	15.5382	1.8550
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	148	4.4172	0.5274
ENSG00000028137	13700	272.8450	32.5733
ENSG00000031698	8247	161.2460	19.2502
ENSG00000033122	152	0.9510	0.1135
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1255	25.6787	3.0656
ENSG00000036549	3862	32.1569	3.8390
ENSG00000037637	3715	31.0093	3.7020
ENSG00000040487	242	6.7591	0.8069
ENSG00000041988	2151	39.6125	4.7291
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	432	10.5598	1.2607
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14697	108.2760	12.9264
ENSG00000048707	4405	16.2368	1.9384
ENSG00000049089	941	16.9988	2.0294
ENSG00000049239	4236	34.8496	4.1605
ENSG00000049245	10285	279.4770	33.3651
ENSG00000049246	28	0.2990	0.0357
ENSG00000049247	29	1.2165	0.1452
ENSG00000049249	302	9.9190	1.1842
ENSG00000050628	40	0.3108	0.0371
ENSG00000052723	2859	36.3848	4.3438
ENSG00000053371	981	41.3172	4.9326
ENSG00000053372	2609	69.3331	8.2772
ENSG00000054116	5842	132.2480	15.7883
ENSG00000054118	40832	646.6140	77.1953
ENSG00000054267	38599	261.4430	31.2121
ENSG00000054277	730	15.7247	1.8773
ENSG00000054282	4610	65.8937	7.8666
ENSG00000054392	262	4.5738	0.5460
ENSG00000054523	4082	17.3041	2.0658
ENSG00000055070	14485	228.8520	27.3212
ENSG00000055732	1	0.0113	0.0014
ENSG00000057252	7285	77.6872	9.2746
ENSG00000057468	12	0.2722	0.0325
ENSG00000057757	6866	235.5750	28.1239
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	66	0.4055	0.0484
ENSG00000058668	5273	40.6857	4.8572
ENSG00000058673	9834	76.0361	9.0775
ENSG00000058799	2387	79.1681	9.4514
ENSG00000058804	1671	24.4084	2.9140
ENSG00000059588	1871	18.1215	2.1634
ENSG00000060642	655	14.5343	1.7352
ENSG00000060656	1	0.0112	0.0013
ENSG00000060688	6141	114.8360	13.7095
ENSG00000060718	44	0.3993	0.0477
ENSG00000064703	2866	35.7132	4.2636
ENSG00000064886	1436	32.6883	3.9025
ENSG00000065135	18930	442.8350	52.8674
ENSG00000065183	979	17.6509	2.1072
ENSG00000065243	4010	42.8737	5.1184
ENSG00000065526	11470	64.7069	7.7250
ENSG00000065600	2521	64.8943	7.7473
ENSG00000065978	90694	3524.3600	420.7520
ENSG00000066027	3232	62.7429	7.4905
ENSG00000066056	116	1.2988	0.1551
ENSG00000066135	1613	23.3840	2.7917
ENSG00000066136	3135	39.2764	4.6890
ENSG00000066185	91	3.1203	0.3725
ENSG00000066279	1815	12.5029	1.4926
ENSG00000066294	4671	37.8529	4.5190
ENSG00000066322	11384	347.2030	41.4505
ENSG00000066557	2884	75.0118	8.9552
ENSG00000067208	2784	25.2450	3.0139
ENSG00000067334	32057	400.3790	47.7988
ENSG00000067533	1979	18.8247	2.2474
ENSG00000067606	163	1.6011	0.1911
ENSG00000067704	3843	69.2477	8.2671
ENSG00000069248	2691	39.9043	4.7639
ENSG00000069275	32575	373.2240	44.5570
ENSG00000069424	4793	44.2374	5.2812
ENSG00000069702	404	3.5016	0.4180
ENSG00000069712	121	1.9611	0.2341
ENSG00000069812	6	0.0832	0.0099
ENSG00000070759	1022	22.1491	2.6442
ENSG00000070785	1372	33.8071	4.0360
ENSG00000070831	56611	1223.5900	146.0767
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	148	1.5905	0.1899
ENSG00000073754	16	0.4886	0.0583
ENSG00000073756	399	5.6863	0.6789
ENSG00000074800	176305	3227.4600	385.3066
ENSG00000074964	517	4.9416	0.5900
ENSG00000075151	3650	32.4807	3.8777
ENSG00000075391	0	0.0000	0.0000
ENSG00000075945	958	14.3291	1.7107
ENSG00000076258	85	2.5332	0.3024
ENSG00000076321	2900	51.1347	6.1047
ENSG00000076356	100	0.5460	0.0652
ENSG00000076864	1686	19.9346	2.3799
ENSG00000077152	1470	103.5440	12.3615
ENSG00000077157	1993	10.3783	1.2390
ENSG00000077254	5850	63.4164	7.5709
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	42568	917.4110	109.5242
ENSG00000077585	720	23.6946	2.8288
ENSG00000078369	17978	219.7430	26.2338
ENSG00000078618	13803	156.4030	18.6720
ENSG00000078808	1893	30.2336	3.6094
ENSG00000078900	44	0.5937	0.0709
ENSG00000079277	4413	41.0655	4.9026
ENSG00000079335	2306	30.1848	3.6036
ENSG00000079739	1322	23.8129	2.8429
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	303	3.3346	0.3981
ENSG00000081019	8033	88.3471	10.5472
ENSG00000081026	197	1.8055	0.2155
ENSG00000081237	42541	375.0500	44.7750
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2072	36.0086	4.2988
ENSG00000081721	7538	320.8540	38.3048
ENSG00000081870	3267	88.8028	10.6016
ENSG00000081985	538	9.5263	1.1373
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1344	11.1686	1.3334
ENSG00000083444	5167	72.7443	8.6845
ENSG00000084070	6501	147.7930	17.6441
ENSG00000084072	6559	60.9477	7.2762
ENSG00000084073	2959	62.1344	7.4178
ENSG00000084623	17738	771.2120	92.0704
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	31	0.2406	0.0287
ENSG00000084652	14510	213.2520	25.4589
ENSG00000085433	1455	24.0562	2.8719
ENSG00000085465	108	2.7078	0.3233
ENSG00000085491	3223	36.9117	4.4067
ENSG00000085552	18	0.2089	0.0249
ENSG00000085831	281	2.2538	0.2691
ENSG00000085832	6126	60.8502	7.2645
ENSG00000085840	2554	60.6845	7.2447
ENSG00000085998	1445	17.0248	2.0325
ENSG00000085999	549	12.8129	1.5296
ENSG00000086015	218	1.8392	0.2196
ENSG00000086619	1251	16.4940	1.9691
ENSG00000088035	693	10.5036	1.2540
ENSG00000088280	4	0.0613	0.0073
ENSG00000090020	1363	17.1125	2.0429
ENSG00000090104	5118	93.2407	11.1314
ENSG00000090273	6140	161.1930	19.2439
ENSG00000090432	7255	223.3590	26.6655
ENSG00000090621	9284	102.6680	12.2569
ENSG00000090686	4674	36.9150	4.4071
ENSG00000091483	1489	52.1405	6.2247
ENSG00000092607	20	0.3941	0.0471
ENSG00000092621	2591	34.5619	4.1261
ENSG00000092847	10440	60.7619	7.2540
ENSG00000092850	12	0.4550	0.0543
ENSG00000092853	2989	41.4254	4.9455
ENSG00000092969	5	0.0755	0.0090
ENSG00000092978	1082	9.1825	1.0962
ENSG00000094963	5	0.0601	0.0072
ENSG00000094975	10388	120.4700	14.3822
ENSG00000097021	1704	26.1450	3.1213
ENSG00000097033	9256	103.9730	12.4127
ENSG00000097046	1591	33.1487	3.9574
ENSG00000097096	148	1.7196	0.2053
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	363	7.8055	0.9319
ENSG00000116128	1092	12.7598	1.5233
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	680	11.4771	1.3702
ENSG00000116138	574	5.0294	0.6004
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	415	5.9541	0.7108
ENSG00000116157	405	17.9533	2.1434
ENSG00000116161	11394	189.4760	22.6204
ENSG00000116171	15990	144.4010	17.2391
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	368	3.7154	0.4436
ENSG00000116194	2	0.0437	0.0052
ENSG00000116198	770	7.3277	0.8748
ENSG00000116199	1673	20.7811	2.4809
ENSG00000116205	226	2.9046	0.3468
ENSG00000116209	29256	527.9520	63.0290
ENSG00000116212	475	14.7735	1.7637
ENSG00000116213	1521	15.0020	1.7910
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	12317	419.1200	50.0362
ENSG00000116237	1106	16.8850	2.0158
ENSG00000116251	17726	271.3160	32.3908
ENSG00000116254	2	0.0152	0.0018
ENSG00000116260	7335	59.0810	7.0533
ENSG00000116266	4936	62.8041	7.4978
ENSG00000116273	861	17.5368	2.0936
ENSG00000116285	251	4.4962	0.5368
ENSG00000116288	21368	668.5870	79.8186
ENSG00000116299	261	2.1030	0.2511
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	5900	64.8102	7.7373
ENSG00000116350	5735	135.3550	16.1592
ENSG00000116353	971	18.3627	2.1922
ENSG00000116396	98	0.7855	0.0938
ENSG00000116406	1750	17.4279	2.0806
ENSG00000116455	1316	35.1875	4.2008
ENSG00000116459	19829	439.6100	52.4823
ENSG00000116473	4218	55.1746	6.5870
ENSG00000116478	12567	235.1100	28.0684
ENSG00000116489	49976	907.5620	108.3484
ENSG00000116497	1669	13.6207	1.6261
ENSG00000116514	4091	117.5570	14.0344
ENSG00000116521	6650	204.2380	24.3827
ENSG00000116525	293	5.5218	0.6592
ENSG00000116539	8768	49.4559	5.9042
ENSG00000116544	40	0.7516	0.0897
ENSG00000116560	48898	493.8510	58.9579
ENSG00000116574	3723	63.8692	7.6250
ENSG00000116580	5051	31.1614	3.7202
ENSG00000116584	6789	68.6767	8.1989
ENSG00000116586	9340	487.1180	58.1540
ENSG00000116604	12885	151.0010	18.0271
ENSG00000116641	257	1.7724	0.2116
ENSG00000116649	2418	95.5653	11.4090
ENSG00000116652	93	5.9905	0.7151
ENSG00000116661	4	0.1286	0.0154
ENSG00000116663	4557	188.7060	22.5285
ENSG00000116667	339	2.3195	0.2769
ENSG00000116668	682	12.6112	1.5056
ENSG00000116670	11904	262.3650	31.3221
ENSG00000116675	202	2.1889	0.2613
ENSG00000116678	2497	16.3490	1.9518
ENSG00000116679	7732	73.1361	8.7313
ENSG00000116685	1301	29.7418	3.5507
ENSG00000116688	6858	103.3300	12.3360
ENSG00000116690	377	5.5927	0.6677
ENSG00000116691	2835	75.3839	8.9996
ENSG00000116698	5753	51.8776	6.1934
ENSG00000116701	11310	289.7030	34.5859
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	1554	16.2968	1.9456
ENSG00000116711	310	8.0932	0.9662
ENSG00000116717	6125	222.0390	26.5079
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	0	0.0000	0.0000
ENSG00000116731	12180	83.7384	9.9970
ENSG00000116741	18268	656.8040	78.4119
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	22250	183.3380	21.8876
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	4043	84.2490	10.0580
ENSG00000116752	9546	551.1630	65.8001
ENSG00000116754	30139	266.6540	31.8342
ENSG00000116761	380	11.7954	1.4082
ENSG00000116771	186	5.5668	0.6646
ENSG00000116774	665	22.0132	2.6280
ENSG00000116783	140	1.7951	0.2143
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	7710	140.2860	16.7479
ENSG00000116791	696	12.7888	1.5268
ENSG00000116793	4108	42.9703	5.1300
ENSG00000116809	1149	20.3229	2.4262
ENSG00000116815	12997	546.6900	65.2660
ENSG00000116819	114	3.9205	0.4681
ENSG00000116824	880	39.2972	4.6914
ENSG00000116830	3914	46.9578	5.6060
ENSG00000116833	0	0.0000	0.0000
