gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	24	0.4675	0.0888
ENSG00000000460	412	4.8689	0.9253
ENSG00000000938	93	1.9787	0.3760
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	165	1.4556	0.2766
ENSG00000001461	1566	12.4886	2.3733
ENSG00000004455	3635	47.9741	9.1169
ENSG00000004487	3508	77.0170	14.6361
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	352	3.2508	0.6178
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	875	12.7525	2.4234
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1164	15.9919	3.0391
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2166	34.4375	6.5444
ENSG00000008130	834	10.9003	2.0715
ENSG00000009307	40587	528.9370	100.5177
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	239	4.2131	0.8007
ENSG00000009780	3195	83.3088	15.8317
ENSG00000009790	4480	43.3386	8.2359
ENSG00000010072	1706	21.6654	4.1172
ENSG00000010165	146	2.8486	0.5413
ENSG00000010803	8941	150.7880	28.6553
ENSG00000010932	68	1.4186	0.2696
ENSG00000011007	1343	18.6782	3.5496
ENSG00000011009	67	2.3010	0.4373
ENSG00000011021	391	4.2586	0.8093
ENSG00000014914	0	0.0000	0.0000
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0023
ENSG00000020129	56	0.8542	0.1623
ENSG00000020633	34868	567.8810	107.9184
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	681	39.3218	7.4726
ENSG00000023902	4997	60.0834	11.4181
ENSG00000023909	1106	15.4384	2.9339
ENSG00000024526	0	0.0000	0.0000
ENSG00000025800	37072	361.7040	68.7373
ENSG00000026751	0	0.0000	0.0000
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	0	0.0000	0.0000
ENSG00000028137	70	1.3941	0.2649
ENSG00000031698	2926	57.2172	10.8734
ENSG00000033122	90	0.5637	0.1071
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1366	27.9424	5.3101
ENSG00000036549	1987	16.5443	3.1440
ENSG00000037637	4813	40.1792	7.6355
ENSG00000040487	33	0.9214	0.1751
ENSG00000041988	306	5.6405	1.0719
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	69	1.6968	0.3225
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6772	49.8955	9.4820
ENSG00000048707	6086	22.4333	4.2632
ENSG00000049089	1	0.0181	0.0034
ENSG00000049239	3250	26.7386	5.0813
ENSG00000049245	4114	111.7970	21.2455
ENSG00000049246	0	0.0000	0.0000
