gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2054	40.0848	3.6068
ENSG00000000460	3245	38.3003	3.4462
ENSG00000000938	2443	51.9838	4.6775
ENSG00000000971	2152	19.8202	1.7834
ENSG00000001460	1545	13.6132	1.2249
ENSG00000001461	10343	82.4860	7.4220
ENSG00000004455	51776	683.2960	61.4823
ENSG00000004487	7786	170.9510	15.3820
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	3975	36.7591	3.3075
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	5402	78.7158	7.0828
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2338	32.1275	2.8908
ENSG00000008118	0	0.0041	0.0004
ENSG00000008128	3591	57.0871	5.1366
ENSG00000008130	780	10.1903	0.9169
ENSG00000009307	45080	587.4900	52.8618
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	250	4.4187	0.3976
ENSG00000009780	5624	146.6720	13.1974
ENSG00000009790	13149	127.2010	11.4454
ENSG00000010072	2186	27.7638	2.4982
ENSG00000010165	4762	92.9443	8.3630
ENSG00000010803	6268	105.7190	9.5125
ENSG00000010932	103	2.1519	0.1936
ENSG00000011007	9684	134.7270	12.1226
ENSG00000011009	3506	119.7390	10.7740
ENSG00000011021	919	10.0089	0.9006
ENSG00000014914	538	8.7868	0.7906
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	5132	78.2859	7.0441
ENSG00000020633	6400	104.2420	9.3796
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	2014	116.2640	10.4613
ENSG00000023902	3612	43.4234	3.9072
ENSG00000023909	3665	51.1502	4.6024
ENSG00000024526	908	11.5308	1.0375
ENSG00000025800	28881	281.7870	25.3549
ENSG00000026751	14	0.2272	0.0204
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	102	3.0530	0.2747
ENSG00000028137	4974	99.0512	8.9125
ENSG00000031698	18061	353.1210	31.7735
ENSG00000033122	15	0.0950	0.0085
ENSG00000034971	124	4.4820	0.4033
ENSG00000035687	5187	106.1140	9.5481
ENSG00000036549	3211	26.7386	2.4059
ENSG00000037637	3953	32.9992	2.9692
ENSG00000040487	1370	38.2520	3.4419
ENSG00000041988	3947	72.6997	6.5414
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2466	60.2312	5.4196
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13276	97.8125	8.8011
ENSG00000048707	1873	6.9032	0.6211
ENSG00000049089	324	5.8567	0.5270
ENSG00000049239	6633	54.5639	4.9096
ENSG00000049245	4243	115.2940	10.3740
ENSG00000049246	172	1.8153	0.1633
ENSG00000049247	9	0.3584	0.0322
ENSG00000049249	176	5.7820	0.5203
ENSG00000050628	68	0.5263	0.0474
ENSG00000052723	8082	102.8360	9.2530
ENSG00000053371	2205	92.8439	8.3540
ENSG00000053372	11077	294.3980	26.4896
ENSG00000054116	16633	376.5280	33.8796
ENSG00000054118	101456	1606.6700	144.5663
ENSG00000054267	23567	159.6260	14.3630
ENSG00000054277	1106	23.8388	2.1450
ENSG00000054282	18811	268.8890	24.1944
ENSG00000054392	1731	30.2169	2.7189
ENSG00000054523	2361	10.0089	0.9006
ENSG00000055070	15135	239.1260	21.5163
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5806	61.9137	5.5709
ENSG00000057468	4	0.0955	0.0086
ENSG00000057757	6724	230.6940	20.7576
ENSG00000058085	4	0.0459	0.0041
ENSG00000058453	170	1.0404	0.0936
ENSG00000058668	29702	229.1570	20.6193
ENSG00000058673	12041	93.0992	8.3770
ENSG00000058799	3406	112.9810	10.1659
ENSG00000058804	3852	56.2582	5.0621
ENSG00000059588	5627	54.5039	4.9042
ENSG00000060642	3339	74.0408	6.6621
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	12452	232.8400	20.9507
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2723	33.9330	3.0533
ENSG00000064886	2	0.0455	0.0041
ENSG00000065135	12035	281.5510	25.3337
ENSG00000065183	6429	115.9330	10.4316
ENSG00000065243	2884	30.8372	2.7747
ENSG00000065526	12539	70.7424	6.3653
ENSG00000065600	5332	137.2260	12.3475
ENSG00000065978	160294	6229.0500	560.4840
ENSG00000066027	2573	49.9464	4.4941
ENSG00000066056	4440	49.7487	4.4763
ENSG00000066135	5008	72.6249	6.5347
ENSG00000066136	4564	57.1782	5.1448
ENSG00000066185	1024	34.9895	3.1483
ENSG00000066279	1941	13.3717	1.2032
ENSG00000066294	10994	89.0897	8.0162
ENSG00000066322	16198	494.0390	44.4531
ENSG00000066557	1954	50.8263	4.5733
ENSG00000067208	1114	10.1044	0.9092
ENSG00000067334	16185	202.1390	18.1882
ENSG00000067533	2542	24.1893	2.1765
ENSG00000067606	1494	14.6752	1.3205
ENSG00000067704	9302	167.6230	15.0825
ENSG00000069248	2171	32.2015	2.8975
ENSG00000069275	144189	1652.0300	148.6482
ENSG00000069424	13321	122.9510	11.0630
ENSG00000069702	51	0.4393	0.0395
ENSG00000069712	221	3.5819	0.3223
ENSG00000069812	7	0.0971	0.0087
ENSG00000070759	1883	40.8066	3.6717
ENSG00000070785	12816	315.8610	28.4209
ENSG00000070831	47834	1033.8700	93.0266
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	15	0.1608	0.0145
ENSG00000073754	106	3.2329	0.2909
ENSG00000073756	1204	17.1317	1.5415
ENSG00000074800	299156	5476.3700	492.7585
ENSG00000074964	14	0.1338	0.0120
ENSG00000075151	9359	83.2774	7.4932
ENSG00000075391	412	2.6146	0.2353
ENSG00000075945	2047	30.6254	2.7556
ENSG00000076258	1520	45.3023	4.0763
ENSG00000076321	2586	45.5992	4.1030
ENSG00000076356	191	1.0382	0.0934
ENSG00000076864	137	1.6207	0.1458
ENSG00000077152	5349	376.7120	33.8962
ENSG00000077157	1762	9.1780	0.8258
ENSG00000077254	6759	73.2728	6.5930
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	56633	1220.5400	109.8232
ENSG00000077585	73	2.4164	0.2174
ENSG00000078369	39802	486.4980	43.7746
ENSG00000078618	27718	314.0740	28.2600
ENSG00000078808	3253	51.9363	4.6732
ENSG00000078900	264	3.5642	0.3207
ENSG00000079277	9062	84.3242	7.5874
ENSG00000079335	1936	25.3456	2.2806
ENSG00000079739	2622	47.2337	4.2500
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	345	3.7974	0.3417
ENSG00000081019	30763	338.3480	30.4442
ENSG00000081026	36	0.3320	0.0299
ENSG00000081237	53295	469.8640	42.2779
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	6047	105.0980	9.4566
ENSG00000081721	3442	146.5030	13.1822
ENSG00000081870	10159	276.1610	24.8487
ENSG00000081985	362	6.4085	0.5766
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	23	0.3155	0.0284
ENSG00000082512	1994	16.5751	1.4914
ENSG00000083444	4954	69.7503	6.2761
ENSG00000084070	14318	325.5060	29.2887
ENSG00000084072	31346	291.2870	26.2097
ENSG00000084073	5622	118.0480	10.6218
ENSG00000084623	33346	1449.8100	130.4525
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	3	0.0236	0.0021
ENSG00000084652	25357	372.6720	33.5327
ENSG00000085433	500	8.2670	0.7439
ENSG00000085465	94	2.3517	0.2116
ENSG00000085491	1217	13.9352	1.2539
ENSG00000085552	49	0.5530	0.0498
ENSG00000085831	88	0.7036	0.0633
ENSG00000085832	14595	144.9660	13.0439
ENSG00000085840	5109	121.3650	10.9203
ENSG00000085998	3417	40.2518	3.6218
ENSG00000085999	5475	127.8400	11.5029
ENSG00000086015	623	5.2613	0.4734
ENSG00000086619	930	12.2593	1.1031
ENSG00000088035	3089	46.8385	4.2145
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	770	9.6593	0.8691
ENSG00000090104	816	14.8725	1.3382
ENSG00000090273	13164	345.5830	31.0952
ENSG00000090432	2741	84.3916	7.5935
ENSG00000090621	16620	183.7950	16.5377
ENSG00000090686	7412	58.5360	5.2670
ENSG00000091483	4764	166.8050	15.0090
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	4664	62.2168	5.5982
ENSG00000092847	13934	81.0995	7.2973
ENSG00000092850	114	4.3362	0.3902
ENSG00000092853	3732	51.7302	4.6546
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	1351	11.4618	1.0313
ENSG00000094963	246	2.9514	0.2656
ENSG00000094975	4850	56.2491	5.0612
ENSG00000097021	3061	46.9638	4.2258
ENSG00000097033	5676	63.7514	5.7363
ENSG00000097046	2401	50.0447	4.5030
ENSG00000097096	2	0.0233	0.0021
ENSG00000099260	5	0.0633	0.0057
ENSG00000107404	2383	51.2671	4.6130
ENSG00000116128	284	3.3230	0.2990
ENSG00000116132	3	0.0273	0.0025
ENSG00000116133	1309	22.1031	1.9888
ENSG00000116138	3955	34.6443	3.1173
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	970	13.9087	1.2515
ENSG00000116157	13710	608.0920	54.7155
ENSG00000116161	30982	515.2290	46.3598
ENSG00000116171	19828	179.0640	16.1120
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	1738	17.5635	1.5803
ENSG00000116194	2	0.0437	0.0039
ENSG00000116198	2726	25.9578	2.3357
ENSG00000116199	4649	57.7334	5.1948
ENSG00000116205	2421	31.1720	2.8048
ENSG00000116209	29712	536.1930	48.2461
ENSG00000116212	1786	55.5699	5.0001
ENSG00000116213	1615	15.9274	1.4331
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	47530	1617.3900	145.5316
ENSG00000116237	4764	72.7506	6.5460
ENSG00000116251	54350	831.8890	74.8525
ENSG00000116254	68	0.5155	0.0464
ENSG00000116260	6746	54.3422	4.8897
ENSG00000116266	3859	49.0916	4.4172
ENSG00000116273	282	5.7536	0.5177
ENSG00000116285	93	1.6665	0.1499
ENSG00000116288	51503	1611.4900	145.0005
ENSG00000116299	36	0.2894	0.0260
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	10148	111.4660	10.0296
ENSG00000116350	6006	141.7370	12.7534
ENSG00000116353	5055	95.6159	8.6034
ENSG00000116396	318	2.5497	0.2294
ENSG00000116406	4677	46.5685	4.1902
ENSG00000116455	5069	135.5470	12.1964
ENSG00000116459	32129	712.2880	64.0910
ENSG00000116473	6439	84.2376	7.5796
ENSG00000116478	33226	621.5800	55.9291
ENSG00000116489	52203	948.0050	85.3005
ENSG00000116497	7527	61.4257	5.5270
ENSG00000116514	3508	100.7950	9.0694
ENSG00000116521	17968	551.8480	49.6547
ENSG00000116525	272	5.1344	0.4620
ENSG00000116539	7588	42.8023	3.8513
ENSG00000116544	28	0.5268	0.0474
ENSG00000116560	41064	414.7270	37.3167
ENSG00000116574	243	4.1649	0.3748
ENSG00000116580	6533	40.3005	3.6262
ENSG00000116584	9806	99.2004	8.9260
ENSG00000116586	21172	1104.2500	99.3591
ENSG00000116604	12248	143.5350	12.9151
ENSG00000116641	1282	8.8424	0.7956
ENSG00000116649	5594	221.0390	19.8889
ENSG00000116652	69	4.4768	0.4028
ENSG00000116661	54	1.7390	0.1565
ENSG00000116663	3217	133.2240	11.9874
ENSG00000116667	1873	12.8120	1.1528
ENSG00000116668	944	17.4578	1.5708
ENSG00000116670	18077	398.4100	35.8485
ENSG00000116675	332	3.6003	0.3239
ENSG00000116678	1869	12.2373	1.1011
ENSG00000116679	5348	50.5847	4.5516
ENSG00000116685	1976	45.1673	4.0641
ENSG00000116688	3812	57.4353	5.1680
ENSG00000116690	461	6.8495	0.6163
ENSG00000116691	2133	56.6966	5.1015
ENSG00000116698	11188	100.8900	9.0780
ENSG00000116701	3192	81.7671	7.3573
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	1184	12.4131	1.1169
ENSG00000116711	1755	45.7763	4.1189
ENSG00000116717	6047	219.2050	19.7239
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	9	0.1491	0.0134
ENSG00000116731	3918	26.9384	2.4239
ENSG00000116741	1828	65.7277	5.9141
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	21481	176.9980	15.9261
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	12062	251.3660	22.6177
ENSG00000116752	9708	560.4920	50.4325
ENSG00000116754	29706	262.8220	23.6484
ENSG00000116761	274	8.5037	0.7652
ENSG00000116771	939	28.1844	2.5360
ENSG00000116774	277	9.1709	0.8252
ENSG00000116783	389	4.9974	0.4497
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	2093	38.0796	3.4264
ENSG00000116791	2726	50.0946	4.5075
ENSG00000116793	4185	43.7780	3.9391
ENSG00000116809	1073	18.9851	1.7083
ENSG00000116815	6372	268.0120	24.1155
ENSG00000116819	856	29.3440	2.6403
ENSG00000116824	694	31.0131	2.7905
ENSG00000116830	10582	126.9590	11.4236
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	1741	10.7463	0.9669
ENSG00000116857	8639	165.4900	14.8907
ENSG00000116863	6003	269.4300	24.2431
ENSG00000116871	5740	81.6803	7.3495
ENSG00000116874	3930	76.6106	6.8933
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	879	35.9515	3.2349
ENSG00000116885	410	10.8866	0.9796
ENSG00000116898	15319	393.9990	35.4516
ENSG00000116903	760	11.1321	1.0017
ENSG00000116906	13762	325.2870	29.2690
ENSG00000116918	7696	91.9221	8.2711
ENSG00000116922	4977	105.1680	9.4629
ENSG00000116954	2777	40.3097	3.6270
ENSG00000116957	3689	107.7530	9.6955
ENSG00000116962	137	1.7515	0.1576
ENSG00000116977	7373	56.9465	5.1240
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	0	0.0000	0.0000
ENSG00000116984	6821	44.8688	4.0372
ENSG00000116985	361	5.2699	0.4742
ENSG00000116990	0	0.0000	0.0000
ENSG00000116991	530	5.2030	0.4682
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	3308	39.1642	3.5240
ENSG00000117009	1163	14.6635	1.3194
ENSG00000117010	767	18.9263	1.7030
ENSG00000117013	21	0.3765	0.0339
ENSG00000117016	32	0.3317	0.0298
ENSG00000117020	466	4.6634	0.4196
ENSG00000117036	4997	55.8816	5.0282
ENSG00000117054	15896	249.4670	22.4468
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	136	2.4262	0.2183
ENSG00000117091	992	29.8268	2.6838
ENSG00000117114	0	0.0000	0.0000
ENSG00000117115	3399	42.4695	3.8214
ENSG00000117118	19444	592.3360	53.2978
ENSG00000117122	0	0.0000	0.0000
ENSG00000117133	7883	342.1360	30.7850
ENSG00000117139	14431	117.8250	10.6017
ENSG00000117143	3031	66.7241	6.0038
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	4653	101.9100	9.1697
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	3101	65.4823	5.8920
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	1677	15.2471	1.3719
ENSG00000117174	5462	66.1101	5.9485
ENSG00000117215	0	0.0000	0.0000
ENSG00000117222	4238	72.1769	6.4944
ENSG00000117226	748	13.0600	1.1751
ENSG00000117228	93	1.4041	0.1263
ENSG00000117242	18880	318.7050	28.6767
ENSG00000117245	4125	69.2123	6.2276
ENSG00000117262	539	7.2318	0.6507
ENSG00000117266	160	1.5782	0.1420
ENSG00000117280	4261	82.3243	7.4075
ENSG00000117281	127	2.3874	0.2148
