gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	173	3.3819	0.9334
ENSG00000000460	242	2.8596	0.7893
ENSG00000000938	993	21.1285	5.8315
ENSG00000000971	39	0.3592	0.0991
ENSG00000001460	250	2.2006	0.6074
ENSG00000001461	836	6.6709	1.8412
ENSG00000004455	3417	45.0917	12.4454
ENSG00000004487	1890	41.5015	11.4545
ENSG00000006555	8	0.1029	0.0284
ENSG00000007341	1533	14.1715	3.9114
ENSG00000007908	1	0.0123	0.0034
ENSG00000007923	1072	15.6241	4.3123
ENSG00000007933	6	0.1299	0.0359
ENSG00000007968	1638	22.5153	6.2143
ENSG00000008118	12	0.3315	0.0915
ENSG00000008128	2354	37.4271	10.3300
ENSG00000008130	430	5.6132	1.5493
ENSG00000009307	20731	270.1640	74.5660
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	67	1.1814	0.3261
ENSG00000009780	791	20.6207	5.6913
ENSG00000009790	2180	21.0898	5.8208
ENSG00000010072	539	6.8507	1.8908
ENSG00000010165	549	10.7122	2.9566
ENSG00000010803	858	14.4650	3.9924
ENSG00000010932	24	0.5087	0.1404
ENSG00000011007	2458	34.1938	9.4376
ENSG00000011009	882	30.1166	8.3122
ENSG00000011021	580	6.3225	1.7450
ENSG00000014914	207	3.3871	0.9348
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	356	5.4375	1.5008
ENSG00000020633	1379	22.4517	6.1967
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	293	16.9169	4.6691
ENSG00000023902	1151	13.8445	3.8211
ENSG00000023909	1211	16.9036	4.6654
ENSG00000024526	297	3.7769	1.0424
ENSG00000025800	5569	54.3338	14.9963
ENSG00000026751	449	7.3106	2.0177
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	17	0.5048	0.1393
ENSG00000028137	1828	36.4137	10.0503
ENSG00000031698	2991	58.4752	16.1393
ENSG00000033122	41	0.2550	0.0704
ENSG00000034971	8	0.2880	0.0795
ENSG00000035687	1278	26.1391	7.2145
ENSG00000036549	752	6.2628	1.7285
ENSG00000037637	1106	9.2356	2.5491
ENSG00000040487	153	4.2606	1.1760
ENSG00000041988	936	17.2387	4.7579
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	243	5.9342	1.6379
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4901	36.1049	9.9651
ENSG00000048707	1214	4.4754	1.2352
ENSG00000049089	118	2.1332	0.5888
ENSG00000049239	552	4.5442	1.2542
ENSG00000049245	1737	47.2011	13.0276
ENSG00000049246	113	1.1896	0.3283
ENSG00000049247	26	1.0791	0.2978
ENSG00000049249	135	4.4313	1.2231
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1413	17.9764	4.9616
ENSG00000053371	327	13.7838	3.8044
ENSG00000053372	1379	36.6467	10.1146
ENSG00000054116	2027	45.8877	12.6651
ENSG00000054118	12557	198.8560	54.8847
ENSG00000054267	12886	87.2778	24.0889
ENSG00000054277	132	2.8503	0.7867
ENSG00000054282	3995	57.1062	15.7615
ENSG00000054392	135	2.3624	0.6520
ENSG00000054523	754	3.1965	0.8822
ENSG00000055070	4570	72.1963	19.9264
