gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	307	5.9852	0.9131
ENSG00000000460	465	5.4833	0.8365
ENSG00000000938	12272	261.1790	39.8436
ENSG00000000971	234	2.1508	0.3281
ENSG00000001460	256	2.2524	0.3436
ENSG00000001461	1096	8.7370	1.3329
ENSG00000004455	13942	184.0000	28.0697
ENSG00000004487	2265	49.7389	7.5878
ENSG00000006555	35	0.4334	0.0661
ENSG00000007341	1033	9.5497	1.4568
ENSG00000007908	15	0.2719	0.0415
ENSG00000007923	936	13.6445	2.0815
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1709	23.4940	3.5841
ENSG00000008118	5	0.1345	0.0205
ENSG00000008128	6388	101.5540	15.4924
ENSG00000008130	2528	33.0371	5.0399
ENSG00000009307	29865	389.2050	59.3743
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	384	6.7732	1.0333
ENSG00000009780	1562	40.7462	6.2159
ENSG00000009790	4424	42.7965	6.5287
ENSG00000010072	4052	51.4595	7.8503
ENSG00000010165	636	12.4101	1.8932
ENSG00000010803	190	3.2010	0.4883
ENSG00000010932	14	0.2969	0.0453
ENSG00000011007	5120	71.2231	10.8653
ENSG00000011009	3143	107.3560	16.3775
ENSG00000011021	1958	21.3267	3.2535
ENSG00000014914	1176	19.2132	2.9310
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0018
ENSG00000020129	1614	24.6172	3.7554
ENSG00000020633	15096	245.8560	37.5060
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	790	45.6012	6.9566
ENSG00000023902	5781	69.5096	10.6039
ENSG00000023909	1311	18.2936	2.7907
ENSG00000024526	221	2.8133	0.4292
ENSG00000025800	15967	155.7840	23.7652
ENSG00000026751	71	1.1542	0.1761
ENSG00000027644	6	0.0821	0.0125
ENSG00000027869	33	0.9713	0.1482
ENSG00000028137	8841	176.0720	26.8603
ENSG00000031698	5148	100.6590	15.3558
ENSG00000033122	83	0.5168	0.0788
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	966	19.7561	3.0139
ENSG00000036549	1421	11.8293	1.8046
ENSG00000037637	2939	24.5326	3.7425
ENSG00000040487	1108	30.9423	4.7203
ENSG00000041988	2663	49.0572	7.4838
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	578	14.1280	2.1552
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10923	80.4760	12.2768
ENSG00000048707	4254	15.6800	2.3920
ENSG00000049089	5785	104.5230	15.9452
ENSG00000049239	3175	26.1148	3.9839
ENSG00000049245	6290	170.9280	26.0754
ENSG00000049246	185	1.9583	0.2987
ENSG00000049247	875	36.7987	5.6138
ENSG00000049249	262	8.6178	1.3147
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2543	32.3539	4.9357
ENSG00000053371	1609	67.7642	10.3376
ENSG00000053372	1487	39.5184	6.0287
ENSG00000054116	6423	145.4040	22.1817
ENSG00000054118	16499	261.2860	39.8598
ENSG00000054267	30201	204.5610	31.2064
ENSG00000054277	332	7.1598	1.0922
ENSG00000054282	4122	58.9247	8.9891
ENSG00000054392	276	4.8147	0.7345
ENSG00000054523	3428	14.5295	2.2165
ENSG00000055070	16458	260.0210	39.6668
ENSG00000055732	1	0.0112	0.0017
ENSG00000057252	8234	87.8066	13.3951
ENSG00000057468	16	0.3711	0.0566
ENSG00000057757	4586	157.3550	24.0050
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	253	1.5463	0.2359
ENSG00000058668	3401	26.2413	4.0032
ENSG00000058673	8270	63.9435	9.7548
ENSG00000058799	2043	67.7638	10.3375
ENSG00000058804	767	11.2053	1.7094
ENSG00000059588	1103	10.6855	1.6301
ENSG00000060642	567	12.5739	1.9182
ENSG00000060656	42	0.4745	0.0724
ENSG00000060688	2975	55.6223	8.4853
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2526	31.4775	4.8020
ENSG00000064886	134	3.0464	0.4647
ENSG00000065135	7523	175.9900	26.8478
ENSG00000065183	314	5.6566	0.8629
ENSG00000065243	3859	41.2593	6.2942
ENSG00000065526	12932	72.9550	11.1295
ENSG00000065600	2342	60.2677	9.1940
ENSG00000065978	48363	1879.4000	286.7074
ENSG00000066027	3806	73.9027	11.2741
ENSG00000066056	199	2.2327	0.3406
ENSG00000066135	1829	26.5186	4.0455
ENSG00000066136	2239	28.0504	4.2792
ENSG00000066185	135	4.6200	0.7048
ENSG00000066279	1121	7.7220	1.1780
ENSG00000066294	2049	16.6084	2.5337
ENSG00000066322	7582	231.2550	35.2786
ENSG00000066557	2287	59.4733	9.0728
ENSG00000067208	4504	40.8362	6.2297
ENSG00000067334	17061	213.0910	32.5076
