gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	238	4.6345	1.2268
ENSG00000000460	317	3.7410	0.9903
ENSG00000000938	11437	243.4020	64.4339
ENSG00000000971	156	1.4396	0.3811
ENSG00000001460	232	2.0446	0.5413
ENSG00000001461	1113	8.8782	2.3503
ENSG00000004455	3142	41.4608	10.9756
ENSG00000004487	1560	34.2436	9.0650
ENSG00000006555	67	0.8253	0.2185
ENSG00000007341	1148	10.6120	2.8092
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1086	15.8281	4.1901
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	6726	92.4409	24.4712
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	9179	145.9100	38.6256
ENSG00000008130	3811	49.8090	13.1856
ENSG00000009307	15152	197.4600	52.2722
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	361	6.3613	1.6840
ENSG00000009780	2219	57.8599	15.3168
ENSG00000009790	6044	58.4678	15.4777
ENSG00000010072	3191	40.5230	10.7273
ENSG00000010165	843	16.4496	4.3546
ENSG00000010803	365	6.1522	1.6287
ENSG00000010932	21	0.4491	0.1189
ENSG00000011007	3219	44.7878	11.8563
ENSG00000011009	2367	80.8365	21.3992
ENSG00000011021	990	10.7859	2.8553
ENSG00000014914	68	1.1150	0.2952
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	440	6.7092	1.7761
ENSG00000020633	6698	109.0890	28.8784
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	664	38.3618	10.1553
ENSG00000023902	943	11.3349	3.0006
ENSG00000023909	4269	59.5821	15.7727
ENSG00000024526	664	8.4348	2.2329
ENSG00000025800	13850	135.1330	35.7727
ENSG00000026751	36	0.5851	0.1549
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	230	6.8678	1.8181
ENSG00000028137	6538	130.1950	34.4655
ENSG00000031698	2105	41.1478	10.8927
ENSG00000033122	119	0.7400	0.1959
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2043	41.7973	11.0647
ENSG00000036549	1420	11.8258	3.1306
ENSG00000037637	1944	16.2313	4.2968
ENSG00000040487	97	2.6966	0.7138
ENSG00000041988	1318	24.2743	6.4259
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	322	7.8636	2.0817
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15463	113.9230	30.1579
ENSG00000048707	3578	13.1881	3.4912
ENSG00000049089	244	4.4086	1.1670
ENSG00000049239	3030	24.9284	6.5991
ENSG00000049245	3950	107.3300	28.4128
ENSG00000049246	130	1.3761	0.3643
ENSG00000049247	2	0.0841	0.0223
ENSG00000049249	247	8.1042	2.1454
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2179	27.7229	7.3389
ENSG00000053371	226	9.5149	2.5188
ENSG00000053372	1157	30.7505	8.1404
ENSG00000054116	2504	56.6800	15.0045
ENSG00000054118	18820	298.0300	78.8953
ENSG00000054267	32065	217.1800	57.4925
ENSG00000054277	46	0.9914	0.2624
ENSG00000054282	2149	30.7113	8.1300
ENSG00000054392	218	3.8101	1.0086
ENSG00000054523	13755	58.3071	15.4352
ENSG00000055070	5681	89.7558	23.7604
ENSG00000055732	38	0.4303	0.1139
ENSG00000057252	2510	26.7627	7.0847
ENSG00000057468	82	1.8748	0.4963
ENSG00000057757	3288	112.8160	29.8648
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	137	0.8393	0.2222
ENSG00000058668	2443	18.8464	4.9891
ENSG00000058673	4871	37.6647	9.9707
ENSG00000058799	1075	35.6493	9.4372
ENSG00000058804	575	8.3996	2.2236
ENSG00000059588	513	4.9646	1.3143
ENSG00000060642	456	10.1038	2.6747
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	2714	50.7527	13.4354
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1119	13.9472	3.6921
ENSG00000064886	406	9.2437	2.4470
ENSG00000065135	4894	114.4790	30.3052
ENSG00000065183	735	13.2484	3.5072
ENSG00000065243	3824	40.8878	10.8239
ENSG00000065526	5185	29.2509	7.7434
ENSG00000065600	403	10.3734	2.7461
ENSG00000065978	20102	781.1600	206.7905
ENSG00000066027	3667	71.2011	18.8485
ENSG00000066056	546	6.1149	1.6187
ENSG00000066135	861	12.4805	3.3038
ENSG00000066136	2276	28.5109	7.5475
ENSG00000066185	17	0.5868	0.1553
ENSG00000066279	3252	22.4055	5.9313
ENSG00000066294	157	1.2723	0.3368
ENSG00000066322	3189	97.2729	25.7503
ENSG00000066557	1796	46.7108	12.3654
ENSG00000067208	1649	14.9542	3.9587
ENSG00000067334	14446	180.4240	47.7624
ENSG00000067533	1004	9.5499	2.5281
ENSG00000067606	359	3.5272	0.9337
ENSG00000067704	1373	24.7410	6.5495
ENSG00000069248	1120	16.6055	4.3958
ENSG00000069275	14009	160.5030	42.4888
ENSG00000069424	5675	52.3790	13.8659
ENSG00000069702	770	6.6758	1.7672
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	8	0.1108	0.0293
ENSG00000070759	610	13.2205	3.4998
ENSG00000070785	818	20.1673	5.3387
ENSG00000070831	14417	311.6090	82.4899
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	214	2.2937	0.6072
ENSG00000073754	186	5.6791	1.5034
ENSG00000073756	2112	30.0602	7.9576
ENSG00000074800	19469	356.4100	94.3497
ENSG00000074964	45	0.4296	0.1137
ENSG00000075151	3306	29.4120	7.7860
ENSG00000075391	133	0.8435	0.2233
ENSG00000075945	979	14.6434	3.8764
ENSG00000076258	105	3.1200	0.8260
ENSG00000076321	1371	24.1751	6.3997
ENSG00000076356	95	0.5147	0.1362
ENSG00000076864	1891	22.3601	5.9192
ENSG00000077152	1837	129.3620	34.2448
ENSG00000077157	4597	23.9444	6.3386
ENSG00000077254	5021	54.4367	14.4106
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	15228	328.1820	86.8770
ENSG00000077585	113	3.7350	0.9887
ENSG00000078369	6497	79.4071	21.0208
ENSG00000078618	9988	113.1790	29.9610
ENSG00000078808	1228	19.6093	5.1910
ENSG00000078900	236	3.1863	0.8435
ENSG00000079277	2177	20.2562	5.3623
ENSG00000079335	1525	19.9691	5.2863
ENSG00000079739	1069	19.2618	5.0990
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	149	1.6435	0.4351
ENSG00000081019	16871	185.5570	49.1212
ENSG00000081026	190	1.7465	0.4623
ENSG00000081237	51960	458.0970	121.2685
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	735	12.7708	3.3807
