gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	704	13.7266	1.4045
ENSG00000000460	1378	16.2663	1.6644
ENSG00000000938	4815	102.4810	10.4857
ENSG00000000971	192	1.7640	0.1805
ENSG00000001460	190	1.6734	0.1712
ENSG00000001461	1705	13.5971	1.3912
ENSG00000004455	10190	134.4830	13.7601
ENSG00000004487	4317	94.7766	9.6975
ENSG00000006555	51	0.6332	0.0648
ENSG00000007341	1123	10.3856	1.0626
ENSG00000007908	0	0.0081	0.0008
ENSG00000007923	3896	56.7713	5.8088
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3561	48.9397	5.0075
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7159	113.8090	11.6448
ENSG00000008130	1719	22.4652	2.2986
ENSG00000009307	83351	1086.2400	111.1433
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	504	8.8880	0.9094
ENSG00000009780	5161	134.5840	13.7705
ENSG00000009790	2601	25.1612	2.5745
ENSG00000010072	4552	57.8070	5.9148
ENSG00000010165	1611	31.4470	3.2176
ENSG00000010803	3941	66.4693	6.8011
ENSG00000010932	51	1.0733	0.1098
ENSG00000011007	14917	207.5280	21.2341
ENSG00000011009	4758	162.5150	16.6284
ENSG00000011021	1543	16.8117	1.7202
ENSG00000014914	714	11.6678	1.1938
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	826	12.6057	1.2898
ENSG00000020633	24185	393.9000	40.3035
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	342	19.7198	2.0177
ENSG00000023902	8276	99.5072	10.1815
ENSG00000023909	1877	26.1898	2.6797
ENSG00000024526	546	6.9367	0.7097
ENSG00000025800	39271	383.1560	39.2041
ENSG00000026751	4739	77.2000	7.8990
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	141	4.2150	0.4313
ENSG00000028137	8303	165.3480	16.9182
ENSG00000031698	5194	101.5430	10.3898
ENSG00000033122	297	1.8573	0.1900
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1505	30.7801	3.1494
ENSG00000036549	4783	39.8229	4.0746
ENSG00000037637	4874	40.6909	4.1635
ENSG00000040487	495	13.8142	1.4134
ENSG00000041988	2851	52.5189	5.3737
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1067	26.0472	2.6651
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18948	139.5940	14.2832
ENSG00000048707	6532	24.0775	2.4636
ENSG00000049089	114	2.0530	0.2101
ENSG00000049239	3997	32.8847	3.3647
ENSG00000049245	9759	265.2010	27.1352
ENSG00000049246	309	3.2603	0.3336
ENSG00000049247	158	6.6410	0.6795
ENSG00000049249	795	26.1156	2.6721
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	7669	97.5921	9.9855
ENSG00000053371	1615	67.9978	6.9575
ENSG00000053372	1974	52.4546	5.3671
ENSG00000054116	7298	165.2030	16.9034
ENSG00000054118	59282	938.7980	96.0570
ENSG00000054267	58027	393.0310	40.2146
ENSG00000054277	121	2.6172	0.2678
ENSG00000054282	4059	58.0194	5.9365
ENSG00000054392	403	7.0314	0.7194
ENSG00000054523	7231	30.6506	3.1361
ENSG00000055070	16443	259.7970	26.5821
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	8845	94.3212	9.6509
ENSG00000057468	48	1.1108	0.1137
ENSG00000057757	3149	108.0540	11.0559
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	85	0.5210	0.0533
ENSG00000058668	4045	31.2055	3.1929
ENSG00000058673	19182	148.3180	15.1758
ENSG00000058799	3781	125.4330	12.8342
ENSG00000058804	1332	19.4495	1.9901
ENSG00000059588	2633	25.4995	2.6091
ENSG00000060642	924	20.4876	2.0963
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	7645	142.9590	14.6275
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5617	69.9872	7.1610
ENSG00000064886	665	15.1375	1.5489
ENSG00000065135	24361	569.8830	58.3099
ENSG00000065183	1181	21.3034	2.1798
ENSG00000065243	7448	79.6354	8.1482
ENSG00000065526	20643	116.4600	11.9161
ENSG00000065600	4296	110.5610	11.3125
ENSG00000065978	135817	5277.8700	540.0265
ENSG00000066027	4719	91.6117	9.3736
ENSG00000066056	1012	11.3405	1.1603
ENSG00000066135	3687	53.4650	5.4705
ENSG00000066136	2921	36.5973	3.7446
ENSG00000066185	9	0.3075	0.0315
ENSG00000066279	2144	14.7714	1.5114
ENSG00000066294	5717	46.3306	4.7405
ENSG00000066322	7580	231.1840	23.6546
ENSG00000066557	4419	114.9150	11.7580
ENSG00000067208	1459	13.2309	1.3538
ENSG00000067334	38303	478.3900	48.9484
ENSG00000067533	2558	24.3348	2.4899
ENSG00000067606	421	4.1393	0.4235
ENSG00000067704	7180	129.3870	13.2388
ENSG00000069248	3389	50.2666	5.1432
ENSG00000069275	45949	526.4600	53.8669
ENSG00000069424	10963	101.1830	10.3530
ENSG00000069702	1017	8.8118	0.9016
ENSG00000069712	50	0.8138	0.0833
ENSG00000069812	5	0.0694	0.0071
ENSG00000070759	975	21.1251	2.1615
ENSG00000070785	1249	30.7788	3.1493
ENSG00000070831	53800	1162.8200	118.9791
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	469	5.0277	0.5144
ENSG00000073754	106	3.2329	0.3308
ENSG00000073756	6249	88.9425	9.1005
ENSG00000074800	263137	4817.0000	492.8713
ENSG00000074964	79	0.7529	0.0770
ENSG00000075151	5437	48.3780	4.9500
ENSG00000075391	8	0.0510	0.0052
ENSG00000075945	1429	21.3708	2.1866
ENSG00000076258	7	0.2086	0.0213
ENSG00000076321	3416	60.2181	6.1615
ENSG00000076356	13	0.0707	0.0072
ENSG00000076864	17	0.2029	0.0208
ENSG00000077152	1308	92.1380	9.4275
ENSG00000077157	2308	12.0190	1.2298
ENSG00000077254	5527	59.9164	6.1306
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	35439	763.7790	78.1492
ENSG00000077585	1691	55.6529	5.6944
ENSG00000078369	27382	334.6900	34.2452
