gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	533	10.4058	1.5079
ENSG00000000460	748	8.8349	1.2803
ENSG00000000938	1969	41.9140	6.0737
ENSG00000000971	164	1.5064	0.2183
ENSG00000001460	630	5.5491	0.8041
ENSG00000001461	3514	28.0289	4.0616
ENSG00000004455	10263	135.4380	19.6262
ENSG00000004487	3683	80.8615	11.7176
ENSG00000006555	9	0.1115	0.0162
ENSG00000007341	1280	11.8361	1.7152
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1597	23.2761	3.3729
ENSG00000007933	8	0.1733	0.0251
ENSG00000007968	2932	40.3036	5.8404
ENSG00000008118	11	0.2997	0.0434
ENSG00000008128	3804	60.4688	8.7625
ENSG00000008130	359	4.6961	0.6805
ENSG00000009307	52092	678.8750	98.3752
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	356	6.2809	0.9102
ENSG00000009780	3510	91.5285	13.2633
ENSG00000009790	3197	30.9273	4.4816
ENSG00000010072	2832	35.9694	5.2123
ENSG00000010165	540	10.5332	1.5264
ENSG00000010803	3086	52.0391	7.5409
ENSG00000010932	67	1.4032	0.2033
ENSG00000011007	5659	78.7262	11.4081
ENSG00000011009	995	33.9681	4.9223
ENSG00000011021	774	8.4272	1.2212
ENSG00000014914	90	1.4698	0.2130
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	8	0.1644	0.0238
ENSG00000018625	1	0.0119	0.0017
ENSG00000020129	1005	15.3325	2.2218
ENSG00000020633	14409	234.6740	34.0064
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	932	53.8083	7.7973
ENSG00000023902	2694	32.3883	4.6934
ENSG00000023909	2565	35.7964	5.1872
ENSG00000024526	583	7.4097	1.0737
ENSG00000025800	17301	168.7970	24.4603
ENSG00000026751	89	1.4574	0.2112
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	57	1.6879	0.2446
ENSG00000028137	2732	54.4065	7.8840
ENSG00000031698	5640	110.2750	15.9799
ENSG00000033122	155	0.9701	0.1406
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2086	42.6858	6.1856
ENSG00000036549	3895	32.4272	4.6990
ENSG00000037637	3563	29.7474	4.3107
ENSG00000040487	246	6.8716	0.9957
ENSG00000041988	1102	20.2890	2.9401
ENSG00000042781	3	0.0109	0.0016
ENSG00000043514	768	18.7499	2.7170
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17108	126.0380	18.2641
ENSG00000048707	3138	11.5678	1.6763
ENSG00000049089	27	0.4939	0.0716
ENSG00000049239	7949	65.3894	9.4755
ENSG00000049245	3787	102.8970	14.9107
ENSG00000049246	269	2.8370	0.4111
ENSG00000049247	45	1.8934	0.2744
ENSG00000049249	343	11.2596	1.6316
ENSG00000050628	4	0.0311	0.0045
ENSG00000052723	4655	59.2367	8.5839
ENSG00000053371	500	21.0455	3.0497
ENSG00000053372	2133	56.6786	8.2133
ENSG00000054116	4330	98.0190	14.2039
ENSG00000054118	41409	655.7590	95.0254
ENSG00000054267	31495	213.3200	30.9120
ENSG00000054277	122	2.6376	0.3822
ENSG00000054282	8159	116.6210	16.8995
ENSG00000054392	1887	32.9376	4.7730
ENSG00000054523	2538	10.7600	1.5592
ENSG00000055070	8617	136.1410	19.7281
ENSG00000055732	11	0.1243	0.0180
ENSG00000057252	2451	26.1383	3.7877
ENSG00000057468	79	1.8215	0.2640
ENSG00000057757	2602	89.2617	12.9348
ENSG00000058085	1	0.0115	0.0017
ENSG00000058453	259	1.5823	0.2293
ENSG00000058668	7463	57.5761	8.3433
ENSG00000058673	10010	77.3988	11.2158
ENSG00000058799	800	26.5347	3.8451
ENSG00000058804	1031	15.0557	2.1817
ENSG00000059588	9459	91.6239	13.2771
ENSG00000060642	663	14.7114	2.1318
ENSG00000060656	6	0.0682	0.0099
ENSG00000060688	4415	82.5505	11.9623
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3839	47.8347	6.9317
ENSG00000064886	206	4.6962	0.6805
ENSG00000065135	6938	162.3090	23.5201
ENSG00000065183	885	15.9509	2.3114
ENSG00000065243	6031	64.4885	9.3450
ENSG00000065526	9993	56.3785	8.1698
ENSG00000065600	470	12.0913	1.7521
ENSG00000065978	87326	3393.5000	491.7493
ENSG00000066027	1748	33.9467	4.9192
ENSG00000066056	36	0.3995	0.0579
ENSG00000066135	1878	27.2386	3.9471
ENSG00000066136	1791	22.4366	3.2513
ENSG00000066185	71	2.4096	0.3492
ENSG00000066279	3305	22.7650	3.2989
ENSG00000066294	4835	39.1800	5.6775
ENSG00000066322	3448	105.1690	15.2400
ENSG00000066557	2430	63.2042	9.1589
ENSG00000067208	342	3.1002	0.4492
ENSG00000067334	31750	396.5380	57.4620
ENSG00000067533	2530	24.0680	3.4877
ENSG00000067606	171	1.6765	0.2429
ENSG00000067704	4102	73.9200	10.7117
ENSG00000069248	2606	38.6545	5.6014
ENSG00000069275	42076	482.0830	69.8582
ENSG00000069424	4235	39.0921	5.6648
ENSG00000069702	170	1.4750	0.2137
ENSG00000069712	140	2.2756	0.3298
ENSG00000069812	17	0.2356	0.0342
ENSG00000070759	1363	29.5540	4.2827
ENSG00000070785	2539	62.5794	9.0683
ENSG00000070831	25607	553.4720	80.2031
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	42	0.4503	0.0652
ENSG00000073754	449	13.7248	1.9888
ENSG00000073756	16805	239.2010	34.6624
ENSG00000074800	109738	2008.8700	291.1029
ENSG00000074964	5	0.0486	0.0070
ENSG00000075151	1647	14.6568	2.1239
ENSG00000075391	6	0.0388	0.0056
ENSG00000075945	2139	31.9952	4.6364
ENSG00000076258	200	5.9495	0.8622
ENSG00000076321	2289	40.3625	5.8489
ENSG00000076356	164	0.8940	0.1295
ENSG00000076864	343	4.0577	0.5880
ENSG00000077152	1975	139.0830	20.1543
ENSG00000077157	2797	14.5684	2.1111
ENSG00000077254	5225	56.6466	8.2086
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	19169	413.1270	59.8659
ENSG00000077585	44	1.4616	0.2118
ENSG00000078369	15114	184.7390	26.7704
ENSG00000078618	17061	193.3130	28.0128
ENSG00000078808	1404	22.4166	3.2484
ENSG00000078900	60	0.8097	0.1173
ENSG00000079277	3071	28.5769	4.1411
ENSG00000079335	1782	23.3271	3.3803
ENSG00000079739	1724	31.0507	4.4995
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	489	5.3785	0.7794
ENSG00000081019	14633	160.9470	23.3226
ENSG00000081026	76	0.7001	0.1015
ENSG00000081237	41474	365.6450	52.9853
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1345	23.3835	3.3885
ENSG00000081721	2759	117.4430	17.0185
ENSG00000081870	4147	112.7180	16.3339
ENSG00000081985	1624	28.7666	4.1686
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	7644	63.5462	9.2084
ENSG00000083444	385	5.4192	0.7853
ENSG00000084070	3105	70.5987	10.2304
ENSG00000084072	3539	32.8851	4.7654
ENSG00000084073	3500	73.4835	10.6484
ENSG00000084623	11585	503.7010	72.9909
ENSG00000084628	2	0.0502	0.0073
ENSG00000084636	13	0.0987	0.0143
ENSG00000084652	9025	132.6460	19.2216
ENSG00000085433	743	12.2917	1.7812
ENSG00000085465	116	2.9157	0.4225
ENSG00000085491	586	6.7143	0.9730
ENSG00000085552	14	0.1636	0.0237
ENSG00000085831	162	1.2977	0.1881
ENSG00000085832	11759	116.7980	16.9251
ENSG00000085840	2224	52.8290	7.6554
ENSG00000085998	817	9.6304	1.3955
ENSG00000085999	1121	26.1834	3.7942
ENSG00000086015	285	2.4109	0.3494
ENSG00000086619	436	5.7444	0.8324
ENSG00000088035	1109	16.8104	2.4360
ENSG00000088280	32	0.4904	0.0711
ENSG00000090020	283	3.5484	0.5142
ENSG00000090104	24945	454.4260	65.8505
ENSG00000090273	4362	114.5010	16.5923
ENSG00000090432	3281	101.0040	14.6364
ENSG00000090621	7257	80.2563	11.6299
ENSG00000090686	3565	28.1506	4.0793
ENSG00000091483	1189	41.6190	6.0310
ENSG00000092607	62	1.2126	0.1757
ENSG00000092621	77	1.0231	0.1483
ENSG00000092847	13223	76.9623	11.1525
ENSG00000092850	16	0.6132	0.0888
ENSG00000092853	2656	36.8178	5.3352
ENSG00000092969	13	0.1955	0.0283
ENSG00000092978	766	6.4977	0.9416
ENSG00000094963	149	1.7889	0.2592
ENSG00000094975	8145	94.4634	13.6886
ENSG00000097021	1235	18.9460	2.7454
ENSG00000097033	4215	47.3487	6.8612
ENSG00000097046	1301	27.1059	3.9279
ENSG00000097096	79	0.9155	0.1327
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	800	17.2194	2.4953
ENSG00000116128	216	2.5238	0.3657
ENSG00000116132	3	0.0295	0.0043
ENSG00000116133	9	0.1520	0.0220
