gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	640	12.4774	1.5221
ENSG00000000460	761	8.9863	1.0962
ENSG00000000938	33392	710.6650	86.6904
ENSG00000000971	221	2.0382	0.2486
ENSG00000001460	794	6.9908	0.8528
ENSG00000001461	3130	24.9588	3.0446
ENSG00000004455	18747	247.4050	30.1797
ENSG00000004487	1998	43.8612	5.3504
ENSG00000006555	84	1.0405	0.1269
ENSG00000007341	2196	20.3072	2.4772
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1225	17.8453	2.1769
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1845	25.3639	3.0940
ENSG00000008118	18	0.5052	0.0616
ENSG00000008128	6386	101.5130	12.3831
ENSG00000008130	9239	120.7370	14.7281
ENSG00000009307	40523	528.1080	64.4212
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	393	6.9313	0.8455
ENSG00000009780	3797	99.0188	12.0788
ENSG00000009790	15176	146.8090	17.9085
ENSG00000010072	3423	43.4709	5.3028
ENSG00000010165	570	11.1150	1.3559
ENSG00000010803	1237	20.8568	2.5442
ENSG00000010932	32	0.6760	0.0825
ENSG00000011007	6293	87.5511	10.6799
ENSG00000011009	3677	125.5660	15.3172
ENSG00000011021	3014	32.8372	4.0056
ENSG00000014914	343	5.6108	0.6844
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	311	4.7507	0.5795
ENSG00000020633	10703	174.3120	21.2634
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1731	99.9453	12.1918
ENSG00000023902	4671	56.1643	6.8512
ENSG00000023909	1692	23.6120	2.8803
ENSG00000024526	163	2.0650	0.2519
ENSG00000025800	26947	262.9140	32.0715
ENSG00000026751	909	14.8097	1.8066
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	169	5.0406	0.6149
ENSG00000028137	17681	352.1210	42.9534
ENSG00000031698	9854	192.6630	23.5020
ENSG00000033122	165	1.0326	0.1260
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3683	75.3478	9.1913
ENSG00000036549	2845	23.6872	2.8895
ENSG00000037637	4856	40.5420	4.9455
ENSG00000040487	511	14.2800	1.7419
ENSG00000041988	1047	19.2876	2.3528
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	609	14.8831	1.8155
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16121	118.7720	14.4884
ENSG00000048707	4229	15.5901	1.9018
