gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1086	21.1878	2.2412
ENSG00000000460	2529	29.8532	3.1577
ENSG00000000938	2847	60.5857	6.4085
ENSG00000000971	77	0.7067	0.0747
ENSG00000001460	1036	9.1231	0.9650
ENSG00000001461	10932	87.1849	9.2221
ENSG00000004455	47909	632.2690	66.8789
ENSG00000004487	5750	126.2450	13.3537
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	2988	27.6331	2.9229
ENSG00000007908	4	0.0711	0.0075
ENSG00000007923	6117	89.1325	9.4281
ENSG00000007933	58	1.2532	0.1326
ENSG00000007968	1500	20.6177	2.1809
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5013	79.6905	8.4294
ENSG00000008130	1382	18.0592	1.9102
ENSG00000009307	42850	558.4330	59.0688
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	393	6.9402	0.7341
ENSG00000009780	4946	128.9770	13.6427
ENSG00000009790	17059	165.0240	17.4556
ENSG00000010072	1356	17.2186	1.8213
ENSG00000010165	3252	63.4702	6.7136
ENSG00000010803	6214	104.8030	11.0857
ENSG00000010932	84	1.7655	0.1867
ENSG00000011007	7320	101.8400	10.7723
ENSG00000011009	9262	316.3300	33.4601
ENSG00000011021	2768	30.1530	3.1895
ENSG00000014914	219	3.5851	0.3792
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0800	0.0085
ENSG00000020129	2654	40.4812	4.2819
ENSG00000020633	5714	93.0552	9.8430
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1938	111.9040	11.8367
ENSG00000023902	3849	46.2719	4.8945
ENSG00000023909	1068	14.9045	1.5765
ENSG00000024526	1332	16.9192	1.7896
ENSG00000025800	29857	291.3050	30.8131
ENSG00000026751	80	1.3071	0.1383
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	43	1.2755	0.1349
ENSG00000028137	7567	150.6960	15.9400
ENSG00000031698	18346	358.7000	37.9419
ENSG00000033122	319	1.9904	0.2105
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6013	123.0170	13.0123
ENSG00000036549	6887	57.3444	6.0657
ENSG00000037637	4657	38.8812	4.1127
ENSG00000040487	1111	31.0249	3.2817
ENSG00000041988	3678	67.7458	7.1659
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2342	57.1993	6.0503
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	52458	386.4800	40.8803
