gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	302	5.8840	1.3563
ENSG00000000460	321	3.7940	0.8746
ENSG00000000938	13482	286.9330	66.1409
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	348	3.0650	0.7065
ENSG00000001461	1027	8.1883	1.8875
ENSG00000004455	6005	79.2532	18.2687
ENSG00000004487	984	21.6098	4.9813
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1444	13.3498	3.0772
ENSG00000007908	1	0.0152	0.0035
ENSG00000007923	476	6.9367	1.5990
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	375	5.1596	1.1893
ENSG00000008118	7	0.1854	0.0427
ENSG00000008128	2409	38.2974	8.8279
ENSG00000008130	2278	29.7705	6.8624
ENSG00000009307	28688	373.8710	86.1810
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	90	1.5848	0.3653
ENSG00000009780	1639	42.7403	9.8521
ENSG00000009790	7972	77.1223	17.7775
ENSG00000010072	1300	16.5056	3.8047
ENSG00000010165	194	3.7885	0.8733
ENSG00000010803	640	10.7951	2.4884
ENSG00000010932	17	0.3545	0.0817
ENSG00000011007	2979	41.4372	9.5517
ENSG00000011009	1637	55.8939	12.8841
ENSG00000011021	1524	16.6056	3.8277
ENSG00000014914	842	13.7502	3.1695
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	263	4.0057	0.9233
ENSG00000020633	2142	34.8832	8.0409
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	516	29.8052	6.8704
ENSG00000023902	2843	34.1844	7.8798
ENSG00000023909	308	4.2968	0.9905
ENSG00000024526	151	1.9216	0.4430
ENSG00000025800	5401	52.6962	12.1470
ENSG00000026751	903	14.7181	3.3926
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	101	3.0040	0.6924
ENSG00000028137	18889	376.1730	86.7117
ENSG00000031698	4500	87.9862	20.2817
ENSG00000033122	48	0.3023	0.0697
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2067	42.2927	9.7489
ENSG00000036549	1935	16.1099	3.7135
