gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	168	3.2739	0.7442
ENSG00000000460	370	4.3673	0.9928
ENSG00000000938	1447	30.8016	7.0018
ENSG00000000971	26	0.2386	0.0542
ENSG00000001460	334	2.9439	0.6692
ENSG00000001461	2704	21.5651	4.9022
ENSG00000004455	7539	99.4969	22.6176
ENSG00000004487	2431	53.3671	12.1314
ENSG00000006555	55	0.6806	0.1547
ENSG00000007341	1158	10.7087	2.4343
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1240	18.0616	4.1058
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	174	2.3920	0.5437
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3529	56.1026	12.7532
ENSG00000008130	623	8.1390	1.8502
ENSG00000009307	29314	382.0190	86.8403
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	383	6.7657	1.5380
ENSG00000009780	3264	85.1102	19.3472
ENSG00000009790	8362	80.8873	18.3873
ENSG00000010072	2169	27.5454	6.2616
ENSG00000010165	323	6.2956	1.4311
ENSG00000010803	1518	25.6096	5.8216
ENSG00000010932	19	0.4054	0.0922
ENSG00000011007	7056	98.1582	22.3133
ENSG00000011009	1640	56.0068	12.7314
ENSG00000011021	772	8.4062	1.9109
ENSG00000014914	214	3.4951	0.7945
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0715	0.0162
ENSG00000020129	793	12.0972	2.7499
ENSG00000020633	16663	271.3770	61.6893
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	250	14.4280	3.2797
ENSG00000023902	2824	33.9564	7.7190
ENSG00000023909	378	5.2752	1.1992
ENSG00000024526	24	0.3034	0.0690
ENSG00000025800	16519	161.1750	36.6381
ENSG00000026751	646	10.5163	2.3906
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	139	4.1501	0.9434
ENSG00000028137	3394	67.5943	15.3655
ENSG00000031698	6087	119.0170	27.0549
ENSG00000033122	124	0.7714	0.1753
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1392	28.4812	6.4743
ENSG00000036549	1515	12.6135	2.8673
ENSG00000037637	2704	22.5765	5.1321
ENSG00000040487	219	6.1061	1.3880
ENSG00000041988	1101	20.2778	4.6095
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	342	8.3546	1.8991
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6352	46.7941	10.6372
ENSG00000048707	3522	12.9838	2.9515
ENSG00000049089	33	0.5999	0.1364
ENSG00000049239	2376	19.5444	4.4428
ENSG00000049245	4093	111.2160	25.2814
ENSG00000049246	173	1.8261	0.4151
ENSG00000049247	39	1.6405	0.3729
ENSG00000049249	146	4.8030	1.0918
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2463	31.3349	7.1230
ENSG00000053371	254	10.6878	2.4295
ENSG00000053372	925	24.5914	5.5901
ENSG00000054116	4065	92.0148	20.9168
ENSG00000054118	28906	457.7620	104.0583
ENSG00000054267	20936	141.8030	32.2345
ENSG00000054277	537	11.5695	2.6300
ENSG00000054282	3195	45.6699	10.3817
ENSG00000054392	423	7.3871	1.6792
ENSG00000054523	1206	5.1113	1.1619
ENSG00000055070	7224	114.1290	25.9436
ENSG00000055732	18	0.2049	0.0466
ENSG00000057252	3127	33.3471	7.5804
ENSG00000057468	41	0.9369	0.2130
ENSG00000057757	2050	70.3193	15.9849
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	229	1.3989	0.3180
ENSG00000058668	5528	42.6499	9.6952
ENSG00000058673	7590	58.6853	13.3403
ENSG00000058799	1601	53.0916	12.0687
ENSG00000058804	652	9.5295	2.1662
ENSG00000059588	2559	24.7909	5.6354
ENSG00000060642	278	6.1638	1.4012
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	3251	60.7906	13.8189
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2516	31.3504	7.1265
ENSG00000064886	2078	47.3002	10.7522
ENSG00000065135	5762	134.7860	30.6394
ENSG00000065183	602	10.8500	2.4664
ENSG00000065243	2282	24.4031	5.5473
ENSG00000065526	7429	41.9120	9.5274
ENSG00000065600	1662	42.7649	9.7213
ENSG00000065978	56695	2203.1800	500.8263
ENSG00000066027	1249	24.2529	5.5132
ENSG00000066056	13	0.1457	0.0331
ENSG00000066135	1443	20.9283	4.7574
ENSG00000066136	1585	19.8574	4.5140
ENSG00000066185	66	2.2565	0.5129
ENSG00000066279	197	1.3554	0.3081
ENSG00000066294	3748	30.3694	6.9036
ENSG00000066322	3380	103.0850	23.4331
ENSG00000066557	1436	37.3419	8.4885
ENSG00000067208	1018	9.2290	2.0979
ENSG00000067334	9475	118.3410	26.9012
ENSG00000067533	724	6.8901	1.5663
ENSG00000067606	768	7.5403	1.7141
ENSG00000067704	2349	42.3212	9.6205
ENSG00000069248	1894	28.0838	6.3840
ENSG00000069275	21147	242.2870	55.0765
ENSG00000069424	4330	39.9607	9.0838
ENSG00000069702	745	6.4582	1.4681
ENSG00000069712	66	1.0696	0.2431
ENSG00000069812	17	0.2354	0.0535
ENSG00000070759	707	15.3159	3.4816
ENSG00000070785	1661	40.9405	9.3066
ENSG00000070831	19827	428.5360	97.4147
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	103	1.1008	0.2502
ENSG00000073754	10	0.3054	0.0694
ENSG00000073756	170	2.4149	0.5489
ENSG00000074800	84046	1538.5500	349.7431
ENSG00000074964	32	0.3037	0.0690
ENSG00000075151	3059	27.2162	6.1868
ENSG00000075391	0	0.0000	0.0000
ENSG00000075945	1026	15.3510	3.4896
ENSG00000076258	53	1.5737	0.3577
ENSG00000076321	1654	29.1521	6.6269
ENSG00000076356	141	0.7693	0.1749
ENSG00000076864	0	0.0000	0.0000
ENSG00000077152	99	6.9784	1.5863
ENSG00000077157	1041	5.4215	1.2324
ENSG00000077254	2545	27.5869	6.2710
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	24531	528.6940	120.1824
ENSG00000077585	290	9.5516	2.1713
ENSG00000078369	12264	149.9030	34.0758
ENSG00000078618	13317	150.8950	34.3013
ENSG00000078808	1005	16.0458	3.6475
ENSG00000078900	77	1.0371	0.2357
ENSG00000079277	4043	37.6175	8.5512
ENSG00000079335	1483	19.4198	4.4145
ENSG00000079739	1642	29.5817	6.7245
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	751	8.2660	1.8790
ENSG00000081019	17424	191.6370	43.5628
ENSG00000081026	40	0.3654	0.0831
ENSG00000081237	35820	315.8030	71.7882
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1117	19.4225	4.4151
ENSG00000081721	2476	105.3790	23.9546
ENSG00000081870	2138	58.1134	13.2103
ENSG00000081985	198	3.5022	0.7961
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1023	8.5039	1.9331
ENSG00000083444	1576	22.1858	5.0433
ENSG00000084070	6869	156.1540	35.4968
ENSG00000084072	5392	50.1030	11.3894
ENSG00000084073	2584	54.2556	12.3333
ENSG00000084623	9313	404.9290	92.0483
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	1	0.0046	0.0011
ENSG00000084652	5791	85.1109	19.3474
ENSG00000085433	650	10.7515	2.4440
ENSG00000085465	239	6.0110	1.3664
ENSG00000085491	546	6.2506	1.4209
ENSG00000085552	4	0.0471	0.0107
ENSG00000085831	26	0.2089	0.0475
ENSG00000085832	4949	49.1534	11.1735
ENSG00000085840	631	14.9930	3.4082
ENSG00000085998	1791	21.1027	4.7971
ENSG00000085999	292	6.8151	1.5492
ENSG00000086015	62	0.5217	0.1186
ENSG00000086619	1570	20.6973	4.7049
ENSG00000088035	650	9.8534	2.2399
ENSG00000088280	2	0.0307	0.0070
ENSG00000090020	516	6.4745	1.4718
ENSG00000090104	3773	68.7284	15.6233
ENSG00000090273	4256	111.7270	25.3978
ENSG00000090432	2300	70.8038	16.0951
ENSG00000090621	7724	85.4137	19.4162
ENSG00000090686	2487	19.6422	4.4651
ENSG00000091483	560	19.6050	4.4566
