gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	644	12.5596	1.2058
ENSG00000000460	787	9.2949	0.8924
ENSG00000000938	39803	847.1140	81.3260
ENSG00000000971	100	0.9188	0.0882
ENSG00000001460	200	1.7577	0.1687
ENSG00000001461	1356	10.8116	1.0380
ENSG00000004455	29430	388.3980	37.2876
ENSG00000004487	3710	81.4649	7.8209
ENSG00000006555	8	0.0991	0.0095
ENSG00000007341	2776	25.6696	2.4644
ENSG00000007908	2	0.0356	0.0034
ENSG00000007923	954	13.9019	1.3346
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4856	66.7341	6.4067
ENSG00000008118	17	0.4727	0.0454
ENSG00000008128	2909	46.2395	4.4392
ENSG00000008130	6807	88.9510	8.5396
ENSG00000009307	64604	841.9340	80.8288
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	466	8.2251	0.7896
ENSG00000009780	4631	120.7640	11.5938
ENSG00000009790	5232	50.6088	4.8586
ENSG00000010072	5173	65.6890	6.3064
ENSG00000010165	685	13.3692	1.2835
ENSG00000010803	2217	37.3944	3.5900
ENSG00000010932	88	1.8414	0.1768
ENSG00000011007	5681	79.0403	7.5882
ENSG00000011009	6321	215.8850	20.7258
ENSG00000011021	2130	23.2101	2.2282
ENSG00000014914	465	7.5925	0.7289
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	555	8.4606	0.8123
ENSG00000020633	8426	137.2350	13.1751
ENSG00000021852	27	0.7420	0.0712
ENSG00000023572	1196	69.0624	6.6302
ENSG00000023902	3557	42.7700	4.1061
ENSG00000023909	1507	21.0350	2.0194
ENSG00000024526	347	4.4035	0.4227
ENSG00000025800	29471	287.5440	27.6053
ENSG00000026751	228	3.7070	0.3559
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	63	1.8702	0.1795
ENSG00000028137	27747	552.5890	53.0506
ENSG00000031698	13296	259.9520	24.9564
ENSG00000033122	256	1.5967	0.1533
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5520	112.9330	10.8420
ENSG00000036549	2851	23.7408	2.2792
ENSG00000037637	4142	34.5795	3.3198
ENSG00000040487	380	10.6221	1.0198
ENSG00000041988	921	16.9659	1.6288
ENSG00000042781	0	0.0000	0.0000
