gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	332	6.4724	1.3184
ENSG00000000460	358	4.2233	0.8603
ENSG00000000938	13801	293.7280	59.8308
ENSG00000000971	32	0.2938	0.0599
ENSG00000001460	551	4.8555	0.9890
ENSG00000001461	3530	28.1555	5.7351
ENSG00000004455	5351	70.6157	14.3841
ENSG00000004487	1744	38.2907	7.7996
ENSG00000006555	170	2.1090	0.4296
ENSG00000007341	1318	12.1872	2.4825
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1024	14.9184	3.0388
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1519	20.8809	4.2533
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3468	55.1371	11.2311
ENSG00000008130	3158	41.2676	8.4060
ENSG00000009307	22192	289.2140	58.9113
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	493	8.6982	1.7718
ENSG00000009780	2909	75.8505	15.4503
ENSG00000009790	14326	138.5810	28.2283
ENSG00000010072	3674	46.6570	9.5038
ENSG00000010165	449	8.7715	1.7867
ENSG00000010803	569	9.6008	1.9557
ENSG00000010932	28	0.5811	0.1184
ENSG00000011007	9161	127.4500	25.9609
ENSG00000011009	3796	129.6580	26.4105
ENSG00000011021	791	8.6182	1.7555
ENSG00000014914	1753	28.6295	5.8317
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	25	0.2977	0.0606
ENSG00000020129	959	14.6315	2.9804
ENSG00000020633	7013	114.2160	23.2653
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	518	29.8868	6.0878
ENSG00000023902	2326	27.9639	5.6961
ENSG00000023909	1762	24.5968	5.0102
ENSG00000024526	118	1.5051	0.3066
ENSG00000025800	7302	71.2464	14.5125
ENSG00000026751	747	12.1746	2.4799
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	217	6.4670	1.3173
ENSG00000028137	10150	202.1400	41.1750
ENSG00000031698	5376	105.1190	21.4121
ENSG00000033122	179	1.1151	0.2271
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3499	71.5780	14.5800
ENSG00000036549	2400	19.9852	4.0709
ENSG00000037637	2455	20.4929	4.1743
ENSG00000040487	595	16.6173	3.3849
ENSG00000041988	1745	32.1343	6.5456
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	511	12.4790	2.5419
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13314	98.0877	19.9799
ENSG00000048707	4730	17.4368	3.5518
ENSG00000049089	583	10.5276	2.1444
ENSG00000049239	3959	32.5705	6.6344
ENSG00000049245	6217	168.9470	34.4136
ENSG00000049246	129	1.3633	0.2777
ENSG00000049247	18	0.7521	0.1532
ENSG00000049249	83	2.7316	0.5564
ENSG00000050628	7	0.0544	0.0111
ENSG00000052723	4501	57.2806	11.6678
ENSG00000053371	408	17.1920	3.5019
ENSG00000053372	1437	38.2034	7.7818
ENSG00000054116	4495	101.7670	20.7294
