gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1173	22.8959	1.7942
ENSG00000000460	1242	14.6627	1.1490
ENSG00000000938	18684	397.6490	31.1605
ENSG00000000971	669	6.1607	0.4828
ENSG00000001460	1342	11.8175	0.9260
ENSG00000001461	5390	42.9901	3.3688
ENSG00000004455	7441	98.2062	7.6956
ENSG00000004487	4756	104.4310	8.1834
ENSG00000006555	58	0.7166	0.0562
ENSG00000007341	4207	38.9010	3.0484
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4350	63.3927	4.9676
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	9435	129.6750	10.1616
ENSG00000008118	7	0.1999	0.0157
ENSG00000008128	19718	313.4410	24.5618
ENSG00000008130	3976	51.9575	4.0715
ENSG00000009307	89346	1164.3600	91.2417
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1285	22.6780	1.7771
ENSG00000009780	13382	348.9790	27.3467
ENSG00000009790	26672	258.0170	20.2187
ENSG00000010072	9481	120.4020	9.4349
ENSG00000010165	1339	26.1371	2.0482
ENSG00000010803	2526	42.6063	3.3387
ENSG00000010932	52	1.0848	0.0850
ENSG00000011007	22093	307.3530	24.0847
ENSG00000011009	6327	216.0890	16.9331
ENSG00000011021	1945	21.1861	1.6602
ENSG00000014914	2186	35.7070	2.7981
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	161	2.4552	0.1924
ENSG00000020633	46643	759.6640	59.5287
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	631	36.4403	2.8555
ENSG00000023902	6450	77.5547	6.0773
ENSG00000023909	5206	72.6507	5.6930
ENSG00000024526	254	3.2312	0.2532
ENSG00000025800	56450	550.7700	43.1593
ENSG00000026751	4633	75.4794	5.9147
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	827	24.6895	1.9347
ENSG00000028137	14478	288.3340	22.5944
ENSG00000031698	18834	368.2280	28.8551
ENSG00000033122	977	6.0987	0.4779
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4493	91.9250	7.2034
ENSG00000036549	7918	65.9251	5.1660
ENSG00000037637	8742	72.9831	5.7191
ENSG00000040487	941	26.2874	2.0599
ENSG00000041988	3383	62.3062	4.8824
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1813	44.2667	3.4688
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	52039	383.3950	30.0435
ENSG00000048707	17990	66.3166	5.1967
ENSG00000049089	256	4.6285	0.3627
ENSG00000049239	8741	71.9073	5.6348
ENSG00000049245	14049	381.7760	29.9167
ENSG00000049246	865	9.1316	0.7156
ENSG00000049247	421	17.7056	1.3874
ENSG00000049249	715	23.4768	1.8397
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	5707	72.6154	5.6903
ENSG00000053371	837	35.2482	2.7621
ENSG00000053372	4418	117.4130	9.2007
ENSG00000054116	6052	137.0050	10.7360
ENSG00000054118	76567	1212.5300	95.0164
ENSG00000054267	172294	1166.9900	91.4473
ENSG00000054277	531	11.4483	0.8971
ENSG00000054282	4692	67.0633	5.2552
ENSG00000054392	1164	20.3161	1.5920
ENSG00000054523	11281	47.8213	3.7474
ENSG00000055070	22827	360.6470	28.2610
ENSG00000055732	441	4.9899	0.3910
ENSG00000057252	15456	164.8190	12.9155
ENSG00000057468	156	3.5784	0.2804
ENSG00000057757	5831	200.0580	15.6769
ENSG00000058085	1	0.0115	0.0009
ENSG00000058453	289	1.7672	0.1385
ENSG00000058668	8793	67.8392	5.3160
ENSG00000058673	27022	208.9340	16.3725
ENSG00000058799	4660	154.5670	12.1121
ENSG00000058804	1131	16.5250	1.2949
ENSG00000059588	5433	52.6264	4.1239
ENSG00000060642	1788	39.6434	3.1065
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	10182	190.3850	14.9189
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	8713	108.5660	8.5075
ENSG00000064886	2804	63.8191	5.0010
ENSG00000065135	20110	470.4570	36.8659
ENSG00000065183	2145	38.6886	3.0317
