gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	980	19.1171	3.0149
ENSG00000000460	773	9.1235	1.4389
ENSG00000000938	951	20.2316	3.1906
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	786	6.9258	1.0922
ENSG00000001461	1388	11.0693	1.7457
ENSG00000004455	16113	212.6500	33.5364
ENSG00000004487	3934	86.3753	13.6220
ENSG00000006555	5	0.0619	0.0098
ENSG00000007341	1516	14.0216	2.2113
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1093	15.9215	2.5109
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	726	9.9734	1.5729
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3515	55.8764	8.8121
ENSG00000008130	797	10.4199	1.6433
ENSG00000009307	46612	607.4500	95.7989
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	789	13.9266	2.1963
ENSG00000009780	4006	104.4750	16.4763
ENSG00000009790	2155	20.8454	3.2874
ENSG00000010072	1964	24.9404	3.9333
ENSG00000010165	469	9.1522	1.4434
ENSG00000010803	1776	29.9514	4.7235
ENSG00000010932	58	1.2093	0.1907
ENSG00000011007	5222	72.6541	11.4580
ENSG00000011009	3449	117.8010	18.5781
ENSG00000011021	788	8.5891	1.3546
ENSG00000014914	38	0.6217	0.0980
ENSG00000016490	4	0.0898	0.0142
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0019
ENSG00000020129	1724	26.2910	4.1463
ENSG00000020633	4707	76.6545	12.0889
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1166	67.3149	10.6160
ENSG00000023902	4235	50.9206	8.0305
ENSG00000023909	202	2.8208	0.4449
ENSG00000024526	172	2.1801	0.3438
ENSG00000025800	14661	143.0410	22.5585
ENSG00000026751	35	0.5717	0.0901
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	13	0.4017	0.0633
ENSG00000028137	7665	152.6480	24.0736
ENSG00000031698	5164	100.9640	15.9227
ENSG00000033122	248	1.5515	0.2447
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2258	46.1915	7.2847
