gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	179	3.4886	0.7215
ENSG00000000460	294	3.4693	0.7175
ENSG00000000938	2543	54.1271	11.1945
ENSG00000000971	365	3.3638	0.6957
ENSG00000001460	131	1.1566	0.2392
ENSG00000001461	559	4.4597	0.9224
ENSG00000004455	4254	56.1411	11.6111
ENSG00000004487	2491	54.6917	11.3113
ENSG00000006555	5	0.0619	0.0128
ENSG00000007341	925	8.5527	1.7689
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	978	14.2452	2.9462
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1235	16.9795	3.5117
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2190	34.8122	7.1998
ENSG00000008130	596	7.7909	1.6113
ENSG00000009307	28953	377.3130	78.0356
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	234	4.1273	0.8536
ENSG00000009780	1733	45.2055	9.3494
ENSG00000009790	1859	17.9796	3.7185
ENSG00000010072	2681	34.0405	7.0402
ENSG00000010165	199	3.8878	0.8041
ENSG00000010803	2104	35.4830	7.3386
ENSG00000010932	38	0.7927	0.1639
ENSG00000011007	8501	118.2600	24.4585
ENSG00000011009	2365	80.7605	16.7028
ENSG00000011021	761	8.2947	1.7155
ENSG00000014914	132	2.1512	0.4449
ENSG00000016490	0	0.0105	0.0022
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	615	9.3789	1.9397
ENSG00000020633	14098	229.6030	47.4862
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	395	22.8291	4.7215
ENSG00000023902	5239	62.9926	13.0281
ENSG00000023909	493	6.8833	1.4236
ENSG00000024526	126	1.6015	0.3312
ENSG00000025800	13044	127.2670	26.3213
ENSG00000026751	393	6.3975	1.3231
ENSG00000027644	6	0.0919	0.0190
ENSG00000027869	185	5.5319	1.1441
ENSG00000028137	2548	50.7387	10.4937
ENSG00000031698	2254	44.0756	9.1157
ENSG00000033122	95	0.5937	0.1228
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1159	23.7070	4.9031
ENSG00000036549	2754	22.9308	4.7425
ENSG00000037637	2076	17.3310	3.5844
ENSG00000040487	237	6.6068	1.3664
ENSG00000041988	1058	19.4889	4.0307
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	626	15.2921	3.1627
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11832	87.1677	18.0279
ENSG00000048707	2442	9.0022	1.8618
ENSG00000049089	459	8.2910	1.7147
ENSG00000049239	6271	51.5890	10.6696
ENSG00000049245	5021	136.4290	28.2162
ENSG00000049246	73	0.7744	0.1602
ENSG00000049247	16	0.6669	0.1379
ENSG00000049249	43	1.3976	0.2890
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2637	33.5616	6.9412
ENSG00000053371	288	12.1241	2.5075
ENSG00000053372	1186	31.5163	6.5182
ENSG00000054116	4015	90.8998	18.7998
ENSG00000054118	24574	389.1560	80.4849
ENSG00000054267	24588	166.5410	34.4438
ENSG00000054277	99	2.1325	0.4411
ENSG00000054282	3440	49.1698	10.1693
ENSG00000054392	690	12.0433	2.4908
ENSG00000054523	2175	9.2200	1.9069
ENSG00000055070	8173	129.1340	26.7075
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1115	11.8949	2.4601
ENSG00000057468	9	0.2097	0.0434
ENSG00000057757	2109	72.3413	14.9616
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	205	1.2531	0.2592
ENSG00000058668	4950	38.1930	7.8990
ENSG00000058673	8011	61.9410	12.8106
ENSG00000058799	1174	38.9354	8.0526
ENSG00000058804	485	7.0882	1.4660
ENSG00000059588	4455	43.1543	8.9251
ENSG00000060642	446	9.8808	2.0435
ENSG00000060656	11	0.1221	0.0253
ENSG00000060688	4795	89.6557	18.5425
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2793	34.8071	7.1988
ENSG00000064886	184	4.1794	0.8644
ENSG00000065135	13398	313.4260	64.8225
ENSG00000065183	548	9.8856	2.0445
ENSG00000065243	5597	59.8504	12.3782
ENSG00000065526	6395	36.0791	7.4619
ENSG00000065600	2786	71.7152	14.8320
ENSG00000065978	42136	1637.4000	338.6462
ENSG00000066027	2217	43.0334	8.9001
ENSG00000066056	570	6.3830	1.3201
ENSG00000066135	1542	22.3540	4.6232
ENSG00000066136	1241	15.5517	3.2164
ENSG00000066185	137	4.6929	0.9706
ENSG00000066279	1073	7.3937	1.5292
ENSG00000066294	470	3.8063	0.7872
ENSG00000066322	4261	129.9680	26.8798
ENSG00000066557	2083	54.1650	11.2024
ENSG00000067208	229	2.0735	0.4288
ENSG00000067334	29784	371.9870	76.9341
ENSG00000067533	1409	13.4080	2.7730
ENSG00000067606	297	2.9134	0.6026
ENSG00000067704	2447	44.0923	9.1191
ENSG00000069248	1105	16.3862	3.3890
ENSG00000069275	16344	187.2560	38.7280
ENSG00000069424	5249	48.4470	10.0198
ENSG00000069702	216	1.8716	0.3871
ENSG00000069712	23	0.3788	0.0783
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	636	13.7957	2.8532
ENSG00000070785	905	22.2967	4.6114
ENSG00000070831	25650	554.3920	114.6589
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2244	24.0577	4.9756
ENSG00000073754	14	0.4259	0.0881
ENSG00000073756	668	9.5052	1.9659
ENSG00000074800	98799	1808.6300	374.0587
ENSG00000074964	4	0.0382	0.0079
ENSG00000075151	1639	14.5816	3.0157
ENSG00000075391	0	0.0000	0.0000
ENSG00000075945	1021	15.2792	3.1600
ENSG00000076258	34	1.0111	0.2091
ENSG00000076321	1808	31.8832	6.5940
ENSG00000076356	62	0.3373	0.0698
ENSG00000076864	329	3.8882	0.8042
ENSG00000077152	790	55.6085	11.5009
ENSG00000077157	946	4.9265	1.0189
ENSG00000077254	4336	47.0026	9.7210
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	17914	386.0750	79.8476
ENSG00000077585	173	5.7025	1.1794
ENSG00000078369	12285	150.1570	31.0552
ENSG00000078618	6318	71.5909	14.8064
ENSG00000078808	2195	35.0481	7.2486
ENSG00000078900	23	0.3113	0.0644
ENSG00000079277	2546	23.6913	4.8998
