gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	424	8.2729	1.8307
ENSG00000000460	977	11.5316	2.5518
ENSG00000000938	10085	214.6270	47.4941
ENSG00000000971	1174	10.8153	2.3933
ENSG00000001460	369	3.2526	0.7198
ENSG00000001461	1863	14.8556	3.2873
ENSG00000004455	15098	199.2510	44.0917
ENSG00000004487	1395	30.6309	6.7782
ENSG00000006555	1	0.0124	0.0027
ENSG00000007341	1334	12.3329	2.7291
ENSG00000007908	4	0.0673	0.0149
ENSG00000007923	1637	23.8527	5.2783
ENSG00000007933	19	0.4086	0.0904
ENSG00000007968	342	4.6940	1.0387
ENSG00000008118	4	0.1035	0.0229
ENSG00000008128	2206	35.0714	7.7609
ENSG00000008130	1037	13.5503	2.9985
ENSG00000009307	27322	356.0670	78.7930
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	161	2.8367	0.6277
ENSG00000009780	3096	80.7427	17.8673
ENSG00000009790	6581	63.6595	14.0870
ENSG00000010072	1544	19.6023	4.3377
ENSG00000010165	727	14.1842	3.1388
ENSG00000010803	810	13.6598	3.0227
ENSG00000010932	45	0.9438	0.2088
ENSG00000011007	4207	58.5274	12.9514
ENSG00000011009	2926	99.9290	22.1130
ENSG00000011021	1274	13.8826	3.0720
ENSG00000014914	988	16.1359	3.5707
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	432	6.5953	1.4595
ENSG00000020633	3671	59.7952	13.2319
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	691	39.9076	8.8310
ENSG00000023902	1926	23.1508	5.1230
ENSG00000023909	641	8.9481	1.9801
ENSG00000024526	212	2.6926	0.5958
ENSG00000025800	11631	113.4850	25.1127
ENSG00000026751	216	3.5226	0.7795
ENSG00000027644	3	0.0394	0.0087
ENSG00000027869	51	1.5199	0.3364
ENSG00000028137	9471	188.6250	41.7402
ENSG00000031698	5858	114.5310	25.3442
ENSG00000033122	104	0.6518	0.1442
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1136	23.2340	5.1414
ENSG00000036549	1589	13.2281	2.9272
ENSG00000037637	1790	14.9404	3.3061
ENSG00000040487	317	8.8410	1.9564
ENSG00000041988	1239	22.8170	5.0491
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	587	14.3380	3.1728
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7305	53.8168	11.9090
ENSG00000048707	1580	5.8236	1.2887
ENSG00000049089	272	4.9092	1.0864
ENSG00000049239	4017	33.0428	7.3119
ENSG00000049245	3890	105.6970	23.3893
ENSG00000049246	85	0.8958	0.1982
ENSG00000049247	487	20.4818	4.5324
ENSG00000049249	512	16.8039	3.7185
ENSG00000050628	7	0.0544	0.0120
ENSG00000052723	2363	30.0679	6.6536
ENSG00000053371	654	27.5469	6.0958
ENSG00000053372	1039	27.6099	6.1097
ENSG00000054116	5254	118.9390	26.3198
ENSG00000054118	26069	412.8260	91.3530
ENSG00000054267	13545	91.7443	20.3018
ENSG00000054277	1196	25.7819	5.7052
ENSG00000054282	6310	90.1923	19.9584
ENSG00000054392	374	6.5240	1.4437
ENSG00000054523	1700	7.2053	1.5944
ENSG00000055070	6759	106.7880	23.6309
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6625	70.6505	15.6340
ENSG00000057468	10	0.2257	0.0500
ENSG00000057757	1199	41.1317	9.1019
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	19	0.1159	0.0256
ENSG00000058668	6776	52.2805	11.5690
ENSG00000058673	7364	56.9402	12.6001
