gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	631	12.3189	2.4725
ENSG00000000460	698	8.2365	1.6531
ENSG00000000938	10637	226.3820	45.4358
ENSG00000000971	30	0.2753	0.0552
ENSG00000001460	771	6.7915	1.3631
ENSG00000001461	2292	18.2769	3.6683
ENSG00000004455	5626	74.2465	14.9016
ENSG00000004487	2190	48.0890	9.6517
ENSG00000006555	57	0.7059	0.1417
ENSG00000007341	1134	10.4834	2.1041
ENSG00000007908	17	0.3022	0.0607
ENSG00000007923	1849	26.9439	5.4078
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2049	28.1618	5.6522
ENSG00000008118	23	0.6510	0.1307
ENSG00000008128	6364	101.1730	20.3059
ENSG00000008130	1620	21.1662	4.2482
ENSG00000009307	30160	393.0520	78.8873
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	196	3.4665	0.6957
ENSG00000009780	1839	47.9531	9.6244
ENSG00000009790	1814	17.5489	3.5221
ENSG00000010072	1550	19.6896	3.9518
ENSG00000010165	1411	27.5451	5.5284
ENSG00000010803	1115	18.8116	3.7756
ENSG00000010932	52	1.0842	0.2176
ENSG00000011007	3769	52.4298	10.5229
ENSG00000011009	2869	98.0009	19.6692
ENSG00000011021	953	10.3860	2.0845
ENSG00000014914	778	12.7110	2.5511
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	368	5.6197	1.1279
ENSG00000020633	11883	193.5420	38.8447
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	514	29.6628	5.9535
ENSG00000023902	3889	46.7526	9.3835
ENSG00000023909	1906	26.5934	5.3374
ENSG00000024526	475	6.0344	1.2111
ENSG00000025800	14420	140.6900	28.2372
ENSG00000026751	1523	24.8104	4.9796
ENSG00000027644	21	0.3082	0.0619
ENSG00000027869	1953	58.3161	11.7043
ENSG00000028137	8017	159.6500	32.0425
ENSG00000031698	6741	131.7910	26.4510
ENSG00000033122	132	0.8245	0.1655
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1989	40.6899	8.1666
ENSG00000036549	1834	15.2700	3.0648
ENSG00000037637	3652	30.4883	6.1191
ENSG00000040487	490	13.6739	2.7444
ENSG00000041988	1639	30.1960	6.0605
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	347	8.4712	1.7002
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9937	73.2130	14.6942
ENSG00000048707	4146	15.2845	3.0677
ENSG00000049089	236	4.2602	0.8550
ENSG00000049239	2213	18.2031	3.6534
ENSG00000049245	4467	121.3800	24.3616
ENSG00000049246	155	1.6382	0.3288
ENSG00000049247	352	14.8155	2.9735
ENSG00000049249	3895	127.8940	25.6688
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3345	42.5596	8.5419
ENSG00000053371	273	11.5014	2.3084
ENSG00000053372	1349	35.8441	7.1941
ENSG00000054116	4173	94.4621	18.9590
ENSG00000054118	35276	558.6410	112.1218
ENSG00000054267	18109	122.6540	24.6171
ENSG00000054277	314	6.7583	1.3564
ENSG00000054282	2869	41.0156	8.2320
ENSG00000054392	200	3.4853	0.6995
ENSG00000054523	2569	10.8907	2.1858
ENSG00000055070	6180	97.6406	19.5969
ENSG00000055732	17	0.1925	0.0386
ENSG00000057252	8009	85.4049	17.1412
ENSG00000057468	11	0.2514	0.0505
ENSG00000057757	2789	95.6729	19.2020
ENSG00000058085	18	0.2111	0.0424
