gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	696	13.5760	2.9854
ENSG00000000460	877	10.3466	2.2752
ENSG00000000938	321	6.8329	1.5026
ENSG00000000971	67	0.6139	0.1350
ENSG00000001460	507	4.4639	0.9816
ENSG00000001461	4444	35.4461	7.7947
ENSG00000004455	6925	91.3885	20.0966
ENSG00000004487	3391	74.4578	16.3735
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1353	12.5133	2.7517
ENSG00000007908	10	0.1785	0.0392
ENSG00000007923	788	11.4838	2.5253
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	473	6.4981	1.4289
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2121	33.7124	7.4135
ENSG00000008130	390	5.0946	1.1203
ENSG00000009307	36436	474.8430	104.4196
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	372	6.5695	1.4447
ENSG00000009780	2390	62.3154	13.7034
ENSG00000009790	7685	74.3384	16.3473
ENSG00000010072	821	10.4313	2.2939
ENSG00000010165	1708	33.3333	7.3301
ENSG00000010803	2726	45.9737	10.1098
ENSG00000010932	28	0.5817	0.1279
ENSG00000011007	4778	66.4780	14.6187
ENSG00000011009	349	11.9158	2.6203
ENSG00000011021	1472	16.0386	3.5269
ENSG00000014914	191	3.1270	0.6876
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	735	11.2113	2.4654
ENSG00000020633	745	12.1333	2.6682
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	348	20.1032	4.4208
ENSG00000023902	1649	19.8310	4.3609
ENSG00000023909	373	5.1993	1.1434
ENSG00000024526	230	2.9162	0.6413
ENSG00000025800	9647	94.1218	20.6977
ENSG00000026751	18	0.2934	0.0645
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	2	0.0597	0.0131
ENSG00000028137	1541	30.6861	6.7480
ENSG00000031698	5482	107.1810	23.5695
ENSG00000033122	184	1.1510	0.2531
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2963	60.6266	13.3320
ENSG00000036549	4646	38.6819	8.5063
ENSG00000037637	2863	23.8989	5.2554
ENSG00000040487	52	1.4509	0.3190
ENSG00000041988	1156	21.2964	4.6831
ENSG00000042781	18	0.0639	0.0141
ENSG00000043514	944	23.0661	5.0723
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21411	157.7460	34.6890
ENSG00000048707	4542	16.7411	3.6814
ENSG00000049089	9	0.1597	0.0351
ENSG00000049239	901	7.4087	1.6292
