gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	581	11.3403	2.4447
ENSG00000000460	466	5.5063	1.1870
ENSG00000000938	17035	362.5480	78.1573
ENSG00000000971	26	0.2388	0.0515
ENSG00000001460	406	3.5732	0.7703
ENSG00000001461	5456	43.5101	9.3798
ENSG00000004455	4524	59.7016	12.8703
ENSG00000004487	1380	30.2924	6.5304
ENSG00000006555	61	0.7556	0.1629
ENSG00000007341	818	7.5625	1.6303
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1364	19.8815	4.2860
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	595	8.1746	1.7623
ENSG00000008118	2	0.0561	0.0121
ENSG00000008128	4278	68.0028	14.6599
ENSG00000008130	2138	27.9357	6.0223
ENSG00000009307	23933	311.8930	67.2373
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	428	7.5495	1.6275
ENSG00000009780	5170	134.8110	29.0622
ENSG00000009790	12166	117.6940	25.3723
ENSG00000010072	2532	32.1529	6.9314
ENSG00000010165	353	6.8938	1.4862
ENSG00000010803	664	11.2013	2.4147
ENSG00000010932	16	0.3341	0.0720
ENSG00000011007	6074	84.5081	18.2181
ENSG00000011009	3335	113.8900	24.5521
ENSG00000011021	946	10.3109	2.2228
ENSG00000014914	1660	27.1263	5.8478
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0715	0.0154
ENSG00000020129	816	12.4456	2.6830
ENSG00000020633	13029	212.2000	45.7456
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	310	17.9238	3.8640
ENSG00000023902	4229	50.8410	10.9602
ENSG00000023909	500	6.9805	1.5048
ENSG00000024526	0	0.0000	0.0000
ENSG00000025800	12771	124.6010	26.8613
ENSG00000026751	1522	24.7947	5.3452
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	228	6.7954	1.4649
ENSG00000028137	15845	315.5580	68.0272
ENSG00000031698	6178	120.7980	26.0413
ENSG00000033122	192	1.2018	0.2591
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1302	26.6372	5.7424
ENSG00000036549	1911	15.9109	3.4300
ENSG00000037637	2796	23.3454	5.0328
ENSG00000040487	288	8.0376	1.7327
ENSG00000041988	1218	22.4349	4.8365
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	410	10.0221	2.1605
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13445	99.0554	21.3541
ENSG00000048707	3760	13.8617	2.9883
ENSG00000049089	20	0.3614	0.0779
ENSG00000049239	3962	32.5893	7.0255
ENSG00000049245	5432	147.6140	31.8224
ENSG00000049246	191	2.0170	0.4348
ENSG00000049247	30	1.2754	0.2749
ENSG00000049249	121	3.9575	0.8532
ENSG00000050628	30	0.2331	0.0502
ENSG00000052723	2948	37.5097	8.0863
ENSG00000053371	301	12.6631	2.7299
ENSG00000053372	1365	36.2821	7.8216
ENSG00000054116	4146	93.8599	20.2341
ENSG00000054118	19877	314.7740	67.8582
ENSG00000054267	22097	149.6680	32.2652
ENSG00000054277	481	10.3744	2.2365
ENSG00000054282	4202	60.0686	12.9495
ENSG00000054392	199	3.4679	0.7476
ENSG00000054523	2610	11.0630	2.3849
ENSG00000055070	9697	153.2110	33.0288
ENSG00000055732	17	0.1925	0.0415
ENSG00000057252	4631	49.3835	10.6460
ENSG00000057468	20	0.4541	0.0979
ENSG00000057757	1876	64.3737	13.8775
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	252	1.5419	0.3324
ENSG00000058668	5419	41.8079	9.0129
ENSG00000058673	7139	55.1989	11.8996
ENSG00000058799	2068	68.6042	14.7896
ENSG00000058804	610	8.9054	1.9198
ENSG00000059588	1577	15.2766	3.2933
ENSG00000060642	378	8.3811	1.8068
ENSG00000060656	11	0.1193	0.0257
ENSG00000060688	2492	46.5974	10.0454
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2060	25.6689	5.5336
ENSG00000064886	1370	31.1730	6.7202
ENSG00000065135	5310	124.2310	26.7813
ENSG00000065183	744	13.4251	2.8942
ENSG00000065243	3369	36.0254	7.7663
ENSG00000065526	7761	43.7822	9.4385
ENSG00000065600	1499	38.5841	8.3179
ENSG00000065978	22873	888.8300	191.6120
ENSG00000066027	1977	38.3774	8.2733
ENSG00000066056	35	0.3917	0.0844
ENSG00000066135	1111	16.1119	3.4734
ENSG00000066136	2422	30.3391	6.5404
ENSG00000066185	95	3.2419	0.6989
ENSG00000066279	121	0.8326	0.1795
ENSG00000066294	2133	17.2818	3.7256
ENSG00000066322	6185	188.6380	40.6662
ENSG00000066557	1799	46.7829	10.0854
ENSG00000067208	4755	43.1122	9.2940
ENSG00000067334	20078	250.7650	54.0594
ENSG00000067533	1435	13.6500	2.9426
ENSG00000067606	280	2.7538	0.5937
ENSG00000067704	3675	66.2292	14.2775
ENSG00000069248	1955	28.9953	6.2507
ENSG00000069275	17987	206.0860	44.4276
ENSG00000069424	3780	34.8918	7.5219
ENSG00000069702	575	4.9852	1.0747
ENSG00000069712	173	2.8086	0.6055
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	754	16.3344	3.5213
ENSG00000070785	1698	41.8383	9.0194
ENSG00000070831	22204	479.9070	103.4574
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	454	4.8649	1.0488
ENSG00000073754	1	0.0305	0.0066
ENSG00000073756	308	4.3876	0.9459
ENSG00000074800	45447	831.9540	179.3508
ENSG00000074964	789	7.5382	1.6251
ENSG00000075151	2119	18.8512	4.0639
ENSG00000075391	23	0.1490	0.0321
ENSG00000075945	1817	27.1727	5.8578
ENSG00000076258	52	1.5538	0.3350
ENSG00000076321	2752	48.5157	10.4589
ENSG00000076356	234	1.2759	0.2751
ENSG00000076864	1	0.0061	0.0013
ENSG00000077152	141	9.9446	2.1438
ENSG00000077157	919	4.7881	1.0322
ENSG00000077254	5797	62.8508	13.5492
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	31121	670.7170	144.5916
ENSG00000077585	260	8.5603	1.8454
ENSG00000078369	8476	103.5980	22.3334
ENSG00000078618	9824	111.3210	23.9983
ENSG00000078808	1087	17.3513	3.7405
ENSG00000078900	144	1.9390	0.4180
ENSG00000079277	3232	30.0780	6.4842
ENSG00000079335	2705	35.4090	7.6334
ENSG00000079739	1112	20.0283	4.3177
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	847	9.3285	2.0110
ENSG00000081019	9268	101.9380	21.9755
ENSG00000081026	239	2.1873	0.4715
ENSG00000081237	67888	598.5170	129.0269
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1958	34.0280	7.3357
ENSG00000081721	2298	97.7940	21.0822
ENSG00000081870	1528	41.5274	8.9524
ENSG00000081985	279	4.9409	1.0652
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1799	14.9590	3.2248
ENSG00000083444	2108	29.6741	6.3971
ENSG00000084070	8221	186.8940	40.2902
ENSG00000084072	5055	46.9737	10.1265
ENSG00000084073	2113	44.3737	9.5660
ENSG00000084623	9407	409.0200	88.1755
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	23	0.1812	0.0391
ENSG00000084652	8164	119.9940	25.8679
ENSG00000085433	491	8.1118	1.7487
ENSG00000085465	152	3.8166	0.8228
ENSG00000085491	799	9.1492	1.9724
ENSG00000085552	33	0.3686	0.0794
ENSG00000085831	14	0.1106	0.0238
ENSG00000085832	5500	54.6259	11.7761
ENSG00000085840	134	3.1802	0.6856
ENSG00000085998	1909	22.4939	4.8492
ENSG00000085999	56	1.3154	0.2835
ENSG00000086015	195	1.6459	0.3548
ENSG00000086619	1506	19.8528	4.2798
ENSG00000088035	894	13.5560	2.9224
ENSG00000088280	148	2.2672	0.4888
ENSG00000090020	753	9.4467	2.0365
ENSG00000090104	6872	125.1880	26.9878
ENSG00000090273	4222	110.8350	23.8937
ENSG00000090432	2875	88.5213	19.0832
ENSG00000090621	4642	51.3374	11.0672
ENSG00000090686	2510	19.8184	4.2724
ENSG00000091483	701	24.5331	5.2888
ENSG00000092607	3	0.0557	0.0120
ENSG00000092621	934	12.4605	2.6862
ENSG00000092847	8507	49.5133	10.6740
ENSG00000092850	75	2.8534	0.6151
ENSG00000092853	318	4.4095	0.9506
ENSG00000092969	1	0.0146	0.0031
ENSG00000092978	889	7.5411	1.6257
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	5739	66.5608	14.3490
ENSG00000097021	275	4.2244	0.9107
