gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	538	10.4943	1.5075
ENSG00000000460	1690	19.9489	2.8657
ENSG00000000938	1898	40.3856	5.8015
ENSG00000000971	292	2.6927	0.3868
ENSG00000001460	601	5.2920	0.7602
ENSG00000001461	5613	44.7688	6.4312
ENSG00000004455	10021	132.2430	18.9971
ENSG00000004487	4737	104.0100	14.9413
ENSG00000006555	97	1.2017	0.1726
ENSG00000007341	2723	25.1812	3.6174
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2418	35.2398	5.0623
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5024	69.0438	9.9183
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4562	72.5193	10.4176
ENSG00000008130	1540	20.1319	2.8920
ENSG00000009307	47810	623.0610	89.5043
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	216	3.8057	0.5467
ENSG00000009780	2078	54.1871	7.7841
ENSG00000009790	5476	52.9712	7.6095
ENSG00000010072	5037	63.9672	9.1891
ENSG00000010165	1462	28.5319	4.0987
ENSG00000010803	2121	35.7704	5.1385
ENSG00000010932	36	0.7468	0.1073
ENSG00000011007	10776	149.9200	21.5364
ENSG00000011009	2598	88.7382	12.7475
ENSG00000011021	1568	17.0850	2.4543
ENSG00000014914	245	4.0057	0.5754
ENSG00000016490	6	0.1302	0.0187
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	737	11.2453	1.6154
ENSG00000020633	4916	80.0595	11.5008
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	906	52.3195	7.5158
ENSG00000023902	2470	29.6983	4.2662
ENSG00000023909	4288	59.8416	8.5964
ENSG00000024526	1882	23.9023	3.4336
ENSG00000025800	28378	276.8730	39.7735
ENSG00000026751	21	0.3406	0.0489
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	39	1.1740	0.1686
ENSG00000028137	1462	29.1190	4.1830
ENSG00000031698	19570	382.6280	54.9656
ENSG00000033122	128	0.7971	0.1145
ENSG00000034971	21	0.7561	0.1086
ENSG00000035687	1713	35.0472	5.0346
ENSG00000036549	2901	24.1495	3.4691
ENSG00000037637	5440	45.4161	6.5241
ENSG00000040487	190	5.3030	0.7618
ENSG00000041988	2531	46.6085	6.6954
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	581	14.1960	2.0393
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21915	161.4540	23.1934
ENSG00000048707	5105	18.8168	2.7031
ENSG00000049089	925	16.7203	2.4019
ENSG00000049239	2665	21.9223	3.1492
ENSG00000049245	2569	69.8087	10.0282
ENSG00000049246	80	0.8456	0.1215
ENSG00000049247	17	0.7145	0.1027
ENSG00000049249	55	1.8174	0.2611
ENSG00000050628	0	0.0000	0.0000
