gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	407	7.9339	1.0835
ENSG00000000460	330	3.8952	0.5319
ENSG00000000938	468	9.9662	1.3610
ENSG00000000971	264	2.4355	0.3326
ENSG00000001460	593	5.2212	0.7130
ENSG00000001461	2647	21.1113	2.8830
ENSG00000004455	4474	59.0480	8.0637
ENSG00000004487	3505	76.9546	10.5090
ENSG00000006555	76	0.9409	0.1285
ENSG00000007341	1446	13.3670	1.8254
ENSG00000007908	68	1.2029	0.1643
ENSG00000007923	1204	17.5494	2.3966
ENSG00000007933	103	2.2255	0.3039
ENSG00000007968	136	1.8723	0.2557
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6613	105.1240	14.3558
ENSG00000008130	318	4.1509	0.5669
ENSG00000009307	86068	1121.6600	153.1751
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	508	8.9708	1.2251
ENSG00000009780	3870	100.9180	13.7814
ENSG00000009790	1150	11.1281	1.5197
ENSG00000010072	3599	45.7015	6.2411
ENSG00000010165	496	9.6732	1.3210
ENSG00000010803	2857	48.1833	6.5800
ENSG00000010932	85	1.7871	0.2440
ENSG00000011007	8210	114.2200	15.5981
ENSG00000011009	1924	65.6990	8.9720
ENSG00000011021	1594	17.3703	2.3721
ENSG00000014914	86	1.4104	0.1926
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0822	0.0112
ENSG00000018625	18	0.2136	0.0292
ENSG00000020129	251	3.8328	0.5234
ENSG00000020633	8424	137.2000	18.7362
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	309	17.8545	2.4382
ENSG00000023902	4663	56.0689	7.6569
ENSG00000023909	1652	23.0592	3.1490
ENSG00000024526	50	0.6333	0.0865
ENSG00000025800	25175	245.6220	33.5425
ENSG00000026751	189	3.0841	0.4212
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	469	14.0096	1.9132
ENSG00000028137	3454	68.7828	9.3931
ENSG00000031698	4005	78.3136	10.6946
ENSG00000033122	341	2.1317	0.2911
ENSG00000034971	1	0.0360	0.0049
ENSG00000035687	1440	29.4558	4.0225
ENSG00000036549	4002	33.3177	4.5499
ENSG00000037637	5971	49.8474	6.8072
ENSG00000040487	337	9.3961	1.2832
ENSG00000041988	1015	18.6925	2.5527
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	540	13.1791	1.7998
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16600	122.2960	16.7009
ENSG00000048707	6022	22.1994	3.0316
ENSG00000049089	168	3.0292	0.4137
ENSG00000049239	4623	38.0330	5.1938
ENSG00000049245	7521	204.3730	27.9095
ENSG00000049246	808	8.5349	1.1655
ENSG00000049247	517	21.7459	2.9696
ENSG00000049249	671	22.0193	3.0070
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	7178	91.3414	12.4737
ENSG00000053371	269	11.3290	1.5471
ENSG00000053372	1454	38.6311	5.2755
ENSG00000054116	4397	99.5406	13.5934
ENSG00000054118	23606	373.8290	51.0506
ENSG00000054267	56640	383.6390	52.3902
ENSG00000054277	28	0.5986	0.0817
ENSG00000054282	3802	54.3446	7.4214
ENSG00000054392	425	7.4253	1.0140
ENSG00000054523	7923	33.5868	4.5867
ENSG00000055070	9774	154.4270	21.0888
ENSG00000055732	4	0.0453	0.0062
ENSG00000057252	4829	51.4932	7.0320
ENSG00000057468	33	0.7547	0.1031
ENSG00000057757	2156	73.9863	10.1037
ENSG00000058085	1	0.0115	0.0016
ENSG00000058453	192	1.1735	0.1603
ENSG00000058668	4408	34.0072	4.6441
ENSG00000058673	13646	105.5110	14.4088
ENSG00000058799	1064	35.2950	4.8199
ENSG00000058804	722	10.5509	1.4409
ENSG00000059588	3059	29.6300	4.0463
ENSG00000060642	289	6.4110	0.8755
ENSG00000060656	22	0.2454	0.0335
ENSG00000060688	4072	76.1364	10.3973
ENSG00000060718	71	0.6436	0.0879
ENSG00000064703	4492	55.9674	7.6430
ENSG00000064886	212	4.8203	0.6583
ENSG00000065135	12490	292.1860	39.9013
ENSG00000065183	911	16.4354	2.2444
ENSG00000065243	5192	55.5175	7.5816
ENSG00000065526	10865	61.2966	8.3708
ENSG00000065600	2669	68.6997	9.3817
ENSG00000065978	73310	2848.8300	389.0396
ENSG00000066027	3145	61.0564	8.3379
ENSG00000066056	1262	14.1346	1.9302
ENSG00000066135	1231	17.8581	2.4387
ENSG00000066136	2340	29.3147	4.0032
ENSG00000066185	5	0.1877	0.0256
ENSG00000066279	824	5.6748	0.7750
ENSG00000066294	4868	39.4510	5.3875
ENSG00000066322	2831	86.3408	11.7908
ENSG00000066557	3854	100.2240	13.6867
ENSG00000067208	415	3.7643	0.5140
ENSG00000067334	27661	345.4710	47.1780
ENSG00000067533	2474	23.5349	3.2140
ENSG00000067606	729	7.1625	0.9781
ENSG00000067704	2128	38.3481	5.2369
ENSG00000069248	2387	35.4068	4.8352
ENSG00000069275	24716	283.1770	38.6711
ENSG00000069424	5082	46.9048	6.4054
ENSG00000069702	614	5.3178	0.7262
ENSG00000069712	16	0.2589	0.0354
ENSG00000069812	13	0.1801	0.0246
ENSG00000070759	2250	48.7708	6.6602
ENSG00000070785	1228	30.2744	4.1343
ENSG00000070831	42279	913.8110	124.7912
ENSG00000070886	15	0.2100	0.0287
ENSG00000072694	39	0.4181	0.0571
ENSG00000073754	503	15.3506	2.0963
ENSG00000073756	8133	115.7690	15.8096
ENSG00000074800	81257	1487.5000	203.1347
ENSG00000074964	26	0.2485	0.0339
ENSG00000075151	5903	52.5278	7.1733
ENSG00000075391	15	0.0971	0.0133
ENSG00000075945	1855	27.7533	3.7900
ENSG00000076258	146	4.3500	0.5941
ENSG00000076321	2935	51.7478	7.0667
ENSG00000076356	142	0.7750	0.1058
ENSG00000076864	3	0.0388	0.0053
ENSG00000077152	230	16.2122	2.2139
ENSG00000077157	1017	5.2951	0.7231
ENSG00000077254	3448	37.3789	5.1045
ENSG00000077522	12	0.1711	0.0234
ENSG00000077549	19569	421.7460	57.5943
ENSG00000077585	279	9.1667	1.2518
ENSG00000078369	15973	195.2310	26.6611
ENSG00000078618	12911	146.3000	19.9790
ENSG00000078808	1558	24.8791	3.3975
ENSG00000078900	132	1.7811	0.2432
ENSG00000079277	3725	34.6582	4.7330
ENSG00000079335	3921	51.3336	7.0102
ENSG00000079739	1901	34.2450	4.6765
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	256	2.8148	0.3844
ENSG00000081019	23293	256.1980	34.9867
ENSG00000081026	309	2.8336	0.3870
ENSG00000081237	58597	516.6100	70.5490
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1355	23.5465	3.2155
ENSG00000081721	3209	136.5790	18.6514
ENSG00000081870	2759	74.9938	10.2413
ENSG00000081985	24	0.4217	0.0576
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	5	0.0686	0.0094
ENSG00000082512	4624	38.4431	5.2498
ENSG00000083444	1517	21.3552	2.9163
ENSG00000084070	5804	131.9540	18.0198
ENSG00000084072	2574	23.9157	3.2660
ENSG00000084073	5130	107.7150	14.7097
ENSG00000084623	21474	933.6360	127.4986
ENSG00000084628	5	0.1255	0.0171
ENSG00000084636	62	0.4860	0.0664
ENSG00000084652	13951	205.0360	28.0000
ENSG00000085433	4652	76.9187	10.5041
ENSG00000085465	249	6.2610	0.8550
ENSG00000085491	1255	14.3732	1.9628
ENSG00000085552	8	0.0947	0.0129
ENSG00000085831	43	0.3470	0.0474
ENSG00000085832	13156	130.6700	17.8445
ENSG00000085840	678	16.0976	2.1983
ENSG00000085998	1994	23.4925	3.2082
ENSG00000085999	558	13.0333	1.7798
ENSG00000086015	329	2.7785	0.3794
ENSG00000086619	6780	89.3929	12.2076
ENSG00000088035	560	8.4917	1.1596
ENSG00000088280	4	0.0617	0.0084
ENSG00000090020	455	5.7140	0.7803
ENSG00000090104	8161	148.6760	20.3034
ENSG00000090273	5985	157.1060	21.4546
ENSG00000090432	5163	158.9450	21.7057
ENSG00000090621	6446	71.2799	9.7341
ENSG00000090686	3790	29.9320	4.0876
ENSG00000091483	1079	37.7750	5.1586
ENSG00000092607	69	1.3555	0.1851
ENSG00000092621	1123	14.9747	2.0450
ENSG00000092847	7219	42.0138	5.7375
ENSG00000092850	83	3.1471	0.4298
ENSG00000092853	859	11.9065	1.6260
ENSG00000092969	14	0.1992	0.0272
ENSG00000092978	911	7.7309	1.0557
ENSG00000094963	230	2.7637	0.3774
ENSG00000094975	10419	120.8320	16.5010
ENSG00000097021	1687	25.8858	3.5350
ENSG00000097033	7034	79.0055	10.7891
ENSG00000097046	295	6.1439	0.8390
ENSG00000097096	1	0.0096	0.0013
ENSG00000099260	33	0.4127	0.0563
ENSG00000107404	405	8.7106	1.1895
ENSG00000116128	1248	14.5832	1.9915
ENSG00000116132	52	0.4730	0.0646
ENSG00000116133	83	1.4019	0.1914
ENSG00000116138	794	6.9569	0.9500
ENSG00000116141	31	0.3254	0.0444
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	466	6.6805	0.9123
ENSG00000116157	2862	126.9410	17.3352
ENSG00000116161	5446	90.5714	12.3686
ENSG00000116171	7728	69.7868	9.5302
ENSG00000116183	0	0.0000	0.0000
