gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	525	10.2513	2.1674
ENSG00000000460	564	6.6624	1.4086
ENSG00000000938	1941	41.3056	8.7331
ENSG00000000971	23	0.2129	0.0450
ENSG00000001460	342	3.0131	0.6371
ENSG00000001461	1248	9.9545	2.1046
ENSG00000004455	7604	100.3550	21.2177
ENSG00000004487	2684	58.9215	12.4576
ENSG00000006555	9	0.1116	0.0236
ENSG00000007341	1130	10.4469	2.2088
ENSG00000007908	2	0.0356	0.0075
ENSG00000007923	1135	16.5351	3.4960
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1522	20.9230	4.4237
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2899	46.0778	9.7421
ENSG00000008130	1242	16.2349	3.4325
ENSG00000009307	44287	577.1530	122.0253
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	360	6.3449	1.3415
ENSG00000009780	2405	62.7166	13.2599
ENSG00000009790	1299	12.5677	2.6571
ENSG00000010072	3186	40.4616	8.5546
ENSG00000010165	469	9.1470	1.9339
ENSG00000010803	1319	22.2440	4.7030
ENSG00000010932	48	1.0087	0.2133
ENSG00000011007	7268	101.1190	21.3792
ENSG00000011009	1709	58.3648	12.3399
ENSG00000011021	938	10.2140	2.1595
ENSG00000014914	90	1.4681	0.3104
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0005	0.0001
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	225	3.4312	0.7254
ENSG00000020633	4554	74.1774	15.6831
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	787	45.4634	9.6122
ENSG00000023902	1968	23.6653	5.0035
ENSG00000023909	917	12.7979	2.7058
ENSG00000024526	352	4.4726	0.9456
ENSG00000025800	13785	134.4940	28.4356
ENSG00000026751	62	1.0172	0.2151
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	64	1.9216	0.4063
ENSG00000028137	1464	29.1654	6.1663
ENSG00000031698	4932	96.4239	20.3866
ENSG00000033122	281	1.7577	0.3716
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1511	30.9097	6.5351
ENSG00000036549	3276	27.2755	5.7668
ENSG00000037637	3918	32.7122	6.9162
ENSG00000040487	168	4.7048	0.9947
ENSG00000041988	867	15.9654	3.3755
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	635	15.5050	3.2782
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10778	79.4054	16.7884
ENSG00000048707	3189	11.7549	2.4853
ENSG00000049089	147	2.6490	0.5601
ENSG00000049239	3503	28.8130	6.0918
ENSG00000049245	4922	133.7500	28.2782
ENSG00000049246	54	0.5711	0.1207
ENSG00000049247	6	0.2524	0.0534
ENSG00000049249	158	5.1852	1.0963
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	4217	53.6566	11.3444
ENSG00000053371	252	10.6103	2.2433
ENSG00000053372	1334	35.4543	7.4960
ENSG00000054116	3799	85.9964	18.1819
ENSG00000054118	30716	486.4260	102.8433
ENSG00000054267	22622	153.2210	32.3950
ENSG00000054277	64	1.3833	0.2925
ENSG00000054282	2190	31.2990	6.6174
ENSG00000054392	143	2.4949	0.5275
ENSG00000054523	1718	7.2833	1.5399
ENSG00000055070	5500	86.9023	18.3734
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2600	27.7216	5.8611
ENSG00000057468	19	0.4311	0.0911
ENSG00000057757	1628	55.8545	11.8091
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	14	0.0855	0.0181
ENSG00000058668	5595	43.1685	9.1270
ENSG00000058673	10536	81.4625	17.2233
ENSG00000058799	1119	37.1322	7.8507
ENSG00000058804	1006	14.6958	3.1071
ENSG00000059588	2562	24.8145	5.2464
ENSG00000060642	444	9.8418	2.0808
ENSG00000060656	13	0.1455	0.0308
ENSG00000060688	4955	92.6562	19.5900
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3154	39.3027	8.3096
ENSG00000064886	137	3.1214	0.6599
ENSG00000065135	11904	278.4870	58.8796
ENSG00000065183	621	11.1991	2.3678
ENSG00000065243	4246	45.3979	9.5983
ENSG00000065526	7636	43.0799	9.1082
ENSG00000065600	1952	50.2371	10.6215
ENSG00000065978	37031	1439.0100	304.2456
ENSG00000066027	1834	35.5995	7.5267
ENSG00000066056	268	3.0011	0.6345
ENSG00000066135	2040	29.5874	6.2556
ENSG00000066136	1601	20.0503	4.2392
ENSG00000066185	26	0.8802	0.1861
