gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	474	9.2427	2.2020
ENSG00000000460	1009	11.9130	2.8382
ENSG00000000938	5401	114.9500	27.3860
ENSG00000000971	2732	25.1585	5.9938
ENSG00000001460	765	6.7363	1.6049
ENSG00000001461	4921	39.2463	9.3501
ENSG00000004455	7061	93.1916	22.2022
ENSG00000004487	3497	76.7743	18.2909
ENSG00000006555	53	0.6565	0.1564
ENSG00000007341	1896	17.5340	4.1773
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2605	37.9584	9.0433
ENSG00000007933	2	0.0433	0.0103
ENSG00000007968	328	4.5135	1.0753
ENSG00000008118	1	0.0265	0.0063
ENSG00000008128	3240	51.4985	12.2692
ENSG00000008130	1134	14.8254	3.5320
ENSG00000009307	31282	407.6700	97.1245
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	351	6.1868	1.4740
ENSG00000009780	2341	61.0414	14.5427
ENSG00000009790	7403	71.6143	17.0616
ENSG00000010072	1606	20.3986	4.8598
ENSG00000010165	667	13.0203	3.1020
ENSG00000010803	627	10.5703	2.5183
ENSG00000010932	34	0.7071	0.1684
ENSG00000011007	5218	72.5978	17.2959
ENSG00000011009	5289	180.6210	43.0316
ENSG00000011021	1457	15.8726	3.7815
ENSG00000014914	500	8.1612	1.9443
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0143	0.0034
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1507	22.9829	5.4755
ENSG00000020633	4073	66.3309	15.8029
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	359	20.7121	4.9345
ENSG00000023902	2724	32.7469	7.8017
ENSG00000023909	680	9.4842	2.2595
ENSG00000024526	118	1.4976	0.3568
ENSG00000025800	9162	89.3908	21.2967
ENSG00000026751	261	4.2572	1.0142
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	318	9.5008	2.2635
ENSG00000028137	3873	77.1357	18.3770
ENSG00000031698	8403	164.2920	39.1414
ENSG00000033122	98	0.6122	0.1458
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	966	19.7681	4.7096
ENSG00000036549	2310	19.2301	4.5814
ENSG00000037637	2420	20.2002	4.8126
ENSG00000040487	140	3.9129	0.9322
ENSG00000041988	2043	37.6270	8.9643
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	866	21.1469	5.0381
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16107	118.6660	28.2713
ENSG00000048707	3220	11.8688	2.8277
ENSG00000049089	279	5.0441	1.2017
ENSG00000049239	3555	29.2469	6.9679
ENSG00000049245	4410	119.8270	28.5480
ENSG00000049246	411	4.3421	1.0345
ENSG00000049247	1155	48.5670	11.5707
ENSG00000049249	96	3.1475	0.7499
ENSG00000050628	2488	19.3273	4.6046
ENSG00000052723	4273	54.3688	12.9530
ENSG00000053371	387	16.2819	3.8790
ENSG00000053372	2037	54.1456	12.8998
ENSG00000054116	5251	118.8660	28.3190
ENSG00000054118	25297	400.6040	95.4410
ENSG00000054267	16043	108.6610	25.8877
ENSG00000054277	231	4.9799	1.1864
