gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1198	23.3743	2.8004
ENSG00000000460	1095	12.9290	1.5490
ENSG00000000938	3458	73.6056	8.8184
ENSG00000000971	30	0.2754	0.0330
ENSG00000001460	1224	10.7781	1.2913
ENSG00000001461	6435	51.3214	6.1486
ENSG00000004455	38833	512.4880	61.3991
ENSG00000004487	8128	178.4520	21.3796
ENSG00000006555	2	0.0246	0.0030
ENSG00000007341	2935	27.1429	3.2519
ENSG00000007908	15	0.2735	0.0328
ENSG00000007923	4863	70.8642	8.4899
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	955	13.1292	1.5730
ENSG00000008118	0	0.0093	0.0011
ENSG00000008128	4606	73.2151	8.7716
ENSG00000008130	1704	22.2675	2.6678
ENSG00000009307	63479	827.2670	99.1114
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	439	7.7532	0.9289
ENSG00000009780	2906	75.7733	9.0781
ENSG00000009790	4336	41.9440	5.0251
ENSG00000010072	2476	31.4384	3.7665
ENSG00000010165	2924	57.0627	6.8364
ENSG00000010803	3112	52.4787	6.2873
ENSG00000010932	69	1.4410	0.1726
ENSG00000011007	6893	95.8987	11.4892
ENSG00000011009	5046	172.3310	20.6462
ENSG00000011021	1514	16.4923	1.9759
ENSG00000014914	516	8.4326	1.0103
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0383	0.0046
ENSG00000020129	3541	54.0087	6.4706
ENSG00000020633	1313	21.3781	2.5612
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	639	36.9130	4.4224
ENSG00000023902	2109	25.3562	3.0378
ENSG00000023909	1074	14.9886	1.7957
ENSG00000024526	329	4.1836	0.5012
ENSG00000025800	20331	198.3630	23.7650
ENSG00000026751	49	0.7937	0.0951
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	93	2.7874	0.3339
ENSG00000028137	115	2.2884	0.2742
ENSG00000031698	13543	264.7880	31.7231
ENSG00000033122	277	1.7269	0.2069
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3745	76.6137	9.1788
ENSG00000036549	4605	38.3408	4.5935
ENSG00000037637	4590	38.3216	4.5911
ENSG00000040487	429	11.9773	1.4350
ENSG00000041988	3866	71.2014	8.5303
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1641	40.0798	4.8018
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17045	125.5770	15.0448
ENSG00000048707	5444	20.0669	2.4041
ENSG00000049089	147	2.6502	0.3175
ENSG00000049239	4827	39.7116	4.7577
ENSG00000049245	8946	243.1020	29.1250
ENSG00000049246	216	2.2841	0.2736
ENSG00000049247	29	1.2266	0.1470
ENSG00000049249	100	3.2942	0.3947
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	5751	73.1815	8.7676
ENSG00000053371	831	35.0067	4.1940
ENSG00000053372	5331	141.6940	16.9758
ENSG00000054116	11660	263.9700	31.6252
ENSG00000054118	60984	965.7550	115.7030
ENSG00000054267	39961	270.6680	32.4276
ENSG00000054277	142	3.0509	0.3655
ENSG00000054282	8118	116.0320	13.9013
ENSG00000054392	910	15.8799	1.9025
ENSG00000054523	4059	17.2076	2.0616
ENSG00000055070	19533	308.6150	36.9739
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3056	32.5885	3.9043
ENSG00000057468	97	2.2244	0.2665
ENSG00000057757	3518	120.6870	14.4590
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	371	2.2704	0.2720
ENSG00000058668	43084	332.4070	39.8242
ENSG00000058673	15412	119.1690	14.2771
ENSG00000058799	3146	104.3590	12.5028
ENSG00000058804	1315	19.1996	2.3002
ENSG00000059588	7772	75.2817	9.0192
ENSG00000060642	1738	38.5491	4.6184
ENSG00000060656	11	0.1182	0.0142
ENSG00000060688	4773	89.2461	10.6922
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3849	47.9605	5.7459
ENSG00000064886	133	3.0361	0.3638
ENSG00000065135	12626	295.3660	35.3865
ENSG00000065183	1674	30.1856	3.6164
ENSG00000065243	6300	67.3700	8.0713
ENSG00000065526	14593	82.3293	9.8635
ENSG00000065600	5441	140.0360	16.7772
ENSG00000065978	89999	3497.3600	419.0041
ENSG00000066027	2594	50.3541	6.0327
ENSG00000066056	21	0.2345	0.0281
ENSG00000066135	4095	59.3884	7.1151
ENSG00000066136	3705	46.4112	5.5603
ENSG00000066185	142	4.8624	0.5826
ENSG00000066279	1654	11.3945	1.3651
ENSG00000066294	935	7.5731	0.9073
ENSG00000066322	8198	250.0450	29.9568
ENSG00000066557	4547	118.2590	14.1681
ENSG00000067208	3527	31.9804	3.8314
ENSG00000067334	31100	388.4280	46.5359
ENSG00000067533	2753	26.1908	3.1378
ENSG00000067606	2530	24.8516	2.9774
ENSG00000067704	6014	108.3750	12.9839
ENSG00000069248	2174	32.2385	3.8623
ENSG00000069275	36008	412.5550	49.4265
ENSG00000069424	16650	153.6770	18.4114
ENSG00000069702	193	1.6690	0.2000
ENSG00000069712	227	3.6753	0.4403
ENSG00000069812	126	1.7459	0.2092
ENSG00000070759	2285	49.5263	5.9335
ENSG00000070785	4642	114.4200	13.7082
ENSG00000070831	36279	784.1370	93.9441
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	31	0.3320	0.0398
ENSG00000073754	39	1.1889	0.1424
ENSG00000073756	108	1.5314	0.1835
ENSG00000074800	239919	4391.9800	526.1843
ENSG00000074964	159	1.5233	0.1825
ENSG00000075151	7085	63.0388	7.5524
ENSG00000075391	2	0.0127	0.0015
ENSG00000075945	2590	38.7455	4.6419
ENSG00000076258	519	15.4545	1.8515
ENSG00000076321	1477	26.0343	3.1191
ENSG00000076356	102	0.5539	0.0664
ENSG00000076864	308	3.6456	0.4368
ENSG00000077152	1804	127.0500	15.2213
ENSG00000077157	3032	15.7928	1.8921
ENSG00000077254	8092	87.7301	10.5106
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	30589	659.2550	78.9825
ENSG00000077585	255	8.3791	1.0039
ENSG00000078369	17900	218.7960	26.2130
ENSG00000078618	18130	205.4310	24.6118
ENSG00000078808	5307	84.7462	10.1531
ENSG00000078900	824	11.1190	1.3321
ENSG00000079277	6981	64.9574	7.7823
ENSG00000079335	1952	25.5566	3.0618
ENSG00000079739	5254	94.6273	11.3369
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	462	5.0885	0.6096
ENSG00000081019	21512	236.6020	28.3463
ENSG00000081026	517	4.7424	0.5682
ENSG00000081237	41714	367.7590	44.0597
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1843	32.0371	3.8382
ENSG00000081721	4650	197.9330	23.7135
ENSG00000081870	6664	181.1520	21.7031
ENSG00000081985	51	0.8956	0.1073
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1495	12.4280	1.4889
ENSG00000083444	5731	80.6884	9.6669
ENSG00000084070	9080	206.4150	24.7297
ENSG00000084072	5680	52.7801	6.3234
ENSG00000084073	5296	111.2020	13.3227
ENSG00000084623	19644	854.1010	102.3262
ENSG00000084628	14	0.3515	0.0421
ENSG00000084636	15	0.1180	0.0141
ENSG00000084652	32321	475.0250	56.9107
ENSG00000085433	1618	26.7493	3.2047
ENSG00000085465	285	7.1583	0.8576
ENSG00000085491	1754	20.0950	2.4075
ENSG00000085552	87	0.9829	0.1178
ENSG00000085831	33	0.2621	0.0314
ENSG00000085832	12494	124.0960	14.8674
ENSG00000085840	804	19.1033	2.2887
ENSG00000085998	9558	112.6090	13.4912
ENSG00000085999	1041	24.3070	2.9121
ENSG00000086015	1175	9.9318	1.1899
ENSG00000086619	2015	26.5703	3.1833
ENSG00000088035	1309	19.8522	2.3784
ENSG00000088280	462	7.0887	0.8493
ENSG00000090020	1694	21.2601	2.5471
ENSG00000090104	1376	25.0644	3.0029
ENSG00000090273	16334	428.7930	51.3719
ENSG00000090432	5668	174.5070	20.9069
ENSG00000090621	8740	96.6535	11.5796
ENSG00000090686	9153	72.2801	8.6596
ENSG00000091483	2604	91.1774	10.9236
ENSG00000092607	12	0.2365	0.0283
ENSG00000092621	64	0.8577	0.1028
ENSG00000092847	13808	80.3654	9.6282
ENSG00000092850	90	3.3999	0.4073
ENSG00000092853	1424	19.7437	2.3654
ENSG00000092969	22	0.3236	0.0388
ENSG00000092978	225	1.9059	0.2283
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	13457	156.0630	18.6973
ENSG00000097021	3084	47.3224	5.6695
ENSG00000097033	6316	70.9468	8.4998
ENSG00000097046	1143	23.8211	2.8539
ENSG00000097096	49	0.5706	0.0684
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	2081	44.7622	5.3628
ENSG00000116128	1490	17.4097	2.0858
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	29	0.4898	0.0587
ENSG00000116138	2352	20.5971	2.4677
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	284	4.0728	0.4879
ENSG00000116157	56	2.4802	0.2971
ENSG00000116161	15627	259.8780	31.1349
ENSG00000116171	13123	118.5100	14.1981
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	1201	12.1323	1.4535
ENSG00000116194	74	1.6108	0.1930
ENSG00000116198	3317	31.5908	3.7848
ENSG00000116199	2680	33.2861	3.9879
ENSG00000116205	1181	15.1976	1.8208
ENSG00000116209	31139	561.9370	67.3233
ENSG00000116212	1504	46.8001	5.6069
ENSG00000116213	3546	34.9715	4.1898
ENSG00000116218	2	0.0779	0.0093
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	19912	677.5940	81.1797
ENSG00000116237	1857	28.3547	3.3971
ENSG00000116251	25526	390.7090	46.8092
ENSG00000116254	29	0.2195	0.0263
ENSG00000116260	17545	141.3220	16.9312
ENSG00000116266	4937	62.8170	7.5258
ENSG00000116273	977	19.9123	2.3856
ENSG00000116285	116	2.0824	0.2495
ENSG00000116288	33235	1039.8800	124.5836
ENSG00000116299	2	0.0161	0.0019
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	8466	92.9909	11.1408
ENSG00000116350	4869	114.9010	13.7658
ENSG00000116353	3747	70.8749	8.4912
ENSG00000116396	347	2.7882	0.3340
ENSG00000116406	6416	63.8846	7.6537
ENSG00000116455	4427	118.3800	14.1827
ENSG00000116459	20902	463.3880	55.5165
ENSG00000116473	4964	64.9337	7.7794
ENSG00000116478	24252	453.7030	54.3563
ENSG00000116489	29026	527.1120	63.1510
ENSG00000116497	2334	19.0468	2.2819
ENSG00000116514	2986	85.7931	10.2785
ENSG00000116521	13999	429.9570	51.5113
ENSG00000116525	507	9.5724	1.1468
ENSG00000116539	19769	111.5150	13.3602
ENSG00000116544	87	1.6447	0.1970
ENSG00000116560	29274	295.6560	35.4212
ENSG00000116574	1306	22.4023	2.6839
ENSG00000116580	6775	41.7944	5.0072
ENSG00000116584	7838	79.2913	9.4996
ENSG00000116586	12844	669.8900	80.2567
ENSG00000116604	13884	162.7080	19.4933
ENSG00000116641	999	6.8898	0.8254
ENSG00000116649	4766	188.3310	22.5631
ENSG00000116652	42	2.7306	0.3272
ENSG00000116661	40	1.2962	0.1553
ENSG00000116663	2631	108.9670	13.0549
ENSG00000116667	2989	20.4407	2.4489
ENSG00000116668	664	12.2930	1.4728
ENSG00000116670	28043	618.0480	74.0457
ENSG00000116675	511	5.5484	0.6647
ENSG00000116678	2681	17.5491	2.1025
ENSG00000116679	4080	38.5938	4.6238
ENSG00000116685	2169	49.5696	5.9387
ENSG00000116688	7524	113.3630	13.5815
ENSG00000116690	462	6.8548	0.8213
ENSG00000116691	8043	213.8340	25.6186
ENSG00000116698	9358	84.3885	10.1102
ENSG00000116701	3770	96.5710	11.5698
ENSG00000116703	3	0.1680	0.0201
ENSG00000116704	2387	25.0288	2.9986
ENSG00000116711	0	0.0000	0.0000
ENSG00000116717	3556	128.9010	15.4431
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	7	0.1163	0.0139
ENSG00000116731	13242	91.0390	10.9070
ENSG00000116741	1266	45.5192	5.4535
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	18720	154.2520	18.4803
ENSG00000116748	1	0.0300	0.0036
ENSG00000116750	6008	125.1910	14.9986
ENSG00000116752	8370	483.2320	57.8940
ENSG00000116754	30503	269.8700	32.3320
ENSG00000116761	206	6.3902	0.7656
ENSG00000116771	203	6.0768	0.7280
ENSG00000116774	54	1.7881	0.2142
ENSG00000116783	442	5.6703	0.6793
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	4176	75.9762	9.1024
ENSG00000116791	2239	41.1451	4.9294
ENSG00000116793	3998	41.8156	5.0097
ENSG00000116809	3214	56.8450	6.8104
ENSG00000116815	8090	340.2950	40.7693
ENSG00000116819	136	4.6738	0.5599
ENSG00000116824	153	6.8195	0.8170
ENSG00000116830	4794	57.5186	6.8911
ENSG00000116833	1	0.0096	0.0012
ENSG00000116852	1792	11.0626	1.3254
ENSG00000116857	10419	199.5960	23.9127
ENSG00000116863	2095	94.0251	11.2648
ENSG00000116871	4860	69.1512	8.2847
ENSG00000116874	1841	35.8838	4.2991
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	690	28.2328	3.3825
ENSG00000116885	222	5.8958	0.7064
ENSG00000116898	8215	211.2970	25.3145
ENSG00000116903	919	13.4585	1.6124
ENSG00000116906	6836	161.5830	19.3585
ENSG00000116918	2461	29.3939	3.5215
ENSG00000116922	1176	24.8586	2.9782
ENSG00000116954	1868	27.1082	3.2477
ENSG00000116957	2325	67.9019	8.1350
ENSG00000116962	15	0.1951	0.0234
ENSG00000116977	9710	75.0009	8.9855
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	2	0.0309	0.0037
ENSG00000116984	6505	42.7878	5.1262
ENSG00000116985	112	1.6383	0.1963
ENSG00000116990	41	0.6071	0.0727
ENSG00000116991	3244	31.8385	3.8144
ENSG00000116996	1	0.0417	0.0050
ENSG00000117000	14673	173.7180	20.8124
ENSG00000117009	123	1.5478	0.1854
ENSG00000117010	1420	35.0322	4.1971
ENSG00000117013	20	0.3586	0.0430
ENSG00000117016	242	2.5075	0.3004
ENSG00000117020	107	1.0685	0.1280
ENSG00000117036	6233	69.6964	8.3500
ENSG00000117054	10629	166.8090	19.9846
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	27	0.4762	0.0571
ENSG00000117091	995	29.9102	3.5834
ENSG00000117114	0	0.0000	0.0000
ENSG00000117115	5255	65.6594	7.8664
ENSG00000117118	15978	486.7480	58.3152
ENSG00000117122	2	0.0600	0.0072
ENSG00000117133	6546	284.1030	34.0372
ENSG00000117139	19564	159.7340	19.1371
ENSG00000117143	5966	131.3390	15.7351
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	6207	135.9700	16.2900
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	1304	27.5422	3.2997
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	2877	26.1661	3.1349
ENSG00000117174	3684	44.5919	5.3424
ENSG00000117215	0	0.0000	0.0000
ENSG00000117222	2012	34.2691	4.1056
ENSG00000117226	1133	19.7712	2.3687
ENSG00000117228	19	0.2883	0.0345
ENSG00000117242	7945	134.1200	16.0683
ENSG00000117245	331	5.5613	0.6663
ENSG00000117262	820	11.0116	1.3193
ENSG00000117266	515	5.0954	0.6105
ENSG00000117280	2235	43.1803	5.1732
ENSG00000117281	352	6.6071	0.7916
ENSG00000117289	148026	3061.7500	366.8158
ENSG00000117298	2024	20.8942	2.5032
ENSG00000117305	2449	31.6712	3.7944
ENSG00000117308	1350	25.6066	3.0678
ENSG00000117318	263	10.9972	1.3175
ENSG00000117322	0	0.0000	0.0000
ENSG00000117335	18849	162.3410	19.4494
ENSG00000117360	6934	96.7947	11.5966
ENSG00000117362	3631	78.5265	9.4079
ENSG00000117385	2757	30.5582	3.6611
ENSG00000117394	12738	255.3750	30.5954
ENSG00000117395	14192	301.5400	36.1262
ENSG00000117399	2602	95.7473	11.4711
ENSG00000117400	8	0.2895	0.0347
ENSG00000117407	15	0.4233	0.0507
ENSG00000117408	1449	21.3840	2.5619
ENSG00000117410	60465	1282.8500	153.6928
ENSG00000117411	754	14.9635	1.7927
ENSG00000117419	11563	327.9850	39.2945
ENSG00000117425	756	11.0148	1.3196
ENSG00000117448	17615	423.2930	50.7130
ENSG00000117450	20598	1014.9900	121.6017
ENSG00000117461	767	7.4935	0.8978
ENSG00000117472	7	0.2257	0.0270
ENSG00000117475	3723	73.0974	8.7575
ENSG00000117477	32	0.9216	0.1104
ENSG00000117479	675	13.7949	1.6527
ENSG00000117480	2048	55.3437	6.6305
ENSG00000117481	4750	42.0664	5.0398
ENSG00000117500	12409	98.7647	11.8326
ENSG00000117501	0	0.0000	0.0000
ENSG00000117505	3539	65.6473	7.8649
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	29	0.7678	0.0920
ENSG00000117523	63451	335.3190	40.1731
ENSG00000117525	536	13.9819	1.6751
ENSG00000117528	2370	23.1766	2.7767
ENSG00000117533	1946	28.2844	3.3886
ENSG00000117543	1529	38.6114	4.6259
ENSG00000117560	0	0.0000	0.0000
ENSG00000117569	4345	77.0605	9.2323
ENSG00000117586	856	16.2808	1.9505
ENSG00000117592	19610	621.3440	74.4406
ENSG00000117593	1889	38.4066	4.6013
ENSG00000117594	20	0.9659	0.1157
ENSG00000117595	103	1.6137	0.1933
ENSG00000117597	687	10.2613	1.2294
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	0	0.0000	0.0000
ENSG00000117601	0	0.0000	0.0000
ENSG00000117602	1339	34.1707	4.0938
ENSG00000117614	12635	281.1860	33.6877
ENSG00000117616	11118	122.5490	14.6821
ENSG00000117620	3303	39.6890	4.7550
ENSG00000117625	5853	48.2811	5.7844
ENSG00000117632	32201	385.7300	46.2127
ENSG00000117640	8735	112.6390	13.4948
ENSG00000117643	75	0.6203	0.0743
ENSG00000117650	340	8.4341	1.0105
ENSG00000117676	11370	144.9250	17.3628
ENSG00000117682	3476	46.5929	5.5821
ENSG00000117691	2116	123.0300	14.7397
ENSG00000117697	2463	45.1513	5.4094
ENSG00000117707	0	0.0000	0.0000
ENSG00000117713	19875	161.2190	19.3150
ENSG00000117724	8585	55.2060	6.6140
ENSG00000117748	11765	437.0290	52.3586
ENSG00000117751	1566	41.6520	4.9901
ENSG00000117758	1959	38.1932	4.5758
ENSG00000117791	0	0.0000	0.0000
ENSG00000117834	5	0.0822	0.0098
ENSG00000117859	8232	63.0121	7.5492
ENSG00000117862	10823	263.8050	31.6054
ENSG00000118193	822	8.4736	1.0152
ENSG00000118194	38	0.3907	0.0468
ENSG00000118197	1290	21.6465	2.5934
ENSG00000118200	37	0.3593	0.0430
ENSG00000118217	10143	96.4191	11.5516
ENSG00000118292	619	34.3908	4.1202
ENSG00000118298	124	4.8961	0.5866
ENSG00000118454	3608	58.8938	7.0558
ENSG00000118473	201	1.4353	0.1720
ENSG00000118655	1037	19.7490	2.3660
ENSG00000118729	25	0.6583	0.0789
ENSG00000118733	0	0.0000	0.0000
ENSG00000118873	3830	25.3653	3.0389
ENSG00000119280	1347	19.5683	2.3444
ENSG00000119283	0	0.0000	0.0000
ENSG00000119285	7440	61.6665	7.3880
ENSG00000119535	43266	385.1140	46.1389
ENSG00000120332	1	0.0118	0.0014
ENSG00000120333	3964	114.6000	13.7297
ENSG00000120334	630	9.6176	1.1523
ENSG00000120337	0	0.0000	0.0000
ENSG00000120341	59	0.6356	0.0762
ENSG00000120370	521	9.3954	1.1256
ENSG00000120656	2391	76.7433	9.1943
ENSG00000120937	5	0.5375	0.0643
ENSG00000120942	4539	68.2253	8.1738
ENSG00000120948	20697	335.8480	40.2365
ENSG00000120949	53	1.0634	0.1274
ENSG00000120952	0	0.0000	0.0000
ENSG00000121310	73	0.4745	0.0569
ENSG00000121446	6	0.0518	0.0062
ENSG00000121454	1876	19.2153	2.3021
ENSG00000121481	2570	47.3157	5.6687
ENSG00000121486	747	11.1577	1.3368
ENSG00000121634	0	0.0000	0.0000
ENSG00000121644	1509	22.1740	2.6566
ENSG00000121753	7	0.0671	0.0080
ENSG00000121764	66	1.9701	0.2360
