gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	766	14.9482	3.1459
ENSG00000000460	1004	11.8458	2.4930
ENSG00000000938	1840	39.1598	8.2413
ENSG00000000971	37	0.3400	0.0716
ENSG00000001460	544	4.7887	1.0078
ENSG00000001461	2741	21.8580	4.6001
ENSG00000004455	5126	67.6519	14.2376
ENSG00000004487	2147	47.1335	9.9194
ENSG00000006555	35	0.4372	0.0920
ENSG00000007341	1025	9.4761	1.9943
ENSG00000007908	27	0.4797	0.1010
ENSG00000007923	1022	14.8916	3.1340
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	15323	210.6010	44.3218
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4276	67.9801	14.3066
ENSG00000008130	2694	35.2082	7.4097
ENSG00000009307	33582	437.6490	92.1048
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	345	6.0819	1.2799
ENSG00000009780	2473	64.4924	13.5727
ENSG00000009790	1920	18.5702	3.9082
ENSG00000010072	1651	20.9653	4.4122
ENSG00000010165	504	9.8290	2.0686
ENSG00000010803	900	15.1761	3.1939
ENSG00000010932	53	1.1214	0.2360
ENSG00000011007	5261	73.1938	15.4039
ENSG00000011009	993	33.9240	7.1394
ENSG00000011021	1003	10.9293	2.3001
ENSG00000014914	119	1.9418	0.4087
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	141	2.1574	0.4540
ENSG00000020633	2568	41.8211	8.8014
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	601	34.6898	7.3006
ENSG00000023902	795	9.5606	2.0121
ENSG00000023909	2852	39.7959	8.3752
ENSG00000024526	2052	26.0610	5.4846
ENSG00000025800	26404	257.6140	54.2157
ENSG00000026751	108	1.7563	0.3696
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	33	0.9944	0.2093
ENSG00000028137	2900	57.7488	12.1534
ENSG00000031698	7620	148.9890	31.3553
ENSG00000033122	196	1.2259	0.2580
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1810	37.0262	7.7923
ENSG00000036549	1464	12.1932	2.5661
ENSG00000037637	5900	49.2504	10.3649
ENSG00000040487	143	3.9918	0.8401
ENSG00000041988	1079	19.8735	4.1825
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	515	12.5741	2.6463
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12977	95.6048	20.1204
ENSG00000048707	4544	16.7501	3.5251
ENSG00000049089	21	0.3850	0.0810
ENSG00000049239	1716	14.1204	2.9717
ENSG00000049245	2235	60.7207	12.7789
ENSG00000049246	0	0.0000	0.0000
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	80	2.6217	0.5517
ENSG00000050628	2	0.0155	0.0033
ENSG00000052723	2499	31.7978	6.6919
ENSG00000053371	123	5.1673	1.0875
ENSG00000053372	370	9.8264	2.0680
ENSG00000054116	3697	83.6882	17.6125
ENSG00000054118	68154	1079.3000	227.1420
ENSG00000054267	32464	219.8860	46.2759
ENSG00000054277	34	0.7264	0.1529
ENSG00000054282	1986	28.3863	5.9740
ENSG00000054392	183	3.1958	0.6725
ENSG00000054523	6743	28.5831	6.0154
ENSG00000055070	5376	84.9372	17.8753
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1993	21.2582	4.4739
ENSG00000057468	45	1.0358	0.2180
ENSG00000057757	3060	105.0020	22.0981
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	6	0.0371	0.0078
ENSG00000058668	5063	39.0624	8.2208
ENSG00000058673	12477	96.4724	20.3029
ENSG00000058799	721	23.9129	5.0325
ENSG00000058804	1088	15.8966	3.3455
ENSG00000059588	2728	26.4270	5.5616
ENSG00000060642	746	16.5393	3.4807
ENSG00000060656	1	0.0112	0.0024
ENSG00000060688	5563	104.0270	21.8929
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2129	26.5295	5.5832
ENSG00000064886	61	1.3772	0.2899
ENSG00000065135	9271	216.8820	45.6437
ENSG00000065183	413	7.4419	1.5662
ENSG00000065243	8118	86.8100	18.2695
ENSG00000065526	8941	50.4416	10.6156
ENSG00000065600	971	24.9863	5.2584
ENSG00000065978	38782	1507.0700	317.1681
ENSG00000066027	1923	37.3399	7.8583
ENSG00000066056	232	2.5976	0.5467
ENSG00000066135	2054	29.7902	6.2694
ENSG00000066136	1450	18.1705	3.8240
ENSG00000066185	0	0.0000	0.0000
ENSG00000066279	8318	57.3018	12.0594
ENSG00000066294	2743	22.2320	4.6788
ENSG00000066322	10055	306.6850	64.5430
ENSG00000066557	2865	74.4934	15.6774
ENSG00000067208	2016	18.2743	3.8459
ENSG00000067334	12650	157.9980	33.2511
ENSG00000067533	956	9.1001	1.9151
ENSG00000067606	339	3.3295	0.7007
ENSG00000067704	1207	21.7566	4.5788
ENSG00000069248	2510	37.2213	7.8334
ENSG00000069275	48942	560.7430	118.0104
ENSG00000069424	1566	14.4557	3.0423
ENSG00000069702	88	0.7615	0.1603
ENSG00000069712	22	0.3576	0.0752
ENSG00000069812	1	0.0139	0.0029
ENSG00000070759	750	16.2659	3.4232
ENSG00000070785	1506	37.1147	7.8109
ENSG00000070831	27580	596.1170	125.4550
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1	0.0107	0.0023
ENSG00000073754	707	21.5782	4.5412
ENSG00000073756	62	0.8825	0.1857
ENSG00000074800	43455	795.4930	167.4143
ENSG00000074964	30	0.2866	0.0603
ENSG00000075151	3686	32.7981	6.9025
ENSG00000075391	50	0.3155	0.0664
ENSG00000075945	1111	16.6135	3.4964
ENSG00000076258	118	3.5145	0.7397
ENSG00000076321	4831	85.1648	17.9232
ENSG00000076356	4	0.0218	0.0046
ENSG00000076864	608	7.1901	1.5132
ENSG00000077152	4655	327.8300	68.9930
ENSG00000077157	1328	6.9163	1.4556
ENSG00000077254	8428	91.3686	19.2288
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	11553	248.9910	52.4010
ENSG00000077585	242	7.9552	1.6742
ENSG00000078369	8373	102.3480	21.5395
ENSG00000078618	12522	141.8900	29.8612
ENSG00000078808	633	10.1030	2.1262
ENSG00000078900	56	0.7561	0.1591
ENSG00000079277	4198	39.0664	8.2216
ENSG00000079335	2284	29.8942	6.2913
ENSG00000079739	1040	18.7337	3.9426
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	741	8.1587	1.7170
ENSG00000081019	10101	111.0930	23.3799
ENSG00000081026	41	0.3782	0.0796
ENSG00000081237	26779	236.0870	49.6853
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	770	13.3829	2.8165
ENSG00000081721	1464	62.3246	13.1164
ENSG00000081870	2615	71.0877	14.9607
ENSG00000081985	156	2.7595	0.5808
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	358	2.9756	0.6262
ENSG00000083444	1296	18.2519	3.8412
ENSG00000084070	4629	105.2280	22.1457
ENSG00000084072	6106	56.7410	11.9413
ENSG00000084073	2665	55.9476	11.7744
ENSG00000084623	5018	218.1850	45.9177
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	9716	142.8000	30.0527
ENSG00000085433	331	5.4799	1.1533
ENSG00000085465	92	2.3206	0.4884
ENSG00000085491	264	3.0292	0.6375
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	491	3.9308	0.8273
ENSG00000085832	19899	197.6440	41.5949
ENSG00000085840	9158	217.5650	45.7873
ENSG00000085998	811	9.5514	2.0101
ENSG00000085999	1834	42.8232	9.0123
ENSG00000086015	374	3.1582	0.6646
ENSG00000086619	1768	23.3103	4.9057
ENSG00000088035	507	7.6947	1.6194
ENSG00000088280	2	0.0300	0.0063
ENSG00000090020	223	2.7957	0.5884
ENSG00000090104	465	8.4634	1.7812
ENSG00000090273	2908	76.3420	16.0664
ENSG00000090432	2301	70.8374	14.9080
ENSG00000090621	3570	39.4844	8.3096
ENSG00000090686	6629	52.3498	11.0172
ENSG00000091483	1548	54.2152	11.4098
ENSG00000092607	83	1.6308	0.3432
ENSG00000092621	146	1.9422	0.4088
ENSG00000092847	7600	44.2356	9.3095
ENSG00000092850	57	2.1471	0.4519
ENSG00000092853	3092	42.8583	9.0197
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	703	5.9676	1.2559
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	15238	176.7200	37.1914
ENSG00000097021	836	12.8265	2.6994
ENSG00000097033	4615	51.8332	10.9085
ENSG00000097046	2974	61.9808	13.0441
ENSG00000097096	65	0.7535	0.1586
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	46	0.9977	0.2100
ENSG00000116128	1469	17.1583	3.6110
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	348	5.8716	1.2357
ENSG00000116138	1084	9.4971	1.9987
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	143	2.0489	0.4312
ENSG00000116157	864	38.3010	8.0606
ENSG00000116161	6981	116.0910	24.4318
ENSG00000116171	6618	59.7654	12.5779
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	710	7.1746	1.5099
ENSG00000116194	254	5.5482	1.1676
ENSG00000116198	488	4.6515	0.9789
ENSG00000116199	1658	20.5885	4.3329
ENSG00000116205	235	3.0304	0.6378
ENSG00000116209	20660	372.8350	78.4645
ENSG00000116212	579	18.0133	3.7910
ENSG00000116213	1180	11.6402	2.4497
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	11585	394.2420	82.9697
ENSG00000116237	394	6.0165	1.2662
ENSG00000116251	10742	164.4200	34.6028
ENSG00000116254	0	0.0000	0.0000
ENSG00000116260	2840	22.8771	4.8146
ENSG00000116266	7376	93.8397	19.7489
ENSG00000116273	692	14.1002	2.9674
ENSG00000116285	8	0.1433	0.0302
ENSG00000116288	8596	268.9480	56.6011
ENSG00000116299	209	1.6847	0.3545
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	1478	16.2383	3.4174
ENSG00000116350	3209	75.7325	15.9382
ENSG00000116353	304	5.7518	1.2105
ENSG00000116396	23	0.1823	0.0384
ENSG00000116406	2005	19.9612	4.2009
ENSG00000116455	724	19.3615	4.0747
ENSG00000116459	8562	189.8160	39.9474
ENSG00000116473	3573	46.7427	9.8372
ENSG00000116478	12275	229.6310	48.3267
ENSG00000116489	62229	1130.0700	237.8263
ENSG00000116497	2218	18.1051	3.8103
ENSG00000116514	1799	51.6866	10.8776
ENSG00000116521	2460	75.5614	15.9022
ENSG00000116525	71	1.3476	0.2836
ENSG00000116539	14506	81.8251	17.2204
ENSG00000116544	12	0.2200	0.0463
ENSG00000116560	21355	215.6770	45.3900
ENSG00000116574	240	4.1198	0.8670
ENSG00000116580	6285	38.7707	8.1594
ENSG00000116584	3014	30.4912	6.4170
ENSG00000116586	2654	138.4190	29.1308
ENSG00000116604	1873	21.9478	4.6190
ENSG00000116641	699	4.8217	1.0147
ENSG00000116649	372	14.7134	3.0965
ENSG00000116652	73	4.6859	0.9862
ENSG00000116661	2	0.0587	0.0124
ENSG00000116663	1405	58.1767	12.2435
ENSG00000116667	203	1.3908	0.2927
ENSG00000116668	1016	18.7972	3.9559
ENSG00000116670	4327	95.3535	20.0675
ENSG00000116675	423	4.5904	0.9661
ENSG00000116678	2074	13.5770	2.8573
ENSG00000116679	13211	124.9640	26.2990
ENSG00000116685	484	11.0588	2.3274
ENSG00000116688	10664	160.6610	33.8116
ENSG00000116690	300	4.4574	0.9381
ENSG00000116691	459	12.2010	2.5677
ENSG00000116698	7161	64.5787	13.5908
ENSG00000116701	2508	64.2527	13.5222
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	1461	15.3160	3.2233
ENSG00000116711	792	20.6703	4.3501
ENSG00000116717	4589	166.3480	35.0085
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	0	0.0000	0.0000
ENSG00000116731	7674	52.7619	11.1039
ENSG00000116741	1589	57.1194	12.0210
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	75780	624.4250	131.4123
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	5615	117.0150	24.6262
ENSG00000116752	3538	204.2890	42.9933
ENSG00000116754	28004	247.7640	52.1428
ENSG00000116761	280	8.7084	1.8327
ENSG00000116771	34	1.0156	0.2137
ENSG00000116774	13	0.4305	0.0906
ENSG00000116783	172	2.2068	0.4644
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	1100	20.0114	4.2115
ENSG00000116791	337	6.1955	1.3039
ENSG00000116793	19178	200.6080	42.2186
ENSG00000116809	261	4.6120	0.9706
ENSG00000116815	6284	264.3330	55.6298
ENSG00000116819	17	0.5852	0.1232
ENSG00000116824	580	25.8964	5.4499
ENSG00000116830	4049	48.5773	10.2233
ENSG00000116833	1	0.0065	0.0014
ENSG00000116852	1200	7.4077	1.5590
ENSG00000116857	5849	112.0580	23.5830
ENSG00000116863	3557	159.6610	33.6011
ENSG00000116871	1349	19.1882	4.0382
ENSG00000116874	614	11.9784	2.5209
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	172	7.0224	1.4779
ENSG00000116885	64	1.7052	0.3589
ENSG00000116898	3064	78.7949	16.5827
ENSG00000116903	633	9.2735	1.9516
ENSG00000116906	2588	61.1768	12.8749
ENSG00000116918	2971	35.4843	7.4678
ENSG00000116922	1835	38.7701	8.1593
ENSG00000116954	1433	20.8053	4.3786
ENSG00000116957	454	13.2718	2.7931
ENSG00000116962	56	0.7215	0.1518
ENSG00000116977	7449	57.5388	12.1092
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	1	0.0154	0.0033
ENSG00000116984	4573	30.0809	6.3306
ENSG00000116985	62	0.9078	0.1910
ENSG00000116990	0	0.0000	0.0000
ENSG00000116991	108	1.0555	0.2221
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	10853	128.4900	27.0412
ENSG00000117009	87	1.0925	0.2299
ENSG00000117010	780	19.2573	4.0528
ENSG00000117013	69	1.2348	0.2599
ENSG00000117016	0	0.0000	0.0000
ENSG00000117020	80	0.8049	0.1694
ENSG00000117036	4357	48.7236	10.2541
ENSG00000117054	3661	57.4622	12.0931
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	83	1.4752	0.3105
